panel,family,label,pred,lo,hi,obs,passed
lag,Task B,a=1.45,0.0456231050851075,0.0342173288138307,0.0570288813563843,0.053241618109256,True
lag,Task B,a=1.60,0.081805606516249,0.061354204887186806,0.1022570081453112,0.0808758976288116,True
lag,SGD,a=1.30,0.0251335314998299,0.0151335314998299,0.0351335314998299,0.0295180460143398,True
lag,SGD,a=1.50,0.0530296008967976,0.0397722006725982,0.066287001120997,0.0643322397616437,True
lag,learning rate,a=1.30 eta=0.005,0.02962789685442302,0.019627896854423017,0.03962789685442302,0.030423740510516106,True
lag,learning rate,a=1.30 eta=0.0025,0.02962789685442302,0.019627896854423017,0.03962789685442302,0.030838532257009943,True
lag,learning rate,a=1.50 eta=0.005,0.06190758351450909,0.04643068763588182,0.07738447939313636,0.06252783066295997,True
lag,learning rate,a=1.50 eta=0.0025,0.06190758351450909,0.04643068763588182,0.07738447939313636,0.06468221756259318,True
lag,other activations,gelu,0.0022608873791639,-0.007739112620836101,0.0122608873791639,-0.018277605419234,False
lag,other activations,silu,-0.0324263179953427,-0.0424263179953427,-0.0224263179953427,0.0352560488426529,False
lag,other activations,mish,-0.0393268709999612,-0.0493268709999612,-0.029326870999961195,0.065762119976823,False
lag,R^2,a=1.30,0.0238241951322219,0.0138241951322219,0.0338241951322219,0.1474054898017944,False
lag,R^2,a=1.50,0.049048760468208,0.036786570351156,0.061310950585259996,0.187294032188063,False
err,own-sample threshold,a=1.30,0.031,0.001,0.061,0.0418708454472558,True
err,own-sample threshold,a=1.50,0.064,0.034,0.094,0.0866741874831558,True
err,early branch,a=1.30,0.041,0.029,0.053,0.0440480751577051,True
err,"early branch, lag-corrected",a=1.30,0.0135,0.004,0.023,0.0145297614491998,True
err,early branch,a=1.50,0.0945,0.065,0.124,0.0918915818469167,True
err,"early branch, lag-corrected",a=1.50,0.034,0.005,0.063,0.030796482487106,True
err,held-out windows,H10 a=1.30,0.13125,0.0801,0.1824,0.0767284215039196,False
err,held-out windows,H10 a=1.50,0.13125,0.0801,0.1824,0.1156326345132915,True
err,held-out windows,H35 a=1.30,0.13125,0.0801,0.1824,0.0803670447823531,True
err,held-out windows,H35 a=1.50,0.13125,0.0801,0.1824,0.1237992077383966,True
err,held-out windows,H65 a=1.30,0.13125,0.0801,0.1824,0.0875363486516213,True
err,held-out windows,H65 a=1.50,0.13125,0.0801,0.1824,0.1417714429892861,True
err,held-out windows,H90 a=1.30,0.13125,0.0801,0.1824,0.0882300405308932,True
err,held-out windows,H90 a=1.50,0.13125,0.0801,0.1824,0.1509158961386875,True
