a,winding,seed,s_branch,note,lambda_min_own
1.3,-1,862000,5.196919583439709,,0.13904647133332873
1.3,-1,862001,4.458446097621216,,0.15693912033104343
1.3,-1,862002,5.571577706971905,,0.13167559963510653
1.3,-1,862003,4.49448857564445,,0.15984061029221197
1.3,-1,862004,5.933663525190717,,0.13960855585190673
1.3,-1,862005,4.694884408007149,,0.1617389845068399
1.3,-1,862006,5.036669301278182,,0.1438768058254059
1.3,-1,862007,4.195369156518611,,0.1607351909587944
1.3,-1,862008,4.293613923229276,,0.15898006925036606
1.3,-1,862009,5.034603061563267,,0.13965228276046163
1.3,-1,862010,4.177311946642458,,0.16190828973938734
1.3,-1,862011,4.701738331082264,,0.15403780662098315
1.3,-1,862012,4.555390383127168,,0.15487450590446422
1.3,-1,862013,5.652555338179672,,0.14764973518849522
1.3,-1,862014,4.454516733009184,,0.15867253153746927
1.3,-1,862015,4.940107685502409,,0.14223731717658042
1.3,-1,862016,4.651959052486628,,0.15339106876416522
1.3,-1,862017,4.655458248643889,,0.15602711735419852
1.3,-1,862018,4.413244951546041,,0.1508492643003756
1.3,-1,862019,5.009720723255308,,0.1496436666102732
1.3,-1,862020,4.444509782148206,,0.15839626368095505
1.3,-1,862021,4.2801413080829995,,0.15951458764545393
1.3,-1,862022,5.012756007967408,,0.1526814727052149
1.3,-1,862023,5.238894149802046,,0.1527916917142603
1.3,-1,862024,5.028576018121838,,0.1502439054783029
1.3,-1,862025,4.888163716533481,,0.14628113688195543
1.3,-1,862026,4.988859211429045,,0.15072328487027137
1.3,-1,862027,5.104499092083312,,0.1529071258445804
1.3,-1,862028,4.27274062836786,,0.15874917876638509
1.3,-1,862029,4.83293424153567,,0.14608284895260001
1.3,-1,862030,4.281231089880858,,0.15009025102591012
1.3,-1,862031,4.208871805685888,,0.1591016761606747
1.3,-1,862032,5.554249646173929,,0.1370025175961081
1.3,-1,862033,5.178170552666637,,0.1476871387820127
1.3,-1,862034,5.067463630560558,,0.1399184073504377
1.3,-1,862035,5.080663821373118,,0.15774748688123696
1.3,-1,862036,4.915621423937912,,0.14302367585503403
1.3,-1,862037,5.069171190681045,,0.1433552310108251
1.3,-1,862038,5.1707675694675626,,0.14107449092871813
1.3,-1,862039,6.019806560893842,,0.14500866294410902
1.5,0,862000,2.2866856165854776,,0.1603528672147568
1.5,0,862001,2.78298384429395,,0.14256567344554946
1.5,0,862002,2.0782198573121016,,0.16669632477537966
1.5,0,862003,2.713221576632043,,0.1397750046119348
1.5,0,862004,2.159306711164586,,0.1589529361156609
1.5,0,862005,2.7745674895832755,,0.13735383075366642
1.5,0,862006,2.4328024394128067,,0.1557788725313851
1.5,0,862007,2.8296119679542033,,0.13873294003257744
1.5,0,862008,3.0037882784010255,,0.13917273839433195
1.5,0,862009,2.3724580952275343,,0.15982161887685764
1.5,0,862010,2.959441375988222,,0.13701917717984288
1.5,0,862011,2.6755902732592025,,0.14545076928147135
1.5,0,862012,2.8345756279393157,,0.14435671074730885
1.5,0,862013,2.2785544946055873,,0.15127049162089595
1.5,0,862014,2.7611133543906847,,0.14132372635821372
1.5,0,862015,2.5804725715216295,,0.15687255932830152
1.5,0,862016,2.8264766372716665,,0.1459765056956408
1.5,0,862017,2.8397917496825817,,0.14328981433847188
1.5,0,862018,3.0237747104545667,,0.14696126261928547
1.5,0,862019,2.569118269567423,,0.14964104785255133
1.5,0,862020,2.928935419659984,,0.14045552466581956
1.5,0,862021,2.7569856290708366,,0.13991349528737426
1.5,0,862022,2.4940030943093303,,0.1472594277339693
1.5,0,862023,2.570749706775956,,0.14677268812754501
1.5,0,862024,2.56087136703472,,0.14890997626093525
1.5,0,862025,2.4412518627471607,,0.15348059767286396
1.5,0,862026,2.4323083344585013,,0.14875517266879004
1.5,0,862027,2.407422888484498,,0.14605622084528624
1.5,0,862028,3.46077215867885,,0.13341313121723938
1.5,0,862029,2.61413337195135,,0.15294693219990418
1.5,0,862030,2.927349538974008,,0.14804021115333038
1.5,0,862031,2.8968168722266987,,0.1404289551838827
1.5,0,862032,2.384143681336883,,0.16218194901648086
1.5,0,862033,2.569321807798814,,0.15179512790586433
1.5,0,862034,2.507337867952068,,0.15876540559037977
1.5,0,862035,2.5466407427836266,,0.1413966472514985
1.5,0,862036,2.608464284219566,,0.15597649633532337
1.5,0,862037,2.45622920162088,,0.15614271992188045
1.5,0,862038,2.3771673199192125,,0.15882220384230103
1.5,0,862039,2.173801832229792,,0.15225668133983056
