a,chi_target,seed,obs_r,pred_r,winding_k,chi_own,ratio
1.3,0.03,862000,0.422502021315291,0.2285894520456595,-1,0.032508460358829705,1.8483005997621385
1.3,0.03,862001,0.3256909984934533,0.2285894520456595,-1,0.028802166673547673,1.4247857702042974
1.3,0.03,862002,0.646115074236399,0.2285894520456595,-1,0.03432820290092321,2.826530570217829
1.3,0.03,862003,0.31327784970171235,0.2285894520456595,-1,0.028279338355322266,1.3704825261978264
1.3,0.03,862004,0.5352207448849076,0.2285894520456595,-1,0.032377576530263436,2.3414061326766737
1.3,0.03,862005,0.29353884950464604,0.2285894520456595,-1,0.02794741611094701,1.2841312093701212
1.3,0.03,862006,0.4618023950667427,0.2285894520456595,-1,0.03141706319821904,2.0202261781287274
1.3,0.03,862007,0.29873333615969355,0.2285894520456595,-1,0.02812194812107728,1.306855296630324
1.3,0.03,862008,0.38407156945868604,0.2285894520456595,-1,0.02843241119901739,1.6801806296030222
1.3,0.03,862009,0.48639420011332457,0.2285894520456595,-1,0.03236743869864205,2.1278068421817204
1.3,0.03,862010,0.2990518278365506,0.2285894520456595,-1,0.02791819188906573,1.308248587851799
1.3,0.03,862011,0.3507672968867992,0.2285894520456595,-1,0.02934465765600511,1.5344859255217749
1.3,0.03,862012,0.3623905493030579,0.2285894520456595,-1,0.029186125082219707,1.5853336453629205
1.3,0.03,862013,0.46364266423472333,0.2285894520456595,-1,0.03061425539032648,2.028276720931608
1.3,0.03,862014,0.29838171545090275,0.2285894520456595,-1,0.02848751864973719,1.3053170773221094
1.3,0.03,862015,0.43874415182493154,0.2285894520456595,-1,0.03177918981530765,1.9193543179643073
1.3,0.03,862016,0.3304957277010443,0.2285894520456595,-1,0.02946838259745316,1.4458048030800195
1.3,0.03,862017,0.3367267593821772,0.2285894520456595,-1,0.02897051985593858,1.4730634172696555
1.3,0.03,862018,0.3649375505884749,0.2285894520456595,-1,0.029964923742511165,1.5964758973899662
1.3,0.03,862019,0.41299195230412833,0.2285894520456595,-1,0.030206334847079658,1.8066973283685699
1.3,0.03,862020,0.3813124793147924,0.2285894520456595,-1,0.028537205337616545,1.6681105619809058
1.3,0.03,862021,0.2834106171795354,0.2285894520456595,-1,0.02833713686062047,1.2398236867155432
1.3,0.03,862022,0.37435233691898095,0.2285894520456595,-1,0.02960533862613363,1.6376623399237429
1.3,0.03,862023,0.4207049816121604,0.2285894520456595,-1,0.029583982287649416,1.8404391709558272
1.3,0.03,862024,0.4115167616149986,0.2285894520456595,-1,0.030085657631067353,1.8002438779756136
1.3,0.03,862025,0.43056340892954315,0.2285894520456595,-1,0.030900680687369314,1.8835663897717398
1.3,0.03,862026,0.37719535127751014,0.2285894520456595,-1,0.029989969401643723,1.6500995470349498
1.3,0.03,862027,0.3533164966266473,0.2285894520456595,-1,0.029561648460838415,1.5456377950285924
1.3,0.03,862028,0.3335774744657509,0.2285894520456595,-1,0.028473764314879163,1.4592863821167068
1.3,0.03,862029,0.3948930907661574,0.2285894520456595,-1,0.030942624228538614,1.727521052403064
1.3,0.03,862030,0.33817163963100927,0.2285894520456595,-1,0.030116457734449032,1.4793842699419977
1.3,0.03,862031,0.29456681804994234,0.2285894520456595,-1,0.028410679324394984,1.2886282171545878
1.3,0.03,862032,0.626802322994197,0.2285894520456595,-1,0.03299345720565849,2.742043945531645
1.3,0.03,862033,0.39133885320781303,0.2285894520456595,-1,0.030606501951713584,1.7119724891314987
1.3,0.03,862034,0.5152986014472134,0.2285894520456595,-1,0.0323058758813161,2.2542536273470977
1.3,0.03,862035,0.3019261878600781,0.2285894520456595,-1,0.028654571877761652,1.3208229214345812
1.3,0.03,862036,0.4736235244182927,0.2285894520456595,-1,0.03160446460595964,2.0719395413034585
1.3,0.03,862037,0.4328669696803822,0.2285894520456595,-1,0.03153136909969708,1.8936436734356377
1.3,0.03,862038,0.4810031807031323,0.2285894520456595,-1,0.03204113423778803,2.1042229919123936
1.3,0.03,862039,0.5548545277714931,0.2285894520456595,-1,0.031171839044656882,2.427297160066091
1.3,0.06,862001,2.0772754589785603,0.457178904091319,-1,0.057604333347095346,4.543681784940007
1.3,0.06,862003,1.7092181748129365,0.457178904091319,-1,0.05655867671064453,3.7386199571263012
1.3,0.06,862005,1.6721188171177346,0.457178904091319,-1,0.05589483222189402,3.65747151094211
1.3,0.06,862006,1.7837440340291284,0.457178904091319,-1,0.06283412639643808,3.901632420188914
1.3,0.06,862007,1.966039445981688,0.457178904091319,-1,0.05624389624215456,4.300372192127619
1.3,0.06,862008,1.7081812741688012,0.457178904091319,-1,0.05686482239803478,3.7363519158084366
1.3,0.06,862009,1.9005164293782264,0.457178904091319,-1,0.0647348773972841,4.157051894499945
1.3,0.06,862010,1.9149247868385872,0.457178904091319,-1,0.05583638377813146,4.188567691338819
1.3,0.06,862012,1.9074494621337204,0.457178904091319,-1,0.058372250164439414,4.172216707866113
