a,winding,opt,cell,target_lag,gamma,s_star_pop,ramp_steps
1.3,-1,sgd,0,0.001,5.932277269475824e-06,4.956250000000001,302036
1.3,-1,sgd,1,0.0025118864315095794,1.4901206781149019e-05,4.956250000000001,120243
1.3,-1,sgd,2,0.00630957344480193,3.743013912668677e-05,4.956250000000001,47870
1.3,-1,sgd,3,0.01584893192461114,9.402025860184039e-05,4.956250000000001,19058
1.3,-1,sgd,4,0.039810717055349734,0.00023616821186898474,4.956250000000001,7587
1.3,-1,sgd,5,0.1,0.0005932277269475824,4.956250000000001,3021
1.3,-1,adam,0,0.0005,0.0005399775851732912,4.956250000000001,3319
1.3,-1,adam,1,0.0008218759147586127,0.000757565710106042,4.956250000000001,2366
1.3,-1,adam,2,0.001350960038520613,0.0010004008158146466,4.956250000000001,1792
1.3,-1,adam,3,0.0022206430349229218,0.001290471773575557,4.956250000000001,1389
1.3,-1,adam,4,0.003650186051359237,0.0015397163177059171,4.956250000000001,1164
1.3,-1,adam,5,0.006,0.0018371004988673337,4.956250000000001,976
1.5,0,sgd,0,0.001,1.0994393563392134e-05,2.53125,162971
1.5,0,sgd,1,0.0025118864315095794,2.7616668014560952e-05,2.53125,64880
1.5,0,sgd,2,0.00630957344480193,6.936993366928027e-05,2.53125,25830
1.5,0,sgd,3,0.01584893192461114,0.00017424939513858482,2.53125,10283
1.5,0,sgd,4,0.039810717055349734,0.0004376946913473626,2.53125,4094
1.5,0,sgd,5,0.1,0.0010994393563392136,2.53125,1630
1.5,0,adam,0,0.0005,0.001139690523950314,2.53125,1573
1.5,0,adam,1,0.0008218759147586127,0.0016858139309266283,2.53125,1063
1.5,0,adam,2,0.001350960038520613,0.0023631382704244544,2.53125,759
1.5,0,adam,3,0.0022206430349229218,0.0031852541302071526,2.53125,563
1.5,0,adam,4,0.003650186051359237,0.003995491587415329,2.53125,449
1.5,0,adam,5,0.006,0.005006939662492805,2.53125,358
1.3,0,sgd,0,0.001,6.076656503331469e-06,4.956250000000001,294860
1.3,0,sgd,1,0.0025118864315095794,1.5263871019662764e-05,4.956250000000001,117386
1.3,0,sgd,2,0.00630957344480193,3.834111050660319e-05,4.956250000000001,46733
1.3,0,sgd,3,0.01584893192461114,9.630851525054602e-05,4.956250000000001,18605
1.3,0,sgd,4,0.039810717055349734,0.00024191605269667998,4.956250000000001,7407
1.3,0,sgd,5,0.1,0.0006076656503331469,4.956250000000001,2949
1.3,0,adam,0,0.0005,0.0005741766469818757,4.956250000000001,3121
1.3,0,adam,1,0.0008218759147586127,0.0007982380138771793,4.956250000000001,2245
1.3,0,adam,2,0.001350960038520613,0.001036896618180461,4.956250000000001,1729
1.3,0,adam,3,0.0022206430349229218,0.0013181704927760823,4.956250000000001,1360
1.3,0,adam,4,0.003650186051359237,0.0015795547319564732,4.956250000000001,1135
1.3,0,adam,5,0.006,0.0018927696871681625,4.956250000000001,947
