a,winding,opt,cell,gamma,crossed,step,s_cross,placed_in_warmup,w1,b1,b2,seed,w1_end,b1_end,b2_end,steps_run
1.3,-1,sgd,0,5.932277269475824e-06,True,103005,4.565629702717188,False,-0.8500751660082374,-2.4643770651894235,13.751738135184159,860000,-0.8135892539922313,-2.5016205442027757,18.742491266981133,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,127856,5.290852935974969,False,-0.8471747599367347,-2.455871668823975,15.98818202049996,860001,-0.8284466331408973,-2.475121511010856,18.699889784376083,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,98329,4.44072262896,False,-0.8259008111149281,-2.4491323398523597,13.458389111681914,860002,-0.7899552591728214,-2.4878999182765784,18.82940687074994,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,153310,6.153245425089588,False,-0.8221953753207586,-2.4480440220511763,18.635139289450056,860003,-0.8221953753207586,-2.4480440220511763,18.635139289450056,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,91574,4.266289946268689,False,-0.8403561306410127,-2.4535383456372024,12.903256423173879,860004,-0.7991274614470484,-2.4962081338103155,18.823341245737947,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,138927,5.650000931680523,False,-0.8176504384777646,-2.446732934180853,17.132268537474953,860005,-0.8079516531399286,-2.4573193478665276,18.713349115797346,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,144508,5.840192446695577,False,-0.8183255500320644,-2.446926300258965,17.689126779993725,860006,-0.8124165676813108,-2.4532249321257233,18.67265235899872,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,120863,5.075855354383234,False,-0.8308029093342538,-2.4505965863048527,15.328870684445445,860007,-0.8080562318715402,-2.474513180188599,18.717433550236546,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,127230,5.2712412326421205,False,-0.8402071360544766,-2.4534915396982346,15.931816269924553,860008,-0.821835673520821,-2.4721383264870367,18.702822410082746,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,134719,5.510705678611741,False,-0.833938806927347,-2.4515495454629037,16.629149193082167,860009,-0.8203753530141777,-2.4657192324098456,18.65023823974356,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,125031,5.202924051389011,False,-0.8279610310973519,-2.4497436447827536,15.744981194558122,860010,-0.8084715365249682,-2.4705054608255415,18.728915551582556,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,105343,4.629394630693594,False,-0.8471365423392252,-2.455764730507647,13.92189067803103,860011,-0.8126086158693095,-2.490492003133925,18.708840906945852,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,131941,5.420634207461943,False,-0.8377800869564397,-2.452733469931698,16.431340280908596,860012,-0.8229014201452383,-2.4681435581126783,18.731675484094335,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,150473,6.050553669110498,False,-0.8084722680828483,-2.444159019776635,18.36225602381956,860013,-0.8065495176837536,-2.4462662825861603,18.68496052344583,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,122933,5.138570188928877,False,-0.832445944862091,-2.4510950129908324,15.484370830685886,860014,-0.8106347282286693,-2.473765336741127,18.672789386032854,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,103832,4.588083685966557,False,-0.8354714863392456,-2.4520201101905923,13.804283470708802,860015,-0.8006932087207846,-2.4882490048067187,18.725025416497182,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,93337,4.311143531000382,False,-0.8502593697316656,-2.464940311853759,12.985945361768593,860016,-0.807241742491856,-2.5079764724433056,18.77214537103587,157310
1.3,-1,sgd,0,5.932277269475824e-06,True,115287,4.9107008719972685,False,-0.8342698390559126,-2.451650429304306,14.856336063641873,860017,-0.8081540454890563,-2.47960760805307,18.75938225773129,157310
