a,winding,opt,cell,gamma,seed,s_cross,w2_own,winding_k,b1_offset,mirror,chi,kappa_k,pred_r,init_winding,obs_r
1.3,-1,sgd,0,5.932277269475824e-06,860000,4.565629702717188,6.059375,-1,-0.012973479483260775,False,0.00013123965139916823,7.619648401522177,0.001,-1,-0.2465180480301702
1.3,-1,sgd,0,5.932277269475824e-06,860001,5.290852935974969,5.284375,-1,-0.004468083117812327,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0012258660626789375
1.3,-1,sgd,0,5.932277269475824e-06,860002,4.44072262896,5.371875,-1,0.0022712458538034497,False,0.00013123965139916823,7.619648401522177,0.001,-1,-0.17333842858219906
1.3,-1,sgd,0,5.932277269475824e-06,860003,6.153245425089588,6.146875,-1,0.003359563654987241,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0010363680877825132
1.3,-1,sgd,0,5.932277269475824e-06,860004,4.266289946268689,5.659375,-1,-0.002134759931038843,False,0.00013123965139916823,7.619648401522177,0.001,-1,-0.246155282823865
1.3,-1,sgd,0,5.932277269475824e-06,860005,5.650000931680523,5.646875,-1,0.004670651525310099,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0005535684215647318
1.3,-1,sgd,0,5.932277269475824e-06,860006,5.840192446695577,5.834375,-1,0.004477285447197943,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0009970985230769447
1.3,-1,sgd,0,5.932277269475824e-06,860007,5.075855354383234,5.071875,-1,0.0008069994013109039,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.000784789527193297
1.3,-1,sgd,0,5.932277269475824e-06,860008,5.2712412326421205,5.265625,-1,-0.0020879539920706236,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0010665842406401005
1.3,-1,sgd,0,5.932277269475824e-06,860009,5.510705678611741,5.503125,-1,-0.00014595975674058792,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0013775225188854545
1.3,-1,sgd,0,5.932277269475824e-06,860010,5.202924051389011,4.684375,-1,0.0016599409234094864,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.1106975960270069
1.3,-1,sgd,0,5.932277269475824e-06,860011,4.629394630693594,4.621875,-1,-0.004361144801483974,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0016269653968559172
1.3,-1,sgd,0,5.932277269475824e-06,860012,5.420634207461943,4.965625,-1,-0.0013298842255347054,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.09163181018742717
1.3,-1,sgd,0,5.932277269475824e-06,860013,6.050553669110498,6.046875,-1,0.007244565929528157,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0006083587159479986
1.3,-1,sgd,0,5.932277269475824e-06,860014,5.138570188928877,5.134375,-1,0.00030857271533069053,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0008170787932078039
1.3,-1,sgd,0,5.932277269475824e-06,860015,4.588083685966557,4.584375,-1,-0.0006165244844291706,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0008089839872515991
1.3,-1,sgd,0,5.932277269475824e-06,860016,4.311143531000382,6.140625,-1,-0.013536726147595601,False,0.00013123965139916823,7.619648401522177,0.001,-1,-0.29793082446813124
1.3,-1,sgd,0,5.932277269475824e-06,860017,4.9107008719972685,5.278125,-1,-0.0002468435981430872,False,0.00013123965139916823,7.619648401522177,0.001,-1,-0.06961262342266084
1.3,-1,sgd,0,5.932277269475824e-06,860018,5.336370161398896,4.878125,-1,0.0007356784237009251,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.09393879029317542
1.3,-1,sgd,0,5.932277269475824e-06,860019,5.336813375387258,5.328125,-1,0.0024612158113708205,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0016306628292801495
1.3,-1,sgd,0,5.932277269475824e-06,860020,5.328335382153332,5.321875,-1,-0.011526223412721137,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0012139297058522125
1.3,-1,sgd,0,5.932277269475824e-06,860021,4.055632540835436,6.215625,-1,-0.002043565564106231,False,0.00013123965139916823,7.619648401522177,0.001,-1,-0.34751009901089014
1.3,-1,sgd,0,5.932277269475824e-06,860022,5.530584906270315,5.521875,-1,0.001065684382258958,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.001577345787493467
1.3,-1,sgd,0,5.932277269475824e-06,860023,4.662052765701463,5.246875,-1,0.0025729240113694374,False,0.00013123965139916823,7.619648401522177,0.001,-1,-0.11146105716231791
1.3,-1,sgd,0,5.932277269475824e-06,860024,5.164362713716912,5.159375,-1,-0.004445742520223561,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0009667282794740828
1.3,-1,sgd,0,5.932277269475824e-06,860025,5.710689339970587,5.703125,-1,0.0065381532936390485,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0013263500222400193
1.3,-1,sgd,0,5.932277269475824e-06,860026,5.162861746733855,5.103125,-1,1.7283780712418206e-05,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.011705914852929267
1.3,-1,sgd,0,5.932277269475824e-06,860027,5.731561988615015,5.728125,-1,0.0031145530002900657,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0006000198345905705
1.3,-1,sgd,0,5.932277269475824e-06,860028,5.092866615767274,5.084375,-1,0.0004072432213799715,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0016701395485727577
1.3,-1,sgd,0,5.932277269475824e-06,860029,5.489692816877357,5.484375,-1,-0.0033364132488156173,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0009696304277801993
1.3,-1,sgd,0,5.932277269475824e-06,860030,4.977631284189091,4.903125,-1,0.003758746881249664,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.015195673002236454
1.3,-1,sgd,0,5.932277269475824e-06,860031,5.838252613036638,5.834375,-1,0.0022385330718304175,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0006646149821769587
1.3,-1,sgd,0,5.932277269475824e-06,860032,5.407209356358439,5.403125,-1,0.00408746464477705,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0007559248320996304
1.3,-1,sgd,0,5.932277269475824e-06,860033,4.765683070050731,4.759375,-1,-0.001480008133004418,False,0.00013123965139916823,7.619648401522177,0.001,-1,0.0013253988287811325
1.3,-1,sgd,0,5.932277269475824e-06,860034,4.395172676085315,5.296875,-1,-0.0031562371496951513,False,0.00013123965139916823,7.619648401522177,0.001,-1,-0.17023288711073692
