a,source,n,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2,growth_per_step,growth_min,growth_max,relax_steps,chi,steps_growth_to_cross,winding,mirror_frac,pred_r_median
1.3,ramp (Adam),240,0.0007530443016895757,0.0005251419686929383,0.0002841462291275585,0.00114543629469505,0.0005399775851732,0.0018371004988673,0.190769955763972,0.00022520516098610002,623.5,-1,0.0,0.0017121378003096999
1.3,"free Adam (lag test 2, phi = 1)",48,0.005834845342917399,0.0054155959114914,0.01182086771500505,0.0005016592531123,0.0003633262191031,0.0007509812970809,7.769069428898475,0.003991336243666,3265.5,-1,0.5416666666666666,0.03037623726316615
1.5,ramp (Adam),240,0.0004790258080529991,0.0003332255309796351,0.0002501601111593668,0.00277419620031575,0.0011396905239503,0.0050069396624928,0.16981046487521465,0.0005127010918031,238.5,0,0.0,0.0020975828897899004
1.5,"free Adam (lag test 2, phi = 1)",48,0.013587416527523849,0.0109417640600527,0.02205160020660455,0.0010292096953906501,0.000562144816187,0.0032705384671549,14.971622629707195,0.0156705637722791,1679.5,0,0.4583333333333333,0.0634038821086416
