a,eta,seed,crossed,step,w2_cross,w2_own,obs_r
1.3,0.01,860100,True,2252.0,4.659414705005266,4.503125,0.034706943512619715
1.3,0.01,860101,True,3395.0,5.699405453919154,5.528125,0.03098346255179729
1.3,0.01,860102,True,3731.0,5.79027337958404,5.640625,0.026530460646478016
1.3,0.01,860103,True,2473.0,5.409714215433093,5.278125,0.02493105324960898
1.3,0.01,860104,False,,,4.653125,
1.3,0.01,860105,True,1974.0,5.9162396007545155,5.796875,0.020591197973824693
1.3,0.01,860106,True,2948.0,5.228198379578824,5.071875,0.03082161519730353
1.3,0.01,860107,True,5696.0,5.950121312939901,5.796875,0.02643602163922809
1.3,0.01,860108,True,12117.0,4.801161432539181,4.634375,0.03598898072322165
1.3,0.01,860109,True,2308.0,5.131666437401527,4.959375,0.034740554485500175
1.3,0.01,860110,True,3217.0,4.917724428431411,5.084375,-0.032777002398247324
1.3,0.01,860111,True,2480.0,4.6772659354771635,4.528125,0.03293657650289328
1.3,0.01,860112,True,2258.0,5.908870668590166,5.778125,0.022627698187589473
1.3,0.01,860113,True,2163.0,5.38334866299566,5.253125,0.024789751432844342
1.3,0.01,860114,True,3850.0,5.527656153912314,5.384375,0.026610545125908658
1.3,0.01,860115,True,1793.0,4.915952667749082,4.759375,0.032898787708277144
1.3,0.01,860116,True,3811.0,5.265882150519031,5.115625,0.029372198024490093
1.3,0.01,860117,True,2528.0,5.406274277892383,5.271875,0.025493638960025322
1.3,0.01,860118,True,2059.0,5.195270926728643,5.053125,0.028130300898680183
1.3,0.01,860119,True,2231.0,5.01045360966519,5.109375,-0.01936076141109422
1.3,0.01,860120,True,2638.0,5.596179520281059,5.478125,0.021550169132880104
1.3,0.01,860121,True,3269.0,4.934770365444843,4.628125,0.06625693243912889
1.3,0.01,860122,True,6898.0,4.967225135569194,4.809375,0.032821340729137116
1.3,0.01,860123,True,5101.0,5.635907012819353,5.496875,0.025292918761906202
1.3,0.01,860124,True,6425.0,4.9917639678735535,4.821875,0.03523296806191634
1.3,0.01,860125,True,2834.0,5.623081182546124,4.859375,0.15716140090981323
1.3,0.01,860126,True,4157.0,5.237988038166738,5.078125,0.03148072136206537
1.3,0.01,860127,True,1856.0,5.3794371992844745,5.215625,0.031407971103074805
1.3,0.01,860128,True,3376.0,5.501662208524973,5.340625,0.030153251449965612
1.3,0.01,860129,True,4703.0,5.272069115024587,5.115625,0.030581622973651745
1.3,0.01,860130,True,2562.0,5.938373460021577,5.784375,0.026623180554783632
1.3,0.01,860131,True,4153.0,5.688762020841148,5.546875,0.025579631926291535
1.3,0.01,860132,True,3774.0,4.915806380942241,4.753125,0.034226194544061395
1.3,0.01,860133,True,3334.0,5.711053226148197,5.546875,0.029598328094322834
1.3,0.01,860134,True,2289.0,5.268131773207823,5.115625,0.029811953223276566
1.3,0.01,860135,True,3155.0,5.363452729004824,5.209375,0.029577008567212904
1.3,0.01,860136,True,4368.0,4.920526382880725,4.765625,0.03250389673562748
1.3,0.01,860137,True,4825.0,5.7565717288945,5.603125,0.027385919267283843
1.3,0.01,860138,True,4784.0,5.762831743346464,5.571875,0.034271541150234563
1.3,0.01,860139,True,3079.0,6.026540783776045,5.853125,0.02962789685442302
1.3,0.005,860100,True,4072.0,4.659938153085341,4.503125,0.03482318458522493
1.3,0.005,860101,True,6090.0,5.703048955071188,5.528125,0.03164254698856994
1.3,0.005,860102,True,6235.0,5.791736152256097,5.640625,0.02678978876562388
1.3,0.005,860103,True,4468.0,5.416910573149046,5.278125,0.02629448395955869
1.3,0.005,860104,False,,,4.653125,
1.3,0.005,860105,True,3723.0,5.920779909486614,5.796875,0.02137443182518406
1.3,0.005,860106,True,5716.0,5.239008656695702,5.071875,0.03295303151116746
1.3,0.005,860107,True,9306.0,5.955164235427425,5.796875,0.027305959750283604
1.3,0.005,860108,True,17022.0,4.799153858893583,4.634375,0.03555578883745558
1.3,0.005,860109,True,4194.0,5.134512674996217,4.959375,0.03531446502759272
1.3,0.005,860110,True,5405.0,4.92263305723946,5.084375,-0.03181156833643073
1.3,0.005,860111,True,4361.0,4.682466740464752,4.528125,0.034085132469786616
1.3,0.005,860112,True,4309.0,5.916057392264016,5.778125,0.02387147946159285
1.3,0.005,860113,True,4053.0,5.384049806137403,5.253125,0.024923223060064892
1.3,0.005,860114,True,6227.0,5.533465816976888,5.384375,0.027689530721186406
1.3,0.005,860115,True,3424.0,4.917090938520871,4.759375,0.03313795162618427
