a,eta,seed,crossed,step,w2_cross,w2_own,obs_r
1.3,0.005,860116,True,6170.0,5.269633046899807,5.115625,0.03010542150759843
1.3,0.005,860117,True,4581.0,5.40919920144678,5.271875,0.026048455520432556
1.3,0.005,860118,True,3809.0,5.196203475412199,5.053125,0.02831484980328014
1.3,0.005,860119,True,4043.0,5.0155516573064265,5.109375,-0.0183629783865098
1.3,0.005,860120,True,4960.0,5.618253604934797,5.478125,0.02557966547583268
1.3,0.005,860121,True,5484.0,4.937909863974467,4.628125,0.06693528458597542
1.3,0.005,860122,True,10645.0,4.965801896932759,4.809375,0.032525410668279964
1.3,0.005,860123,True,8446.0,5.6399346717183585,5.496875,0.0260256366969156
1.3,0.005,860124,True,10121.0,4.9966638570865936,4.821875,0.03624914728950723
1.3,0.005,860125,True,5039.0,5.633297446990865,4.859375,0.15926378330358637
1.3,0.005,860126,True,6901.0,5.243348994968231,5.078125,0.032536417470667045
1.3,0.005,860127,True,3616.0,5.379193998793742,5.215625,0.0313613418897527
1.3,0.005,860128,True,5732.0,5.507766323906576,5.340625,0.031296210444765604
1.3,0.005,860129,True,8143.0,5.271261447549109,5.115625,0.030423740510516106
1.3,0.005,860130,True,4761.0,5.940707419204625,5.784375,0.027026674308741283
1.3,0.005,860131,True,6712.0,5.698399282475146,5.546875,0.027317053741998
1.3,0.005,860132,True,7036.0,4.924724869734359,4.753125,0.03610253669624908
1.3,0.005,860133,True,5820.0,5.716215375710998,5.546875,0.03052896914226455
1.3,0.005,860134,True,4282.0,5.269118897895437,5.115625,0.030004915898924844
1.3,0.005,860135,True,5424.0,5.364891445522304,5.209375,0.02985318690290173
1.3,0.005,860136,True,7573.0,4.925509461376483,4.765625,0.03354952632162256
1.3,0.005,860137,True,9184.0,5.756531502370813,5.603125,0.02737873996578921
1.3,0.005,860138,True,8845.0,5.760697147279939,5.571875,0.0338884392201797
1.3,0.005,860139,True,5406.0,6.032137568862147,5.853125,0.030584101460697788
1.3,0.0025,860100,True,7237.0,4.659096780684468,4.503125,0.03463634269190141
1.3,0.0025,860101,True,10845.0,5.706554061053451,5.528125,0.032276596685757
1.3,0.0025,860102,True,10498.0,5.793526636850233,5.640625,0.027107215397271123
1.3,0.0025,860103,True,8158.0,5.426163662569691,5.278125,0.028047585566785882
1.3,0.0025,860104,False,,,4.653125,
1.3,0.0025,860105,True,7291.0,5.930002744400755,5.796875,0.02296543299635667
1.3,0.0025,860106,True,10667.0,5.243851154330317,5.071875,0.03390780615261946
1.3,0.0025,860107,True,14948.0,5.957178352053917,5.796875,0.02765340844056796
1.3,0.0025,860108,True,23026.0,4.797598195000099,4.634375,0.03522010950777599
1.3,0.0025,860109,True,7558.0,5.136203356629614,4.959375,0.03565537121706153
1.3,0.0025,860110,True,8926.0,4.928208167558537,5.084375,-0.03071505001921815
1.3,0.0025,860111,True,7557.0,4.68834021766605,4.528125,0.03538224268677426
1.3,0.0025,860112,True,8482.0,5.924322276224707,5.778125,0.025301854187077533
1.3,0.0025,860113,True,7508.0,5.384729845159125,5.253125,0.0250526772462345
1.3,0.0025,860114,True,10075.0,5.540314736548078,5.384375,0.028961529712933753
1.3,0.0025,860115,True,6479.0,4.918749054177356,4.759375,0.033486340995898756
1.3,0.0025,860116,True,9932.0,5.273383366577266,5.115625,0.030838532257009943
1.3,0.0025,860117,True,8315.0,5.411082859464749,5.271875,0.026405758760355447
1.3,0.0025,860118,True,7055.0,5.198110541368484,5.053125,0.02869225308467227
1.3,0.0025,860119,True,7440.0,5.025623173828902,5.109375,-0.016391794724618602
1.3,0.0025,860120,True,9473.0,5.63958393975442,5.478125,0.029473394592934632
1.3,0.0025,860121,True,9156.0,4.942707428724088,4.628125,0.06797189547043092
1.3,0.0025,860122,True,15874.0,4.964961942875845,4.809375,0.03235076135170267
1.3,0.0025,860123,True,13775.0,5.640489118269927,5.496875,0.026126502470936064
1.3,0.0025,860124,True,15217.0,4.9966219456441445,4.821875,0.03624045535069742
1.3,0.0025,860125,True,9008.0,5.643988807680983,4.859375,0.1614639346996234
1.3,0.0025,860126,True,11436.0,5.248589403947757,5.078125,0.03356837493125053
1.3,0.0025,860127,True,7015.0,5.3791526607067075,5.215625,0.031353416073185425
1.3,0.0025,860128,True,9738.0,5.512591923646348,5.340625,0.03219977505373395
1.3,0.0025,860129,True,13397.0,5.270340497391148,5.115625,0.030243713601201927
1.3,0.0025,860130,True,8834.0,5.942785223348029,5.784375,0.027385884101226
1.3,0.0025,860131,True,11014.0,5.707462198963765,5.546875,0.028950931644171618
1.3,0.0025,860132,True,12094.0,4.928948692138386,4.753125,0.03699117783319106
1.3,0.0025,860133,True,10180.0,5.7206609151607,5.546875,0.03133041850784446
1.3,0.0025,860134,True,7936.0,5.270683797560784,5.115625,0.030310821758980477
1.3,0.0025,860135,True,9286.0,5.368389288911367,5.209375,0.03052463854327403
1.3,0.0025,860136,True,12531.0,4.926372979894751,4.765625,0.033730723650046146
1.3,0.0025,860137,True,15141.0,5.756156181391344,5.603125,0.02731175574190181
1.3,0.0025,860138,True,14628.0,5.760666631714977,5.571875,0.03388296250633349
1.3,0.0025,860139,True,9431.0,6.037939002672778,5.853125,0.03157527007757022
1.5,0.01,860100,True,1011.0,2.4753533028838777,2.3031249999999996,0.07478026719517095
1.5,0.01,860101,True,2113.0,3.0027207175349537,2.815625,0.06644908946857409
1.5,0.01,860102,True,1944.0,3.0351481548195625,2.878125,0.05455744792862105
1.5,0.01,860103,True,1175.0,2.8284480466083037,2.690625,0.05122343195662871
1.5,0.01,860104,False,,,2.371875,
1.5,0.01,860105,True,929.0,3.0915889646101435,2.965625,0.04247467721311482
1.5,0.01,860106,True,1798.0,2.74336257768452,2.590625,0.058957810445170455
1.5,0.01,860107,True,5035.0,3.109522185597557,2.9468750000000004,0.05519310645940423
1.5,0.01,860108,True,11690.0,2.5589891500050985,2.371875,0.07888870619450783
1.5,0.01,860109,True,1049.0,2.7135867767151045,2.528125,0.0733594172420684
1.5,0.01,860110,True,1586.0,2.5920334680007353,2.596875,-0.0018643685195723902
1.5,0.01,860111,True,1178.0,2.484789763866215,2.328125,0.06729224756669638
1.5,0.01,860112,True,1164.0,3.093495231819444,2.9593749999999996,0.045320458481755255
1.5,0.01,860113,True,989.0,2.8265868514984787,2.684375,0.05297763967347269
1.5,0.01,860114,True,1976.0,2.90063406996462,2.753125,0.053578776831644026
1.5,0.01,860115,True,797.0,2.614171053393929,2.4468750000000004,0.06837131173187383
1.5,0.01,860116,True,1943.0,2.7810534487550416,2.6156249999999996,0.06324624086214259
1.5,0.01,860117,True,1273.0,2.8504295990070236,2.703125,0.05449418691589303
1.5,0.01,860118,True,911.0,2.744367411145309,2.5843749999999996,0.06190758351450909
1.5,0.01,860119,True,1068.0,2.627515336406568,2.609375,0.00695198520970286
1.5,0.01,860120,True,1585.0,2.9166243711915096,2.7906250000000004,0.045150950482959695
1.5,0.01,860121,True,1643.0,2.6051584267516903,2.3656249999999996,0.10125587392409652
1.5,0.01,860122,True,6623.0,2.6328561516537317,2.4593749999999996,0.07053871477661278
1.5,0.01,860123,True,4580.0,2.9633769846124296,2.815625,0.052475732603748604
1.5,0.01,860124,True,5826.0,2.63577523484952,2.4468750000000004,0.07720060683505281
1.5,0.01,860125,True,1399.0,2.9290799849042264,2.484375,0.17900074864069482
1.5,0.01,860126,True,2759.0,2.778244269984552,2.6031250000000004,0.06727270875757085
1.5,0.01,860127,True,819.0,2.837094158178192,2.653125,0.06934055431922426
1.5,0.01,860128,True,1742.0,2.904586599335338,2.7281250000000004,0.06468237318133796
1.5,0.01,860129,True,3970.0,2.7860855410955283,2.609375,0.0677214049707413
1.5,0.01,860130,True,1202.0,3.1258625796997452,2.965625,0.054031639097911865
1.5,0.01,860131,True,2340.0,2.98230843840305,2.8343749999999996,0.052192613328529314
1.5,0.01,860132,True,3234.0,2.6031426579498875,2.4281249999999996,0.07207934432942609
1.5,0.01,860133,True,1855.0,3.0069408464082374,2.8343749999999996,0.060883209317129205
1.5,0.01,860134,True,1073.0,2.778547391181323,2.6156249999999996,0.06228813043969361
1.5,0.01,860135,True,1584.0,2.8300810473633424,2.6656250000000004,0.06169511741649414
1.5,0.01,860136,True,3623.0,2.6029214545022548,2.434375,0.06923602752339075
1.5,0.01,860137,True,3175.0,3.010638517162538,2.846875,0.057523957729980424
1.5,0.01,860138,True,3820.0,3.05780309681158,2.8531250000000004,0.0717382157499511
1.5,0.01,860139,True,1498.0,3.1847582635870646,3.003125,0.06048141971681664
1.5,0.005,860100,True,1939.0,2.475063767176566,2.3031249999999996,0.07465455291248468
1.5,0.005,860101,True,3898.0,3.0076262631779787,2.815625,0.06819134763257839
1.5,0.005,860102,True,3533.0,3.036672462826197,2.878125,0.055087066345692826
1.5,0.005,860103,True,2407.0,2.83400684147565,2.690625,0.053289418434620206
1.5,0.005,860104,False,,,2.371875,
1.5,0.005,860105,True,1768.0,3.0945187524016533,2.965625,0.04346259301214861
1.5,0.005,860106,True,3452.0,2.7570296595342243,2.590625,0.06423340295651592
1.5,0.005,860107,True,7610.0,3.118113616433441,2.9468750000000004,0.05810854428282175
1.5,0.005,860108,True,16467.0,2.554606220335298,2.371875,0.07704083070789891
1.5,0.005,860109,True,2011.0,2.714757922562578,2.528125,0.07382266405441884
1.5,0.005,860110,True,2914.0,2.59552289057087,2.596875,-0.0005206678908803442
1.5,0.005,860111,True,2213.0,2.4863872367730457,2.328125,0.06797841042600616
1.5,0.005,860112,True,2264.0,3.097789506675878,2.9593749999999996,0.0467715334068437
1.5,0.005,860113,True,1935.0,2.8278729284234982,2.684375,0.05345673701457443
1.5,0.005,860114,True,3488.0,2.903637386348207,2.753125,0.05466965224906506
1.5,0.005,860115,True,1579.0,2.616321128602358,2.4468750000000004,0.0692500142436201
1.5,0.005,860116,True,3452.0,2.782924102828155,2.6156249999999996,0.06396142521506532
1.5,0.005,860117,True,2419.0,2.851646748073588,2.703125,0.054944461715084714
1.5,0.005,860118,True,1750.0,2.743849230205346,2.5843749999999996,0.0617070781931206
1.5,0.005,860119,True,2020.0,2.6316420114181445,2.609375,0.008533465453660183
1.5,0.005,860120,True,3130.0,2.9331174793996353,2.7906250000000004,0.05106113483525543
1.5,0.005,860121,True,2990.0,2.6061970738809035,2.3656249999999996,0.10169493215573211
1.5,0.005,860122,True,9497.0,2.6294197583923835,2.4593749999999996,0.06914145195115995
1.5,0.005,860123,True,6977.0,2.9677659889950485,2.815625,0.054034535492137215
1.5,0.005,860124,True,8709.0,2.641359596358211,2.4468750000000004,0.07948284908636949
1.5,0.005,860125,True,2649.0,2.935950463322127,2.484375,0.18176622423028999
1.5,0.005,860126,True,4836.0,2.783424519002903,2.6031250000000004,0.0692627203852687
1.5,0.005,860127,True,1601.0,2.834905933829587,2.653125,0.06851578189101026
1.5,0.005,860128,True,3208.0,2.908450281803785,2.7281250000000004,0.0660986141777904
1.5,0.005,860129,True,6403.0,2.782613444182627,2.609375,0.06639078100412066
1.5,0.005,860130,True,2361.0,3.1275527481520307,2.965625,0.05460155891322427
1.5,0.005,860131,True,4079.0,2.9884821836940967,2.8343749999999996,0.05437078145767482
1.5,0.005,860132,True,5713.0,2.6151673202869534,2.4281249999999996,0.07703158621856532
1.5,0.005,860133,True,3445.0,3.011602320035327,2.8343749999999996,0.06252783066295997
1.5,0.005,860134,True,2115.0,2.7773945648673393,2.6156249999999996,0.06184738441762083
1.5,0.005,860135,True,2919.0,2.831224154313179,2.6656250000000004,0.06212395003542448
1.5,0.005,860136,True,5986.0,2.608438168054836,2.434375,0.07150219997117757
1.5,0.005,860137,True,6398.0,3.0119700956638633,2.846875,0.05799169112232305
1.5,0.005,860138,True,6906.0,3.055545246904336,2.8531250000000004,0.07094685543196877
1.5,0.005,860139,True,2822.0,3.189017396294121,3.003125,0.061899653292527335
1.5,0.0025,860100,True,3642.0,2.473650832982137,2.3031249999999996,0.07404106723783443
1.5,0.0025,860101,True,6933.0,3.011302285042512,2.815625,0.06949692698513199
1.5,0.0025,860102,True,6193.0,3.03777028199163,2.878125,0.05546850188634278
1.5,0.0025,860103,True,5010.0,2.846176860998,2.690625,0.057812538350011655
1.5,0.0025,860104,False,,,2.371875,
1.5,0.0025,860105,True,3526.0,3.1026792020528733,2.965625,0.046214272557344005
1.5,0.0025,860106,True,6489.0,2.766036616201694,2.590625,0.06771015341923037
1.5,0.0025,860107,True,11293.0,3.1189400177165485,2.9468750000000004,0.058388977379952633
1.5,0.0025,860108,True,22257.0,2.5536531815484658,2.371875,0.07663902252372723
1.5,0.0025,860109,True,3797.0,2.7158027724059495,2.528125,0.07423595447454123
1.5,0.0025,860110,True,5064.0,2.6003476532699796,2.596875,0.0013372431364542248
1.5,0.0025,860111,True,4031.0,2.4917580110000266,2.328125,0.07028532016108535
1.5,0.0025,860112,True,4567.0,3.1071151642885853,2.9593749999999996,0.049922758788117694
1.5,0.0025,860113,True,3727.0,2.828500614013056,2.684375,0.05369056633780889
1.5,0.0025,860114,True,5832.0,2.9106925120216944,2.753125,0.057232240461909445
1.5,0.0025,860115,True,3105.0,2.616934749896658,2.4468750000000004,0.06950079178407464
1.5,0.0025,860116,True,5799.0,2.787011292554354,2.6156249999999996,0.06552403060620482
1.5,0.0025,860117,True,4561.0,2.853889017807214,2.703125,0.055773971905558994
1.5,0.0025,860118,True,3367.0,2.744439145429028,2.5843749999999996,0.061935340432030195
1.5,0.0025,860119,True,3871.0,2.6393723851849664,2.609375,0.011496003903220586
1.5,0.0025,860120,True,5578.0,2.956766888636139,2.7906250000000004,0.059535727170844766
1.5,0.0025,860121,True,5221.0,2.61062496607493,2.3656249999999996,0.10356669635928362
1.5,0.0025,860122,True,12988.0,2.6276172246966483,2.4593749999999996,0.06840852846623569
1.5,0.0025,860123,True,10446.0,2.9693051300944084,2.815625,0.05458117827992326
1.5,0.0025,860124,True,12139.0,2.642194857282277,2.4468750000000004,0.07982420731842721
1.5,0.0025,860125,True,4913.0,2.9473417311191175,2.484375,0.18635138862656309
1.5,0.0025,860126,True,7962.0,2.7900120882903425,2.6031250000000004,0.07179335924719021
1.5,0.0025,860127,True,3160.0,2.834458113806462,2.653125,0.0683469922474298
1.5,0.0025,860128,True,5672.0,2.913322452861368,2.7281250000000004,0.06788451880370872
1.5,0.0025,860129,True,9826.0,2.7818742958284903,2.609375,0.06610751456900221
1.5,0.0025,860130,True,4613.0,3.1300380570148985,2.965625,0.05543959772894347
1.5,0.0025,860131,True,6840.0,2.9990022662591183,2.8343749999999996,0.058082387213801434
1.5,0.0025,860132,True,9089.0,2.6201404793742302,2.4281249999999996,0.07907973410521718
1.5,0.0025,860133,True,6195.0,3.017708660403975,2.8343749999999996,0.06468221756259318
1.5,0.0025,860134,True,4142.0,2.7784837748164435,2.6156249999999996,0.06226380877092241
1.5,0.0025,860135,True,5236.0,2.8342794279446513,2.6656250000000004,0.06327012537196741
1.5,0.0025,860136,True,9281.0,2.610314224929751,2.434375,0.07227285234598235
1.5,0.0025,860137,True,10436.0,3.0116726118944057,2.846875,0.05788719627465411
1.5,0.0025,860138,True,10872.0,3.054117078629287,2.8531250000000004,0.07044629261924618
1.5,0.0025,860139,True,5100.0,3.195177593819949,3.003125,0.06395091573609135
