seed,placed_at_init,crossed,step,s_cross,growth,relax,ratio
600160,False,True,61,0.04156922558428673,-0.0022511621253342123,0.024678957666763805,-0.09121787701617348
600161,False,True,500,0.11229965140305391,0.0016311836149264089,0.11879916173059968,0.013730598694167864
600162,False,True,30148,5.15325356884431,3.550491655678251e-05,6.2345512450330896,5.69486321650951e-06
600163,False,True,404,0.12041821352294196,0.0018583525939089574,0.03714448199454124,0.050030381206609936
600164,False,True,30758,5.257174772784545,3.482318059341723e-05,5.749446374624821,6.056788484385092e-06
600165,False,True,1758,0.2910072220902984,0.001748283366926818,0.12335339097473919,0.01417296559998775
600166,False,True,27526,4.613651768141374,3.959365123448649e-05,5.61951937192396,7.0457362300952045e-06
600167,False,True,31327,5.265410377284756,3.474987200361078e-05,5.524050966574614,6.290650143142811e-06
600168,False,True,28089,4.7753175677747866,3.8298214198859216e-05,6.002676180780639,6.380189942859552e-06
600169,False,True,30137,5.052387412316213,3.620012579567799e-05,4.887408152025395,7.406814546617366e-06
600170,False,True,25,0.06068011063441062,0.0031147884798814786,0.02013373897873699,0.15470492009313178
600171,False,True,27733,4.760386502319701,3.8404562079541684e-05,5.632220988668161,6.8187242931004255e-06
600172,False,True,99,0.07555667193085307,0.0032619637323273677,0.01424934385339257,0.22892027632210868
600173,False,True,28515,4.7487176134726,3.8485040449715736e-05,5.834893129792122,6.595671864702487e-06
600174,False,True,79,0.05651050408818461,0.0026958208988159546,0.014006268538600503,0.1924724555570544
600175,False,True,31341,5.311206841313046,3.4445215512160614e-05,6.235436760637996,5.524106303122262e-06
600176,False,False,,,
600177,False,True,26063,4.364535474089632,4.185660376441632e-05,6.353735931644547,6.58771535592958e-06
600178,False,True,26805,4.562971472993766,4.0050802692276204e-05,6.601392062663506,6.067023790148384e-06
600179,False,False,,,
600180,False,True,28929,4.870501156541737,3.754444341810093e-05,5.943583095176953,6.316802981785039e-06
600181,False,False,,,
600182,False,True,80,0.07525485386271065,0.002868349030577961,0.01715414079947015,0.16721030007323695
600183,False,True,12,0.05486150061950088,0.00338882447663202,0.0412556855751479,0.08214199883938957
600184,False,True,29754,4.9872955525136256,3.666527168530237e-05,5.584846561401114,6.565135009922971e-06
600185,False,True,30381,5.059656443252074,3.615448508363057e-05,6.469804497402415,5.588188189943972e-06
600186,False,True,115,0.052215707556054945,0.0012217186699921962,0.0262220219845348,0.04659132200837679
600187,False,True,30596,5.183626078743974,3.530527055398143e-05,6.404497535238118,5.512574618028764e-06
600188,False,True,76,0.04963069569438658,0.0012290625142711159,0.02637273807188301,0.04660352333993969
600189,False,True,28509,4.816352301763686,3.7948769789747594e-05,5.651824587996953,6.7144280928925486e-06
600190,False,False,,,
600191,False,True,30927,5.240017850461566,3.491654550907795e-05,5.595922135637645,6.239641056960359e-06
600192,False,False,,,
600193,False,False,,,
600194,False,True,26,0.04283453400466246,0.00018204121575992306,0.011813645552972101,0.015409402198809388
600195,False,True,28358,4.768920846213234,3.8343634930814876e-05,6.124813489105399,6.260375928021184e-06
600196,False,True,30568,5.183361294350288,3.5292239961347844e-05,5.743980692262217,6.144212846831193e-06
600197,False,True,25,0.0590458350205352,0.0022653341666485157,0.021430929685490777,0.10570396151232758
600198,False,True,513,0.1314958756745967,0.0024466123818184292,0.17653238156185871,0.013859283833210575
