a,glob_sign_changes_on_coarse_grid,w2_glob_lo,w2_glob_hi,solve_sign_changes_on_coarse_grid,w2_solve_lo,w2_solve_hi,unresolved_evaluations,all_converged,seed
1.45,1,2.769532,2.773438,1,4.632812,4.636719,0,True,0
1.45,1,2.988282,2.992188,1,3.875,3.878906,0,True,1
1.45,1,2.855468,2.859375,1,4.0625,4.066406,0,True,2
1.45,1,3.382812,3.386718,1,4.488281,4.492188,1,True,3
1.45,1,2.535156,2.539062,1,3.964844,3.96875,1,True,4
1.45,1,2.832032,2.835938,1,3.914062,3.917968,1,True,5
1.45,1,2.734375,2.738282,1,4.101562,4.105469,1,True,6
1.45,1,2.9375,2.941406,1,4.15625,4.160156,0,True,7
1.45,1,2.84375,2.847656,1,4.03125,4.035156,0,True,8
1.45,1,3.378906,3.382812,1,4.335938,4.339844,0,True,9
1.45,1,3.058594,3.0625,1,4.320312,4.324219,0,True,10
1.45,1,3.160156,3.164062,1,4.042969,4.046875,0,True,11
1.45,1,2.769532,2.773438,1,4.457031,4.460938,1,True,12
1.45,1,3.3125,3.316406,1,4.253906,4.257812,1,True,13
1.45,1,2.765625,2.769532,1,4.242188,4.246094,1,True,14
1.45,1,2.902344,2.90625,1,4.085938,4.089844,0,True,15
1.45,1,2.78125,2.785156,1,4.09375,4.097656,1,True,16
1.45,1,3.058594,3.0625,1,4.050781,4.054688,0,True,17
1.45,1,3.078125,3.082032,1,4.566406,4.570312,1,True,18
1.45,1,2.882812,2.886718,1,4.246094,4.25,0,True,19
1.45,1,3.269532,3.273438,1,4.308594,4.3125,1,True,20
1.45,1,3.167968,3.171875,1,4.527344,4.53125,0,True,21
1.45,1,2.902344,2.90625,1,3.890625,3.894532,0,True,22
1.45,1,3.191406,3.195312,1,4.628906,4.632812,0,True,23
1.45,1,3.242188,3.246094,1,4.394531,4.398438,1,True,24
1.45,1,3.386718,3.390625,1,4.945312,4.949219,0,True,25
1.45,1,3.222656,3.226562,1,4.453125,4.457031,0,True,26
1.45,1,3.019532,3.023438,1,5.359375,5.363281,1,True,27
1.45,1,3.355468,3.359375,1,5.070312,5.074219,0,True,28
1.45,1,3.011718,3.015625,1,4.179688,4.183594,0,True,29
1.45,1,3.199218,3.203125,1,4.378906,4.382812,0,True,30
1.45,1,3.140625,3.144532,1,4.828125,4.832031,0,True,31
1.45,1,2.671875,2.675782,1,3.738282,3.742188,0,True,32
1.45,1,3.148438,3.152344,1,4.359375,4.363281,0,True,33
1.45,1,2.722656,2.726562,1,3.988282,3.992188,1,True,34
1.45,1,3.070312,3.074218,1,4.351562,4.355469,1,True,35
1.45,1,3.535156,3.539062,1,4.726562,4.730469,0,True,36
1.45,1,2.847656,2.851562,1,3.921875,3.925782,0,True,37
1.45,1,3.371094,3.375,1,5.367188,5.371094,1,True,38
1.45,1,3.121094,3.125,1,4.585938,4.589844,0,True,39
1.45,1,3.164062,3.167968,1,4.144531,4.148438,0,True,40
1.45,1,3.519532,3.523438,1,4.605469,4.609375,0,True,41
1.45,1,2.886718,2.890625,1,4.011719,4.015625,0,True,42
1.45,1,3.316406,3.320312,1,4.605469,4.609375,1,True,43
1.45,1,3.171875,3.175782,1,4.296875,4.300781,0,True,44
1.45,1,3.21875,3.222656,1,4.480469,4.484375,1,True,45
1.45,1,3.496094,3.5,1,4.136719,4.140625,0,True,46
1.45,1,3.261718,3.265625,1,4.675781,4.679688,0,True,47
1.45,1,2.976562,2.980468,1,4.1875,4.191406,0,True,48
1.45,1,2.835938,2.839844,1,4.171875,4.175781,1,True,49
