a,seed,precision,exact_sep,inner_max_logit,outer_min_logit,margin,lip_certified,lipschitz,certify_threshold,margin_grid
1.35,103,float64,True,-0.46687767196150887,0.0465731129189102,0.0465731129189102,True,12.90841855343306,0.0025829751982857,0.0465731129189102
1.35,116,float32,True,-0.4654473540335573,0.08262674406625337,0.08262674406625337,True,12.832294752548322,0.0025677428219206,0.0826267440662533
1.35,180,float32,True,-0.33434987461758325,0.017367931302125328,0.017367931302125328,True,11.831755931673069,0.0023675349538115,0.0173679313021253
1.35,192,float64,True,-0.41072770992141727,0.08533149621203506,0.08533149621203506,True,12.734397752770382,0.0025481536273677,0.085331496212035
1.4,1,float64,True,-0.3705249008965996,0.000276884142696332,0.000276884142696332,False,11.102158567722215,0.0022215424847868,0.0002768841426963
1.4,2,float32,True,-0.4903125664928467,0.0029883559071066657,0.0029883559071066657,True,11.647109684894168,0.0023305872305941,0.0029883559071066
1.4,5,float64,True,-0.48621617395785677,0.04023303758745911,0.04023303758745911,True,11.908035258593037,0.002382798450944,0.0402330375874591
1.4,10,float64,True,-0.48171832934765035,0.00118730736880579,0.00118730736880579,False,12.163603184425211,0.0024339376056878,0.0011873073688057
1.4,15,float64,True,-0.49181165869851284,0.01651710236794912,0.01651710236794912,True,11.906266669030945,0.0023824445560842,0.0165171023679491
1.4,18,float64,True,-0.541174387928038,0.06321811890174445,0.06321811890174445,True,11.629129477290672,0.0023269893901532,0.0632181189017444
1.4,19,float64,True,-0.5500603212330653,0.021062039265814292,0.021062039265814292,True,12.387774960884162,0.0024787943893715,0.0210620392658142
1.4,22,float64,True,-0.4546738928492111,0.0664961435831799,0.0664961435831799,True,12.152406123056382,0.0024316970731478,0.0664961435831799
1.4,44,float32,True,-0.4796643470481463,0.0633887767288499,0.0633887767288499,True,13.195524914891736,0.0026404251955761,0.0633887767288499
1.4,52,float64,True,-0.49758778717051655,0.04688803826999788,0.04688803826999788,True,12.648195758868834,0.0025309046040758,0.0468880382699978
1.4,84,float32,True,-0.5205995643803938,0.038394456020952816,0.038394456020952816,True,10.93578775827152,0.002188251677493,0.0383944560209528
1.4,89,float32,True,-0.4800096552344826,0.032503601701762364,0.032503601701762364,True,11.604517925271944,0.002322064617363,0.0325036017017623
1.4,90,float32,True,-0.4173225944876684,0.06108750089675041,0.06108750089675041,True,11.872416075717297,0.0023756710506687,0.0610875008967504
1.4,95,float32,True,-0.4275171298249312,0.019828205951657907,0.019828205951657907,True,11.604953419230831,0.002322151759726,0.0198282059516579
1.4,96,float32,True,-0.45601785140882,0.018577517010379907,0.018577517010379907,True,11.412465628445716,0.0022836349431607,0.0185775170103799
1.4,99,float64,True,-0.51723951107682,0.0374751316399653,0.0374751316399653,True,11.699113961271712,0.0023409932888987,0.0374751316399653
1.4,102,float64,True,-0.4725559202661884,0.043791844607895314,0.043791844607895314,True,11.784419557414248,0.0023580629429543,0.0437918446078953
1.4,103,float64,True,-0.5996319566383157,0.17915358332872344,0.17915358332872344,True,13.773682077185365,0.0027561144726734,0.1791535833287234
1.4,116,float32,True,-0.5899323721146175,0.20142344366319165,0.20142344366319165,True,13.568268869096892,0.0027150112794591,0.2014234436631916
1.4,141,float64,True,-0.695614781763048,0.00914070685821855,0.00914070685821855,True,13.205252565753094,0.0026423716990001,0.0091407068582185
1.4,150,float32,True,-0.5170985509249775,0.11093974051092204,0.11093974051092204,True,12.927753104497924,0.002586844042921,0.110939740510922
1.4,151,float32,True,-0.3867537657356017,0.09147201654335291,0.09147201654335291,True,12.374892524113148,0.0024762166131291,0.0914720165433529
1.4,159,float32,True,-0.4275464019147108,0.003930181860955173,0.003930181860955173,True,11.046849145602708,0.0022104750666538,0.0039301818609551
1.4,160,float64,True,-0.4043625392998358,0.02693856210160206,0.02693856210160206,True,11.758214718477552,0.0023528193533721,0.026938562101602
1.4,166,float64,True,-0.40167443399166913,0.05709071085591333,0.05709071085591333,True,11.847786507817462,0.0023707426728999,0.0570907108559133
1.4,169,float32,True,-0.5634100581240986,0.08039559787427919,0.08039559787427919,True,12.41329696312232,0.0024839013432961,0.0803955978742791
1.4,172,float32,True,-0.5566548091103307,0.09797695906173942,0.09797695906173942,True,13.941247518220916,0.002789644325807,0.0979769590617394
1.4,175,float64,True,-0.526802912812137,0.02440986708344539,0.02440986708344539,True,11.325350479477471,0.0022662031974942,0.0244098670834453
1.4,180,float32,True,-0.4411584443651648,0.12498248497108833,0.12498248497108833,True,12.514288734528144,0.0025041098018065,0.1249824849710883
1.4,190,float32,True,-0.4803375680131037,0.009867422270726678,0.009867422270726678,True,10.71745752642562,0.0021445637871787,0.0098674222707266
1.4,192,float64,True,-0.5348420991033827,0.20646810311473018,0.20646810311473018,True,13.53184180806866,0.002707722222725,0.2064681031147301
1.4,194,float64,True,-0.3936165234703566,0.03498888897722985,0.03498888897722985,True,10.5993066757891,0.0021209217960558,0.0349888889772298
1.45,1,float64,True,-0.48087845118873496,0.11923279707492362,0.11923279707492362,True,11.855013889576602,0.0023721888723514,0.1192327970749236
1.45,2,float32,True,-0.6022993282364482,0.10349753891960844,0.10349753891960844,True,12.234548564583037,0.0024481337798065,0.1034975389196084
1.45,2,float64,True,-0.47815413387745487,0.02111400152999998,0.02111400152999998,True,10.83396224980564,0.0021678763881552,0.0211140015299999
1.45,5,float32,True,-0.37009020833037276,0.025754518847746155,0.025754518847746155,True,10.624414443721497,0.0021259458616751,0.0257545188477461
1.45,5,float64,True,-0.596831040300497,0.15066802481728203,0.15066802481728203,True,12.544147942078654,0.002510084630731,0.150668024817282
1.45,7,float32,True,-0.5761980217379765,0.08689574251031829,0.08689574251031829,True,12.179530717786731,0.0024371247059103,0.0868957425103182
1.45,7,float64,True,-0.5504018789616936,0.0704275757538948,0.0704275757538948,True,11.847837811152386,0.0023707529386998,0.0704275757538948
1.45,10,float32,True,-0.5355075166690142,0.048153256486880736,0.048153256486880736,True,11.929413439977267,0.0023870762261085,0.0481532564868807
1.45,10,float64,True,-0.5865511832870105,0.10701028561443948,0.10701028561443948,True,12.749814304906469,0.0025512384802214,0.1070102856144394
1.45,12,float32,True,-0.6228532448728465,0.009023332092954917,0.009023332092954917,True,11.57085312453489,0.0023153282890515,0.0090233320929549
1.45,15,float64,True,-0.5957409306596411,0.11880332760185652,0.11880332760185652,True,12.422035401689564,0.0024856499052905,0.1188033276018565
1.45,18,float64,True,-0.6552979054875365,0.16209757368119782,0.16209757368119782,True,12.224911470870904,0.0024462053968726,0.1620975736811978
1.45,19,float32,True,-0.5373075923388626,0.01827854521851613,0.01827854521851613,True,11.231101519793649,0.0022473439759467,0.0182785452185161
1.45,19,float64,True,-0.6582310534603941,0.12297692764133572,0.12297692764133572,True,12.921505625759536,0.0025855939221129,0.1229769276413357
1.45,22,float64,True,-0.5596090210050768,0.17937064293418814,0.17937064293418814,True,12.823647108351569,0.0025660124278842,0.1793706429341881
1.45,34,float64,True,-0.500127579067696,0.0026158072695636747,0.0026158072695636747,True,10.305548342719945,0.0020621407389134,0.0026158072695636
1.45,37,float64,True,-0.5438053085684018,0.05385273648913369,0.05385273648913369,True,11.193599221261607,0.0022398397641343,0.0538527364891336
1.45,39,float32,True,-0.5587525001574463,0.03139189781076368,0.03139189781076368,True,11.844839556950683,0.002370152987884,0.0313918978107636
1.45,40,float32,True,-0.40143668172544444,0.009413427501899108,0.009413427501899108,True,11.114820608547122,0.0022240761597893,0.0094134275018991
1.45,42,float32,True,-0.4357856254119916,0.06363119902235859,0.06363119902235859,True,11.368826611885812,0.002274902773764,0.0636311990223585
1.45,44,float32,True,-0.6059799641495935,0.19253754309718119,0.19253754309718119,True,14.138700133276837,0.0028291546039573,0.1925375430971811
1.45,51,float32,True,-0.49796833936379414,0.06061880902954009,0.06061880902954009,True,10.69273102602383,0.0021396160132113,0.06061880902954
1.45,52,float64,True,-0.6065631054618237,0.1444062420915948,0.1444062420915948,True,13.217696591451777,0.0026448617491649,0.1444062420915948
1.45,58,float64,True,-0.5161043816710968,0.019374194891803143,0.019374194891803143,True,11.102020343395903,0.0022215148260922,0.0193741948918031
1.45,61,float32,True,-0.6298744402007408,0.024211188099096503,0.024211188099096503,True,11.877372427637392,0.0023766628169359,0.0242111880990965
1.45,63,float32,True,-0.5889329345874756,0.011718914008461923,0.011718914008461923,True,11.984862325363384,0.0023981715508481,0.0117189140084619
1.45,63,float64,True,-0.597039827382396,0.013656515210186626,0.013656515210186626,True,12.06813787275687,0.0024148349920473,0.0136565152101866
1.45,67,float32,True,-0.6233445566392852,0.03823106588660963,0.03823106588660963,True,12.1129351204906,0.0024237989235599,0.0382310658866096
1.45,69,float64,True,-0.5961451820916608,0.05660774942202096,0.05660774942202096,True,11.66761537711612,0.0023346904206335,0.0566077494220209
1.45,70,float64,True,-0.602191373243997,0.08915272317663181,0.08915272317663181,True,12.215223104157966,0.0024442667542086,0.0891527231766318
1.45,71,float32,True,-0.6408511502117769,0.030808975323665777,0.030808975323665777,True,12.839965520857728,0.002569277743043,0.0308089753236693
1.45,74,float64,True,-0.5174215168567997,0.0029594140249891154,0.0029594140249891154,True,11.105537865719556,0.0022222186824851,0.0029594140249891
1.45,75,float32,True,-0.6389847528787058,0.03392966713855827,0.03392966713855827,True,11.834041203266626,0.0023679922367717,0.0339296671385582
1.45,75,float64,True,-0.6811700210778362,0.07642714933357198,0.07642714933357198,True,12.44207339207162,0.0024896595081684,0.0764271493335719
1.45,77,float32,True,-0.5966001248578507,0.047612290305593774,0.047612290305593774,True,12.584346418097242,0.0025181283477933,0.0476122903055937
1.45,79,float64,True,-0.6117633592468827,0.08288086326778199,0.08288086326778199,True,12.509592392510855,0.0025031700635339,0.0828808632677819
1.45,84,float32,True,-0.6349421445408261,0.1451157584122189,0.1451157584122189,True,11.546509192959611,0.0023104570671254,0.1451157584122189
1.45,86,float64,True,-0.46603951909749064,0.058257813432165406,0.058257813432165406,True,10.396481244226475,0.0020803364170538,0.0582578134321654
1.45,89,float32,True,-0.5883948052399717,0.13226057605980657,0.13226057605980657,True,12.204670882044248,0.0024421552540358,0.1322605760598065
