arm,depth,activation,seed,warmup,test_errors,train_errors_10k,final_train_loss,penultimate_train_loss,loss_plateaued,duration_seconds
cifar_cnn,4,gelu,0,0,2461,110,0.04594288006782532,0.056725496739149096,False,911.3366221250035
cifar_cnn,4,gelu,1,0,2518,132,0.04658158347606659,0.05210053293228149,False,884.0588106249925
cifar_cnn,4,gelu,2,0,2358,134,0.048613159594535826,0.05026726252675057,False,881.5366249589715
cifar_cnn,4,relu,0,0,2557,365,0.10645456226825714,0.12177158685207366,False,770.991584333824
cifar_cnn,4,relu,1,0,2573,340,0.10443009802341462,0.12682313152313232,False,779.0136631659698
cifar_cnn,4,relu,2,0,2573,274,0.11944090254306793,0.13993985094070435,False,784.7362517500296
cifar_cnn,4,tanh,0,0,2918,589,0.21942739141464235,0.26806911926269533,False,873.226380124921
cifar_cnn,4,tanh,1,0,2870,569,0.20509865535736083,0.2520624595165253,False,893.5988897080533
cifar_cnn,4,tanh,2,0,2901,492,0.20621024238586425,0.23465014424324035,False,891.3957410410512
cifar_cnn,8,gelu,0,0,2100,257,0.08929924098968506,0.10120750884056091,False,1262.7472784160636
cifar_cnn,8,gelu,1,0,2048,243,0.08651565154075623,0.098683274269104,False,1238.6612911249977
cifar_cnn,8,gelu,2,0,1993,201,0.09406337124347687,0.09570089017629624,False,1229.5510472909082
cifar_cnn,8,relu,0,0,2196,575,0.21238587057113648,0.24687419887542725,False,1109.904930875171
cifar_cnn,8,relu,1,0,2187,660,0.1801646721458435,0.21349576289176941,False,1122.3784292920027
cifar_cnn,8,relu,2,0,2195,725,0.28416409490585326,0.32859498065948484,False,1130.9845018750057
cifar_cnn,8,tanh,0,0,2613,1136,0.31206521621704103,0.34456759983062746,False,1259.6151367910206
cifar_cnn,8,tanh,1,0,2385,816,0.2952468783187866,0.30864016159057617,False,1248.6214114171453
cifar_cnn,8,tanh,2,0,2561,965,0.3055894156932831,0.3300134397125244,False,1227.3903737920336
cifar_cnn,8,gelu,0,500,2140,193,0.1009790657401085,0.10513134731769562,False,1212.9389508329332
cifar_cnn,8,gelu,1,500,2085,268,0.09280320010185242,0.0983786949300766,False,1213.344894790789
cifar_cnn,8,gelu,2,500,2084,192,0.09564642906785012,0.10506605747222901,False,1212.8385600841139
cifar_cnn,8,relu,0,500,2103,414,0.1813211152458191,0.2278846442604065,False,1089.6864285839256
cifar_cnn,8,relu,1,500,2150,442,0.183042052025795,0.21801424138069153,False,1089.2171634999104
cifar_cnn,8,relu,2,500,2085,471,0.20052865126609803,0.23833290002822877,False,1089.1939054999966
cifar_cnn,8,tanh,0,500,2630,1129,0.2976908115196228,0.3272778633975983,False,1220.6300961661618
cifar_cnn,8,tanh,1,500,2387,815,0.3013608160591125,0.3206412421417236,False,1219.0794780422002
cifar_cnn,8,tanh,2,500,2593,1115,0.30586132435798646,0.3340910842990875,False,1221.2639104579575
