width,a,delta,k,s,restarts,retained_loss,retained_constant,G_lo,G_hi,placed,best_placed_loss,best_unplaced_loss,undecided,n_polished_placed,q,raw_best_loss,raw_not_converged
width2,1.3,0.8,2,0.31622776601683794,400,0.5137918186370275,False,-1.9417106628040148,-1.9417106628040148,False,inf,0.5137918186370275,False,0,"[1.6034180727174532, 4.516616228539939, -1.6034180762116952, -95.62280322013672, 0.9234711807995966, 0.07652881920040344]",0.5137918186370275,37
width2,1.3,0.8,3,0.5623413251903491,400,0.4261369890052208,False,-0.1778056664734411,-0.1778056664734411,False,inf,0.4261369890052208,False,0,"[1.6024287336812437, 1.3835868941707568, 1.6024287324059687, 4.525179547243575, -0.2751536751455277, 0.7248463252645932]",0.42613698900522096,4
width2,1.3,0.8,0,0.1,400,0.60258751825427,False,-10.931314446274602,-10.931314446274602,False,inf,0.60258751825427,False,0,"[1.6061893028851055, 4.5095634553205945, 291.10695506327636, 413.31898346533484, 0.989764566861831, 0.010235433134970016]",0.6025875182542701,42
width2,1.3,0.8,4,1.0,400,0.3020539349196423,False,0.46035246238524774,0.46035246238524774,True,0.3020539349196423,inf,False,5,"[1.6019497548290398, -1.7435992367222657, 1.6019497515079606, 7.6811787161911695, 0.6201654328329622, -0.3798345671670378]",0.3020539349196423,1
width2,1.3,0.8,1,0.1778279410038923,400,0.570918320070096,False,-4.744361840570245,-4.744361840570245,False,inf,0.570918320070096,False,0,"[33.53068714616075, 4.574917139763915, 1.6154029423222473, 4.516682360160053, 0.022728234959119586, 0.9772717642772284]",0.5709183200700959,47
width2,1.3,0.8,5,1.7782794100389228,400,0.16198125755799142,False,0.7167808543729155,0.7167808543729155,True,0.16198125755799142,inf,False,5,"[1.6036258055972428, 1.4195688165309666, -1.6036258016405225, 1.7220238345345857, -0.43059711814857665, -0.5694028818514234]",0.16198125755799142,4
width2,1.3,0.8,6,3.1622776601683795,400,0.056246638214675786,False,0.7495070001709274,0.7495070001709274,True,0.056246638214675786,inf,False,5,"[1.6105583049550465, 4.584945537307053, 1.6105583064087177, 7.726538189978807, 0.5481951539669685, -0.4518048460330315]",0.056246638214675786,2
width2,1.3,0.8,7,5.623413251903491,400,0.011019950280260466,False,0.7642958187522413,0.7642958187522413,True,0.011019950280260466,inf,False,5,"[1.626898037328162, 4.59791123233752, 1.626898035705445, 1.4563185798804812, 0.5420889999187196, -0.4579110000773011]",0.011019950280260449,2
width2,1.3,0.8,8,10.0,400,0.0005309696083091307,False,1.0817915701239156,1.0817915701239156,True,0.0005309696083091307,inf,False,5,"[4.650769692047192, 4.819449094207848, 1.5657853799225072, 4.654012182177301, -0.24413426969674631, 0.7558657303032537]",0.0005309696083091299,0
width2,1.3,0.8,9,17.78279410038923,400,2.858873735908081e-06,False,1.1086136845483012,1.1086136845483012,True,2.858873735908081e-06,inf,False,5,"[4.710523447615414, 4.7740972623535685, 1.5640315160014961, 4.676336542763821, -0.24535228168068263, 0.7546477267168691]",2.858873735944176e-06,3
