act,a,depth,seed,budget,heldout_errors,heldout_acc,train_acc,perfect,wout_fro,train_loss
gelu,,5,1,1000,1174,0.9413,0.9362999796867371,False,1.6872678995132446,0.14309196174144745
gelu,,5,1,4000,1043,0.94785,0.9438999891281128,False,1.788092017173767,0.13833093643188477
gelu,,5,1,16000,207,0.98965,0.9902999997138977,False,5.065842151641846,0.030834680423140526
gelu,,5,1,64000,144,0.9928,0.9929999709129333,False,7.34097146987915,0.021769113838672638
gelu,,5,4,1000,1170,0.9415,0.9452000260353088,False,1.7034895420074463,0.13534186780452728
gelu,,5,4,4000,2,0.9999,1.0,False,2.9927382469177246,0.0009121023467741907
gelu,,5,4,16000,0,1.0,1.0,True,3.4830026626586914,2.9398320222639995e-08
gelu,,5,4,64000,0,1.0,1.0,True,3.912424325942993,1.474167038439944e-10
gelu,,5,6,1000,1183,0.94085,0.9433000087738037,False,1.4459601640701294,0.13934609293937683
gelu,,5,6,4000,336,0.9832,0.9833999872207642,False,3.7382900714874268,0.0482276976108551
gelu,,5,6,16000,98,0.9951,0.998199999332428,False,17.377906799316406,0.009930253960192204
gelu,,5,6,64000,63,0.99685,0.9997000098228455,False,37.0674934387207,0.001070918282493949
gelu,,5,0,1000,495,0.97525,0.9772999882698059,False,1.8818198442459106,0.06015803664922714
gelu,,5,0,4000,190,0.9905,0.9922000169754028,False,3.2064707279205322,0.028451791033148766
gelu,,5,0,16000,149,0.99255,0.9940000176429749,False,4.755376815795898,0.02168700471520424
gelu,,5,0,64000,93,0.99535,0.9980999827384949,False,11.064740180969238,0.006817491725087166
gelu,,5,8,1000,455,0.97725,0.9783999919891357,False,1.9366886615753174,0.05410986393690109
gelu,,5,8,4000,134,0.9933,0.994700014591217,False,3.6523115634918213,0.01858692616224289
gelu,,5,8,16000,64,0.9968,0.9975000023841858,False,7.886079788208008,0.007682121358811855
gelu,,5,8,64000,57,0.99715,0.9983000159263611,False,11.038055419921875,0.005925528705120087
gelu,,5,5,1000,1143,0.94285,0.941100001335144,False,1.4927799701690674,0.14083293080329895
gelu,,5,5,4000,138,0.9931,0.9943000078201294,False,2.7393321990966797,0.020958187058568
gelu,,5,5,16000,59,0.99705,1.0,False,6.610610008239746,8.762731340539176e-07
gelu,,5,5,64000,64,0.9968,1.0,False,8.007311820983887,1.0343409684310245e-08
