budget,a,rate
2000,2.2,0.625
2000,2.0,0.625
2000,1.8,0.6
2000,1.7,0.6
2000,1.6,0.525
2000,1.5,0.125
8000,1.9,0.7
8000,1.7,0.7
8000,1.55,0.7
8000,1.45,0.7
8000,1.38,0.675
8000,1.32,0.45
