a,seed,factor,cross_step,reproduced,residual,growth,relax,ratio,branch_converged,branch_grad,branch_dist,hess_min_eig
1.5,300002,2.0,696,True,0.06060429183953597,0.0014343344157465342,0.09632563849369351,0.014890474002312902,True,3.0381502890731993e-10,0.11451156242415372,0.14664351628212052
1.5,300002,1.0,717,True,0.0508912315638268,0.0013299829589296936,0.1053636985629614,0.012622781632280549,True,3.4541597013215686e-14,0.09786466379373326,0.14684437867316916
1.5,300002,0.5,768,True,0.03726040226965255,0.0011099490169027913,0.12158018094460651,0.009129358159192889,True,1.3994162339353577e-10,0.07149687285304918,0.14712081072293384
1.5,300000,2.0,785,True,0.005159977105195557,0.001082298687050041,0.06492682555505291,0.01666951491617799,True,2.4270863097086703e-13,0.12981276156585242,0.15191874286870158
1.5,300000,1.0,792,True,0.0029056143704870863,0.0010593314243880457,0.0660133000988686,0.01604724234058102,True,4.877979892844303e-10,0.12504812627470674,0.15196494202510621
1.5,300000,0.5,807,True,-0.001674926579683822,0.0010092583450241745,0.06821060746871745,0.014796208133566875,True,1.3830147964355444e-13,0.11534813448683945,0.15205822401705169
1.5,300000,0.25,841,True,-0.013002455075296515,0.0008895341555787778,0.07295295438625125,0.012193257463832333,True,2.1399210962252946e-11,0.09447505012127078,0.15228549326174037
1.5,300033,2.0,850,True,0.02186834116462988,0.0010558892954251134,0.06699205050937272,0.01576141180030586,True,4.698580181611983e-10,0.12364899069639446,0.15000105456746415
1.5,300033,1.0,866,True,0.01758713285772817,0.0010089573770055513,0.0692470182846126,0.01457040897932427,True,3.210473154685589e-10,0.11443957369507007,0.15008822233510324
1.5,300002,0.25,886,True,0.021156973884382646,0.0007774195335114038,0.14953479158040497,0.0051989207681704275,True,1.992077243179874e-10,0.04071320674189138,0.14743902872031386
1.5,300038,2.0,893,True,0.0662646318328215,0.001015516398723018,0.06539807589103966,0.015528230531047724,True,5.60637031590816e-10,0.12547316053819202,0.1465553665495218
1.5,300033,0.5,899,True,0.009186346103123633,0.000916674073744589,0.07355701454968457,0.012462089161128414,True,4.624382474172073e-14,0.09785943862752955,0.15025734673964494
1.5,300038,1.0,909,True,0.061477496770285134,0.0009767657572634517,0.06759139456033146,0.01445103720106854,True,3.986238461713143e-10,0.11675520111801507,0.14664866441296417
1.5,300026,2.0,930,True,0.06756667254522286,0.000927242091426265,0.058722983532566775,0.01579010526452615,True,2.879699517038814e-13,0.13188825443966756,0.14616851801114256
1.5,300026,1.0,932,True,0.06710862019592745,0.000923394445150614,0.05894243900672322,0.01566603725111015,True,6.188797354363812e-10,0.1308494412951191,0.14617834182032585
1.5,300026,0.5,936,True,0.06575663740058268,0.0009146863397265077,0.059408170020862315,0.015396642236333793,True,5.711647366006545e-10,0.12853604452039402,0.1462072965637423
