activation,parameter,seed,eval_errors,solved,w2_abs,w1_abs
sin_family,1.3,0,172,False,0.16371914744377136,0.32297590374946594
sin_family,1.3,1,97,False,3.9361572265625,0.8889870047569275
sin_family,1.3,2,55,False,5.385982990264893,0.8311394453048706
sin_family,1.3,3,93,False,3.4606149196624756,0.9054697751998901
sin_family,1.3,4,192,False,0.6756086349487305,0.0012925449991598725
sin_family,1.3,5,99,False,4.405828475952148,0.8566255569458008
sin_family,1.3,6,188,False,0.7371331453323364,0.013911730609834194
sin_family,1.3,7,45,False,5.4600830078125,0.8248611092567444
sin_family,1.3,8,198,False,0.6512607336044312,0.0018140265019610524
sin_family,1.3,9,104,False,4.118483543395996,0.8664612174034119
sin_family,1.3,10,115,False,5.126456260681152,0.8397426009178162
sin_family,1.3,11,211,False,0.4990554749965668,0.03450021147727966
sin_family,1.3,12,104,False,5.01946496963501,0.8290255665779114
sin_family,1.3,13,196,False,0.585280179977417,0.061049364507198334
sin_family,1.3,14,188,False,0.49572011828422546,0.009148482233285904
sin_family,1.3,15,99,False,3.1698403358459473,0.9109432697296143
sin_family,1.3,16,201,False,0.32766130566596985,0.018574628978967667
sin_family,1.3,17,211,False,0.8541456460952759,0.001933082938194275
sin_family,1.3,18,105,False,4.123405933380127,0.8633029460906982
sin_family,1.3,19,108,False,4.676105499267578,0.8575360178947449
sin_family,1.3,20,108,False,3.105721950531006,0.9221702814102173
sin_family,1.3,21,197,False,0.9771661758422852,0.02415931038558483
sin_family,1.3,22,101,False,2.485069751739502,0.9674555659294128
sin_family,1.3,23,96,False,3.22869610786438,0.8891010880470276
sin_family,1.3,24,102,False,3.5849363803863525,0.9025217890739441
sin_family,1.3,25,112,False,1.7464511394500732,1.0318597555160522
sin_family,1.3,26,214,False,0.35514208674430847,0.06042664498090744
sin_family,1.3,27,96,False,3.16447377204895,0.9149378538131714
sin_family,1.3,28,102,False,3.468597888946533,0.8780209422111511
sin_family,1.3,29,197,False,0.3514174520969391,0.030515331774950027
sin_family,1.3,30,106,False,3.9964258670806885,0.8618743419647217
sin_family,1.3,31,91,False,5.328344345092773,0.8456839323043823
sin_family,1.3,32,91,False,3.6779563426971436,0.8786326050758362
sin_family,1.3,33,123,False,4.255018711090088,0.8773025870323181
sin_family,1.3,34,96,False,3.754448890686035,0.8794944286346436
sin_family,1.3,35,90,False,2.5608391761779785,0.9530660510063171
sin_family,1.3,36,104,False,5.134210586547852,0.8512067794799805
sin_family,1.3,37,170,False,0.3169082701206207,0.03344925493001938
sin_family,1.3,38,111,False,5.991888523101807,0.8297861814498901
sin_family,1.3,39,88,False,5.088850975036621,0.8276248574256897
sin_family,1.3,40,93,False,4.60363245010376,0.8678736090660095
sin_family,1.3,41,104,False,2.8791213035583496,0.9288017153739929
sin_family,1.3,42,80,False,4.712850093841553,0.8434439301490784
sin_family,1.3,43,103,False,2.7745161056518555,0.9507670998573303
sin_family,1.3,44,45,False,5.758046627044678,0.837868869304657
sin_family,1.3,45,107,False,2.6864681243896484,0.9748364090919495
sin_family,1.3,46,186,False,0.5616170763969421,0.04063699021935463
sin_family,1.3,47,92,False,3.4906868934631348,0.9068402647972107
sin_family,1.3,48,190,False,0.6999469995498657,0.010509361512959003
sin_family,1.3,49,115,False,2.6749236583709717,0.9509317874908447
sin_family,1.3,50,198,False,1.0183364152908325,0.04976143315434456
