test,a,comparison,mean_diff,ci95_lo,ci95_hi,C_better_interval_excludes_zero,X_better_interval_excludes_zero
"Block 3 (registered models, reproduced)",,C - B1,-0.25729359647426275,-0.3704173469970752,-0.1311636151791475,True,False
"Block 3 (registered models, reproduced)",,C - B2,-0.054983582456451116,-0.10268191621888507,-0.010476685014828022,True,False
"Block 3 (registered models, reproduced)",,C - U,-0.0857743962886273,-0.11109002479472606,-0.06299352376704069,True,False
Block 3 (post hoc baselines),,C - PL,-0.0007144696156761144,-0.008805103841815785,0.007376164610463576,False,False
Block 3 (post hoc baselines),,C - PL5,-0.005059885317471111,-0.011973530170082763,0.0018537595351405594,False,False
Block 3 (post hoc baselines),,C - RK,-0.08750308525579524,-0.0993180702844309,-0.07462059917520543,True,False
Block 3 (post hoc baselines),,C - RKa,-0.08750308525579441,-0.09721286183286626,-0.0777531681373945,True,False
Block 3 (post hoc baselines),,C - RG,-0.08232963275742074,-0.09260996915724581,-0.07216412297110794,True,False
"own-seed (per-run, window bootstrap)",1.3,C - PL,-0.0009936408336392519,-0.0022630587699337236,-1.840817234243213e-05,True,False
"own-seed (per-run, window bootstrap)",1.3,C - PL5,-0.0003289787518208319,-0.0008744132016991579,9.170574364700284e-05,False,False
"own-seed (per-run, window bootstrap)",1.3,C - RK,-0.07239639126020211,-0.08361239563413614,-0.06076365440480454,True,False
"own-seed (per-run, window bootstrap)",1.3,C - RKa,-0.07510942195276268,-0.08785172753850412,-0.061928116060036745,True,False
"own-seed (per-run, window bootstrap)",1.3,C - RG,-0.07209836304575712,-0.08409117661203352,-0.0598277403105973,True,False
"own-seed (per-run, window bootstrap)",1.5,C - PL,0.0011644554085715741,-0.0007287039286793771,0.003172544301609263,False,False
"own-seed (per-run, window bootstrap)",1.5,C - PL5,0.0012331588455758036,-0.001172802316873998,0.0037909167822849695,False,False
"own-seed (per-run, window bootstrap)",1.5,C - RK,-0.061506051677128866,-0.076898755903035,-0.04549099523944338,True,False
"own-seed (per-run, window bootstrap)",1.5,C - RKa,-0.05872829641245517,-0.07234995199073525,-0.0445595093074706,True,False
"own-seed (per-run, window bootstrap)",1.5,C - RG,-0.05341068422684162,-0.06602864048060889,-0.04004639652808246,True,False
"own-seed (setting median R, setting bootstrap)",1.3,C - PL,-0.00470803831131383,-0.008431949149212702,0.0002538614405736499,False,False
"own-seed (setting median R, setting bootstrap)",1.3,C - PL5,-0.00035958953567503385,-0.002566366646268444,0.0018471875749183722,False,False
"own-seed (setting median R, setting bootstrap)",1.3,C - RK,-0.12900019167636434,-0.1480160956461915,-0.10680814744711109,True,False
"own-seed (setting median R, setting bootstrap)",1.3,C - RKa,-0.13181992171626786,-0.1490113527092492,-0.1115478985085354,True,False
"own-seed (setting median R, setting bootstrap)",1.3,C - RG,-0.12841747247091645,-0.14612142820109644,-0.10756790542408745,True,False
"own-seed (setting median R, setting bootstrap)",1.5,C - PL,0.0006689377058281213,-0.007289988039371078,0.008627863451027333,False,False
"own-seed (setting median R, setting bootstrap)",1.5,C - PL5,0.0006689377058281144,-0.009372060442189292,0.010709935853845533,False,False
"own-seed (setting median R, setting bootstrap)",1.5,C - RK,-0.10817162489035426,-0.1299176631099648,-0.08430060395993574,True,False
"own-seed (setting median R, setting bootstrap)",1.5,C - RKa,-0.10535189485044893,-0.12698408159718552,-0.08079748326792961,True,False
"own-seed (setting median R, setting bootstrap)",1.5,C - RG,-0.09895174709317507,-0.12102607301964559,-0.07315421070858222,True,False
