a,threshold,family,R_A,R_q,diff,tol,within
1.3,glob,q2,0.21525448469444794,0.2049832289800025,-0.010271255714445426,0.01534253522444795,True
1.3,glob,q1,0.21525448469444794,0.2781697537761151,0.06291526908166714,0.01534253522444795,False
1.3,solve,q2,0.30781391311306067,0.2953901125516706,-0.012423800561390086,0.004305089693888961,False
1.3,solve,q1,0.30781391311306067,0.3190681058680602,0.011254192754999559,0.004305089693888961,False
1.35,glob,q2,0.2164999400889978,0.2157160035249119,-0.000783936564085902,0.016587990618997822,True
1.35,glob,q1,0.2164999400889978,0.279864133921652,0.06336419383265418,0.016587990618997822,False
1.35,solve,q2,0.30737645815104625,0.2878826502212445,-0.019493807929801765,0.005345677533061675,False
1.35,solve,q1,0.30737645815104625,0.3199567154196145,0.012580257268568262,0.005345677533061675,False
1.4,glob,q2,0.2189122224446736,0.2238420590001821,0.004929836555508493,0.019000272974673604,True
1.4,glob,q1,0.2189122224446736,0.2785701146113505,0.05965789216667691,0.019000272974673604,False
1.4,solve,q2,0.3058332519447647,0.2753508172224583,-0.030482434722306384,0.0064385947777845206,False
1.4,solve,q1,0.3058332519447647,0.3204209806669499,0.014587728722185223,0.0064385947777845206,False
1.45,glob,q2,0.21974071216911403,0.231854382484784,0.012113670315669955,0.019828762699114044,True
1.45,glob,q1,0.21974071216911403,0.2773179781059802,0.05757726593686616,0.019828762699114044,False
1.45,solve,q2,0.3068792704430732,0.2621634462322481,-0.04471582421082515,0.0075772659368660055,False
1.45,solve,q1,0.3068792704430732,0.3189929407587432,0.012113670315669955,0.0075772659368660055,False
1.5,glob,q2,0.22328590562327139,0.2382606655255033,0.014974759902231904,0.023373956153271397,True
1.5,glob,q1,0.22328590562327139,0.2732859056232714,0.04999999999999999,0.023373956153271397,False
1.5,solve,q2,0.3064708508554704,0.2557732855743874,-0.05069756528108299,0.008756310024442016,False
1.5,solve,q1,0.3064708508554704,0.3170674557454814,0.010596604890011019,0.008756310024442016,False
1.6,glob,q2,0.22996920717870092,0.2519241819130057,0.021954974734304772,0.030057257708700935,True
1.6,glob,q1,0.22996920717870092,0.2687511970724229,0.038781989893721974,0.030057257708700935,False
1.6,solve,q2,0.3084952779226475,0.2575331869661447,-0.05096209095650284,0.011218010106278096,False
1.6,solve,q1,0.3084952779226475,0.3024052273912572,-0.006090050531390334,0.011218010106278096,True
