ghat,bin_width,binary_10,binary_90,continuous_10,continuous_90,ratio
restricted,0.02,0.33192857142857146,0.455,0.05662670800629273,0.3054721464587855,2.021959453473534
restricted,0.025,0.3299053123462863,0.4208783783783784,0.054470917767654344,0.30682625793462853,2.7739566354502343
restricted,0.03,0.32664908049442265,0.4122357320099256,0.05821053087736776,0.3130620077800624,2.9777012231461293
restricted,0.04,0.3234369629745352,0.4264,0.060813088601815585,0.3031072037261587,2.35321453333218
restricted,0.05,0.32620318302387263,0.42182010902483347,0.06039523972403137,0.30650360047702024,2.573899528526108
certified,0.02,0.33166666666666667,0.455,0.05639293390003331,0.30636762770335585,2.026821841648561
certified,0.025,0.33046827794561934,0.4291891891891892,0.05536510508510724,0.3417737524612313,2.901195337120424
certified,0.03,0.3270618869450905,0.41737374860956616,0.05817410775290746,0.3036811869672575,2.7184367002249563
certified,0.04,0.3242564172212413,0.4264,0.06022681305955612,0.3073628832602716,2.4194967855788665
certified,0.05,0.32644530721238446,0.4263513513513514,0.06172726626760916,0.31552488912980053,2.5403630485975897
