optimizer,budget,seed,w2,R,solved
adam,3000,900,6.806134223937988,0.2263230957074848,False
adam,3000,901,4.105875492095947,0.13653190216148664,False
adam,3000,902,8.076557159423828,0.26856822960532684,False
adam,3000,903,7.892047882080078,0.2624327774585975,False
adam,3000,904,3.6830036640167236,0.12247022514051857,False
adam,3000,905,5.62813663482666,0.18715136439399746,False
adam,3000,906,0.431495726108551,0.014348445873130639,False
adam,3000,907,5.483694553375244,0.18234825914380412,False
adam,4000,900,9.266589164733887,0.30814013908743587,False
adam,4000,901,6.032987594604492,0.20061379688538175,False
adam,4000,902,10.684723854064941,0.3552971040339592,True
adam,4000,903,10.649988174438477,0.35414204504071817,True
adam,4000,904,5.463680267333984,0.1816827278706621,False
adam,4000,905,7.956004619598389,0.26455951877021977,False
adam,4000,906,0.43267515301704407,0.014387665133331536,False
adam,4000,907,7.740697860717773,0.25739996378741903,False
adam,5000,900,11.796745300292969,0.39227494313067673,True
adam,5000,901,8.25855827331543,0.2746202782665601,False
adam,5000,902,13.271828651428223,0.44132561117088775,True
adam,5000,903,13.401734352111816,0.44564534089725066,True
adam,5000,904,7.562754154205322,0.25148283532734284,False
adam,5000,905,10.426129341125488,0.3466981095422573,True
adam,5000,906,0.4338007867336273,0.014425095618683093,False
adam,5000,907,10.156435012817383,0.33773001498679545,True
adam,6000,900,14.357019424438477,0.4774112549592605,True
adam,6000,901,10.682936668395996,0.3552376750864992,True
adam,6000,902,15.846420288085938,0.526938020538541,True
adam,6000,903,16.122943878173828,0.5361332072459563,True
adam,6000,904,9.894098281860352,0.3290065812262393,False
adam,6000,905,12.965953826904297,0.43115441340905686,True
adam,6000,906,0.43475261330604553,0.01445674652790094,False
adam,6000,907,12.657114028930664,0.42088462194516996,True
adam,7000,900,16.925193786621094,0.562810271910981,True
adam,7000,901,13.212739944458008,0.43936074555953725,True
adam,7000,902,18.407339096069336,0.6120957699170089,True
adam,7000,903,18.80889129638672,0.6254485093831723,True
adam,7000,904,12.3618745803833,0.411067080331724,True
adam,7000,905,15.531288146972656,0.5164589909768201,True
adam,7000,906,0.4358667731285095,0.014493795474018703,False
adam,7000,907,15.19476318359375,0.5052685899372864,True
adam,8000,900,19.490985870361328,0.6481300714076561,True
adam,8000,901,15.78636646270752,0.524941062027068,True
adam,8000,902,20.962234497070312,0.6970532240808787,True
adam,8000,903,21.463226318359375,0.7137126104796186,True
adam,8000,904,14.895106315612793,0.4953041567098413,True
adam,8000,905,18.100034713745117,0.6018770353396804,True
adam,8000,906,0.43681278824806213,0.014525253136092162,False
adam,8000,907,17.74308204650879,0.5900073557224561,True
adam,9000,900,22.052488327026367,0.7333072287454866,True
adam,9000,901,18.371557235717773,0.610905922473734,True
adam,9000,902,23.5140323638916,0.7819076765257783,True
adam,9000,903,24.092283248901367,0.8011361439766129,True
adam,9000,904,17.452585220336914,0.5803475196350072,True
adam,9000,905,20.662124633789062,0.6870737274862811,True
adam,9000,906,0.43767160177230835,0.014553811099988795,False
adam,9000,907,20.286907196044922,0.6745966929054747,True
adam,10000,900,24.610950469970703,0.818383287105461,True
adam,10000,901,20.954050064086914,0.6967810686768758,True
adam,10000,902,26.065553665161133,0.866752932388627,True
adam,10000,903,26.701244354248047,0.8878914347943777,True
adam,10000,904,20.012954711914062,0.6654870026987809,True
adam,10000,905,23.214134216308594,0.7719352200733025,True
adam,10000,906,0.4387367069721222,0.01458922884200572,False
adam,10000,907,22.829538345336914,0.759146326223915,True
adam,11000,900,27.168437957763672,0.9034269354417941,True
adam,11000,901,23.52753448486328,0.7823566600039735,True
adam,11000,902,28.61760139465332,0.9516156934697244,True
adam,11000,903,29.29387664794922,0.9741037467229166,True
adam,11000,904,22.56740951538086,0.750429805756073,True
adam,11000,905,25.756380081176758,0.8564720416015753,True
adam,11000,906,0.43961092829704285,0.014618299158587731,False
adam,11000,907,25.36803436279297,0.8435584547845183,True
adam,12000,900,29.726341247558594,0.9884844103635553,True
adam,12000,901,26.091012954711914,0.8675995253349401,True
adam,12000,902,31.172780990600586,1.0365825979144603,True
adam,12000,903,31.872835159301758,1.0598613669499184,True
adam,12000,904,25.114553451538086,0.8351295019237024,True
adam,12000,905,28.291532516479492,0.9407729866564184,True
adam,12000,906,0.4406353235244751,0.014652363179582942,False
adam,12000,907,27.906665802001953,0.9279750864990913,True
adamw,3000,900,6.033022403717041,0.2006149543862261,False
adamw,3000,901,3.702096462249756,0.12310511435363757,False
adamw,3000,902,7.1860198974609375,0.23895536225084,False
adamw,3000,903,6.9912028312683105,0.23247714714860326,False
adamw,3000,904,3.3409996032714844,0.11109762871123334,False
adamw,3000,905,5.040114402770996,0.16759797218559905,False
adamw,3000,906,0.3597126603126526,0.011961457145643882,False
adamw,3000,907,4.894732475280762,0.1627636144126086,False
adamw,4000,900,7.910421371459961,0.26304374763029614,False
adamw,4000,901,5.271899223327637,0.1753054690406979,False
adamw,4000,902,9.101354598999023,0.30264562528495037,False
adamw,4000,903,9.075936317443848,0.30180039596976893,False
adamw,4000,904,4.802315711975098,0.15969049723942097,False
adamw,4000,905,6.8759074211120605,0.22864325065334304,False
adamw,4000,906,0.3387383818626404,0.011264003426270864,False
adamw,4000,907,6.673191070556641,0.2219023621403215,False
adamw,5000,900,9.710492134094238,0.32290116067675895,False
adamw,5000,901,7.002121448516846,0.23284022186550238,False
adamw,5000,902,10.857141494750977,0.36103047527095283,True
adamw,5000,903,10.99476146697998,0.36560672621183204,True
adamw,5000,904,6.451237201690674,0.21452177206478018,False
adamw,5000,905,8.704720497131348,0.28945642641753344,False
adamw,5000,906,0.3197522461414337,0.010632661041509646,False
adamw,5000,907,8.465082168579102,0.281487778344541,False
adamw,6000,900,11.404683113098145,0.37923777327826674,False
adamw,6000,901,8.785798072814941,0.2921524837266342,False
adamw,6000,902,12.474442481994629,0.41481027950055127,True
adamw,6000,903,12.739570617675781,0.4236265353151176,True
adamw,6000,904,8.191335678100586,0.27238493800585745,False
adamw,6000,905,10.46152114868164,0.3478749866336053,True
adamw,6000,906,0.3007437288761139,0.010000574407489783,False
adamw,6000,907,10.202585220336914,0.33926463911992333,True
adamw,7000,900,12.981282234191895,0.43166412604113996,True
adamw,7000,901,10.531197547912598,0.3501919227757457,True
adamw,7000,902,13.965850830078125,0.4644037995805805,True
adamw,7000,903,14.320368766784668,0.47619251756340497,True
adamw,7000,904,9.925591468811035,0.3300538182230215,False
adamw,7000,905,12.112059593200684,0.40276002975161035,True
adamw,7000,906,0.2866871654987335,0.00953315416070886,False
adamw,7000,907,11.845993995666504,0.3939126006951266,True
adamw,8000,900,14.440206527709961,0.4801774599907633,True
adamw,8000,901,12.184513092041016,0.40516931226248254,True
adamw,8000,902,15.342891693115234,0.5101942792837478,True
adamw,8000,903,15.753899574279785,0.5238614467189963,True
adamw,8000,904,11.589558601379395,0.38538540296812557,True
adamw,8000,905,13.64456844329834,0.45372025706145885,True
adamw,8000,906,0.2722855806350708,0.00905426097961724,False
adamw,8000,907,13.378064155578613,0.4448582403231013,True
adamw,9000,900,15.788061141967773,0.5249974148763937,True
adamw,9000,901,13.723904609680176,0.45635840761599084,True
adamw,9000,902,16.617000579833984,0.552561981421682,True
adamw,9000,903,17.05654525756836,0.5671780775628238,True
adamw,9000,904,13.150754928588867,0.4372995695354675,True
adamw,9000,905,15.059117317199707,0.5007579835648395,True
adamw,9000,906,0.2599005699157715,0.00864242455762843,False
adamw,9000,907,14.796173095703125,0.49201434903612334,True
adamw,10000,900,17.032840728759766,0.566389835344006,True
adamw,10000,901,15.145912170410156,0.5036441564235786,True
adamw,10000,902,17.793691635131836,0.5916902668130668,True
adamw,10000,903,18.24261474609375,0.6066182222227897,True
adamw,10000,904,14.599308967590332,0.485468063370534,True
adamw,10000,905,16.36014175415039,0.5440207034104375,True
adamw,10000,906,0.24951878190040588,0.008297200921815835,False
adamw,10000,907,16.10622787475586,0.5355773531418592,True
adamw,11000,900,18.182466506958008,0.6046181241884787,True
adamw,11000,901,16.453611373901367,0.5471288310201223,True
adamw,11000,902,18.881732940673828,0.6278706988212677,True
adamw,11000,903,19.324440002441406,0.6425919531213086,True
adamw,11000,904,15.935154914855957,0.5298886963210441,True
adamw,11000,905,17.556472778320312,0.5838020729768437,True
adamw,11000,906,0.24086490273475647,0.008009435112590424,False
adamw,11000,907,17.316871643066406,0.5758346616855754,True
adamw,12000,900,19.244171142578125,0.6399227878866187,True
adamw,12000,901,17.654176712036133,0.5870510034289631,True
adamw,12000,902,19.88690185546875,0.6612953908740926,True
adamw,12000,903,20.311798095703125,0.6754243852900557,True
adamw,12000,904,17.165599822998047,0.5708044484272526,True
adamw,12000,905,18.658018112182617,0.6204315518879436,True
adamw,12000,906,0.23446623980998993,0.007796661583025212,False
adamw,12000,907,18.4357967376709,0.6130420664976945,True
sgd,8000,900,7.238672733306885,0.2407062170553957,False
sgd,8000,901,7.316292762756348,0.24328730123268427,False
sgd,8000,902,0.6609476208686829,0.021978366387394976,False
sgd,8000,903,7.238283157348633,0.24069326255964468,False
sgd,8000,904,6.9566192626953125,0.23132714627549028,False
sgd,8000,905,7.398189544677734,0.24601059945206682,False
sgd,8000,906,0.441020131111145,0.01466515911357445,False
sgd,8000,907,7.4886651039123535,0.2490191661329627,False
sgd,12000,900,9.486956596374512,0.3154679756655921,False
sgd,12000,901,9.59721851348877,0.31913449436752594,False
sgd,12000,902,0.6532271504402161,0.021721639042591348,False
sgd,12000,903,9.496728897094727,0.3157929321355078,False
sgd,12000,904,9.245326042175293,0.3074330804894812,False
sgd,12000,905,9.71042537689209,0.322898940812126,True
sgd,12000,906,0.441020131111145,0.01466515911357445,False
sgd,12000,907,9.808786392211914,0.3261697210747041,False
sgd,16000,900,11.429362297058105,0.38005842552072594,False
sgd,16000,901,11.564001083374023,0.3845355436495668,True
sgd,16000,902,0.6423293352127075,0.021359256051368052,False
sgd,16000,903,11.449652671813965,0.3807331375197429,True
sgd,16000,904,11.214569091796875,0.37291594763942315,True
sgd,16000,905,11.696619033813477,0.38894546330473234,True
sgd,16000,906,0.441020131111145,0.01466515911357445,False
sgd,16000,907,11.798083305358887,0.39231943556039195,True
sgd,20000,900,13.142396926879883,0.43702164248341896,True
sgd,20000,901,13.295310974121094,0.44210646441171286,True
sgd,20000,902,0.6274642944335938,0.0208649516582642,False
sgd,20000,903,13.172768592834473,0.4380315857543671,True
sgd,20000,904,12.945964813232422,0.4304897225132402,True
sgd,20000,905,13.438868522644043,0.44688015645551926,True
sgd,20000,906,0.441020131111145,0.01466515911357445,False
sgd,20000,907,13.540175437927246,0.4502488961731154,True
sgd,24000,900,14.674763679504395,0.4879771446528344,True
sgd,24000,901,14.841292381286621,0.49351469211684773,True
sgd,24000,902,0.6073241829872131,0.020195236336693408,False
sgd,24000,903,14.714407920837402,0.4892954271213029,True
sgd,24000,904,14.490760803222656,0.4818585317649638,True
sgd,24000,905,14.989787101745605,0.49845255900643864,True
sgd,24000,906,0.441020131111145,0.01466515911357445,False
sgd,24000,907,15.088631629943848,0.5017394174314299,True
sgd,28000,900,16.060565948486328,0.5340589657329039,True
sgd,28000,901,16.2371883392334,0.5399321567294231,True
sgd,28000,902,0.5795210003852844,0.019270702357498948,False
sgd,28000,903,16.108551025390625,0.5356546044310867,True
sgd,28000,904,15.884614944458008,0.5282081002321221,True
sgd,28000,905,16.386280059814453,0.5448898755513032,True
sgd,28000,906,0.441020131111145,0.01466515911357445,False
sgd,28000,907,16.48102569580078,0.5480404342878298,True
sgd,32000,900,17.325077056884766,0.5761075147613199,True
sgd,32000,901,17.50899887084961,0.5822234320992792,True
sgd,32000,902,0.5389134883880615,0.017920388431589798,False
sgd,32000,903,17.380434036254883,0.5779482899396872,True
sgd,32000,904,17.15377426147461,0.570411215263697,True
sgd,32000,905,17.655601501464844,0.5870983816827011,True
sgd,32000,906,0.441020131111145,0.01466515911357445,False
sgd,32000,907,17.745014190673828,0.5900716049474048,True
sgd,36000,900,18.487525939941406,0.6147622078894354,True
sgd,36000,901,18.676563262939453,0.6210482302829843,True
sgd,36000,902,0.46975135803222656,0.01562055317521126,False
sgd,36000,903,18.549392700195312,0.6168194515818696,True
sgd,36000,904,18.31831169128418,0.6091353584424727,True
sgd,36000,905,18.818470001220703,0.6257670282456523,True
sgd,36000,906,0.441020131111145,0.01466515911357445,False
sgd,36000,907,18.90164566040039,0.6285328527289323,True
sgd,40000,900,19.563072204589844,0.650527144663047,True
sgd,40000,901,19.75543975830078,0.6569239065894295,True
