family,auc_R,auc_best_other,margin,nonoverlap
A,0.9975489923676453,0.8392804351353574,0.15826855723228783,True
q2,0.9998403117115391,0.9439174730925234,0.0559228386190157,True
q1,0.9995209351346173,0.92501037973875,0.07451055539586726,True
