a,seed,reproduced,growth,relax,ratio,branch_converged
1.3,0,True,0.00017673351376237237,0.04172790721621914,0.00423537928337988,True
1.3,1,True,0.00016136603070176006,0.04398431250366488,0.003668717811340456,True
1.3,2,True,0.0001730146074053016,0.04478351541002074,0.003863354759474463,True
1.3,3,True,0.00012948220605687425,0.04150448131243699,0.0031197162803254784,True
1.3,5,True,0.0001575879571159457,0.045514249834217486,0.00346238722356073,True
1.3,7,True,0.00016567835257565522,0.044593265511999984,0.0037153222728456927,True
1.3,9,True,0.00019689448287482297,0.045780238704154465,0.004300861866343987,True
1.3,10,True,0.00015192394728157741,0.04308622780868481,0.003526044283945284,True
1.3,12,True,0.0001771867459151348,0.043561243256623625,0.004067531885426456,True
1.3,13,True,0.00013472865028065924,0.04315958408346522,0.003121639217377789,True
1.3,14,True,0.00017920664628577883,0.045514757810330486,0.0039373305474362935,True
1.3,15,True,0.00015879125248047392,0.04647545457041669,0.0034166691632866847,True
1.3,18,True,0.00015356345747078272,0.042915429142772764,0.003578280831350927,True
1.3,19,True,0.00016617538251194086,0.043214340302554,0.0038453758948651536,True
1.3,20,True,0.00013879853673922472,0.04318411391773604,0.003214111027115902,True
1.3,22,True,0.00016754970378117477,0.04443209264788014,0.003770916330882484,True
1.3,24,True,0.0001389617426294413,0.04109282885170476,0.003381654330270728,True
1.3,25,True,0.00012922798409249235,0.04140082829238526,0.0031213864413495536,True
1.3,27,True,0.00014453736630704186,0.03843546686322794,0.0037605206363532932,True
1.3,28,True,0.00012988948207259192,0.04267646597962445,0.003043585711492762,True
1.3,29,True,0.00018023338219318484,0.04655326598237643,0.0038715518318610644,True
1.3,30,True,0.00014480362077935353,0.043855140807280237,0.0033018619508186644,True
1.3,31,True,0.0001411116725766766,0.039332582299104885,0.0035876533989960776,True
1.3,32,True,0.00014104682354748783,0.044374569307313844,0.0031785508174890704,True
1.3,33,True,0.00014514693896454256,0.0418462807660377,0.003468574418263315,True
1.3,34,True,0.00018670725257448464,0.04468463922517375,0.004178331878962566,True
1.3,35,True,0.00015144872239477816,0.042569726029440466,0.003557662604876501,True
1.3,36,True,0.00011844546101885807,0.04049087632612765,0.0029252382700946503,True
1.3,38,True,0.0001206594350474932,0.03649478596237611,0.003306210239782902,True
1.3,39,True,0.0001470170309467972,0.04317754111765138,0.0034049421792269516,True
1.5,0,True,0.0006891693405463643,0.041175234734406256,0.016737472050656958,True
1.5,1,True,0.0006266032765397224,0.04335839908002025,0.014451716157307663,True
1.5,2,True,0.0006829070709512626,0.04465371734800859,0.015293397985861485,True
1.5,3,True,0.0005037228455064518,0.040889995744229815,0.012318975249038381,True
1.5,5,True,0.0006191613850969616,0.04488619784116979,0.013794026112166366,True
1.5,7,True,0.0006500258121493759,0.04399425805475175,0.014775242063189371,True
1.5,9,True,0.0007674534145138889,0.045148439534340064,0.01699844828369231,True
1.5,10,True,0.0005939586926582361,0.042502194430164265,0.013974777082020435,True
1.5,12,True,0.0006942601882056808,0.042984410001967996,0.01615144160810617,True
1.5,13,True,0.0005269605062520804,0.042541386778714475,0.012387008185538145,True
1.5,14,True,0.0007020788664787566,0.04488696185644384,0.015641042241266504,True
1.5,15,True,0.0006222025215819541,0.04582323747707009,0.01357831868368759,True
1.5,18,True,0.0005993679943706506,0.042299252604018046,0.014169706495327438,True
1.5,19,True,0.0006453403581950733,0.04259550738653952,0.015150432470232891,True
1.5,20,True,0.0005433149797309579,0.042578816839543,0.012760217874968768,True
1.5,22,True,0.000650434737380057,0.04378576679513186,0.01485493540454276,True
1.5,24,True,0.0005411173718106407,0.04048828813484859,0.013364787614838591,True
1.5,25,True,0.0005017596585023799,0.040776256685406055,0.012305191777987829,True
1.5,27,True,0.0005588984043319837,0.037911077379914435,0.014742350863077614,True
1.5,28,True,0.000506810929437833,0.04204394899043102,0.012054313203385831,True
1.5,29,True,0.0007077368058964155,0.04594035337810437,0.015405558596197693,True
1.5,30,True,0.0005654015304544561,0.04322366468307914,0.013080832793795827,True
1.5,31,True,0.0005485109795699633,0.03878296300252761,0.01414309111797918,True
1.5,32,True,0.0005526321666907313,0.043730547427852255,0.01263721126753507,True
1.5,33,True,0.0005660762642195516,0.04125990254223108,0.013719767361063227,True
1.5,34,True,0.000733061139486817,0.04409927841014923,0.016622973570427097,True
1.5,35,True,0.0005919659497210102,0.04199576465760629,0.014095848820645136,True
1.5,36,True,0.0004615981724894672,0.03988627209947491,0.011572858233987326,True
1.5,38,True,0.00046593430377200905,0.03598041816539312,0.012949663387185324,True
1.5,39,True,0.0005721475971493643,0.042579983918921455,0.013437008295701037,True
