activation,parameter,depth,seed,eval_errors,dense_errors,regionally_separating,final_train_loss,final_gradient_norm,inactive_unit_fraction,duration_seconds
sin_family,1.001,3,0,26,,False,0.03442271426320076,0.06689266447449276,0.0,1.2128013749606907
sin_family,1.001,3,1,86,,False,0.06432338058948517,0.009166640627346564,0.0,0.7192633328959346
sin_family,1.001,3,2,94,,False,0.07871877402067184,1.0459727362182427,0.0,0.7247112500481308
sin_family,1.001,3,3,88,,False,0.0730772316455841,0.10678887411597013,0.0,0.7179696671664715
sin_family,1.001,3,4,106,,False,0.09019022434949875,0.0028813030826721985,0.0,0.7178008330520242
sin_family,1.001,3,5,82,,False,0.0792556181550026,0.004500925141501898,0.0,0.7258116248995066
sin_family,1.001,3,6,62,,False,0.05027376487851143,0.47942218291265365,0.0,0.7141738748177886
sin_family,1.001,3,7,85,,False,0.07867635786533356,1.1568895778729409,0.0,0.7154207089915872
sin_family,1.001,3,8,82,,False,0.05003198981285095,0.09630331197406909,0.0,0.713409542106092
sin_family,1.001,3,9,89,,False,0.07186341285705566,0.40278014579541277,0.0,0.71723054186441
sin_family,1.001,5,0,14,,False,0.007378739770501852,0.009228827553904676,0.0,1.0327601660974324
sin_family,1.001,5,1,71,,False,0.05845193564891815,0.0009120386801527607,0.0,1.0353288750629872
sin_family,1.001,5,2,99,,False,0.07834094017744064,0.0008725895248937436,0.0,1.0401358339004219
sin_family,1.001,5,3,19,,False,0.02174568362534046,0.36974252784447464,0.0,1.0597236659377813
sin_family,1.001,5,4,84,,False,0.05251269415020943,0.2772465755581661,0.0,1.0374203340616077
sin_family,1.001,5,5,76,,False,0.058275118470191956,0.1568995437711331,0.0,1.0376573328394443
sin_family,1.001,5,6,80,,False,0.0643799901008606,0.0054774032172411015,0.0,1.0426138329785317
sin_family,1.001,5,7,87,,False,0.07978222519159317,4.45478536607745,0.0,1.0309827919118106
sin_family,1.001,5,8,75,,False,0.0480777733027935,0.4597056764982768,0.0,1.0302289999090135
sin_family,1.001,5,9,20,,False,0.013230720534920692,0.008352304102610123,0.0,1.0396284158341587
sin_family,1.001,8,0,58,,False,0.05169862508773804,0.10278725765457429,0.0,1.5129023340996355
sin_family,1.001,8,1,23,,False,0.02654017135500908,2.4256308182320994,0.0,1.51458108285442
sin_family,1.001,8,2,65,,False,0.03627518191933632,0.020557753046338157,0.0,1.531875415937975
sin_family,1.001,8,3,12,,False,0.0104181207716465,0.017665651377714406,0.0,1.5305893749464303
sin_family,1.001,8,4,92,,False,0.09078618884086609,8.336766357474103,0.0,1.5473477500490844
sin_family,1.001,8,5,71,,False,0.05532419681549072,0.18415580127358835,0.0,1.5074088340625167
sin_family,1.001,8,6,77,,False,0.06716008484363556,0.805991264224945,0.0,1.5138906249776483
sin_family,1.001,8,7,37,,False,0.013431200757622719,0.09440176116193227,0.0,1.5077757081016898
sin_family,1.001,8,8,76,,False,0.04468049854040146,0.5193417493633525,0.0,1.5238013749476522
sin_family,1.001,8,9,21,,False,0.006267311982810497,0.011217541260885774,0.0,1.5065428339876235
sin_family,1.001,12,0,3,,False,1.870109190349467e-05,0.00024018782301726208,0.0,2.15966191701591
sin_family,1.001,12,1,74,,False,0.0498066321015358,0.07079110988095666,0.0,2.1480228749569505
sin_family,1.001,12,2,96,,False,0.07106036692857742,0.15329264343271773,0.0,2.1552810000721365
sin_family,1.001,12,3,66,,False,0.09530399739742279,5.327757848816746,0.0,2.1580295409075916
sin_family,1.001,12,4,37,,False,0.06867773830890656,0.10082040805079727,0.0,2.1502540418878198
sin_family,1.001,12,5,50,,False,0.04416525363922119,0.006863665257686951,0.0,2.1361410841345787
sin_family,1.001,12,6,77,,False,0.11604156345129013,0.038609962950541164,0.0,2.155415624845773
sin_family,1.001,12,7,103,,False,0.1179562658071518,1.0860282228145977,0.0,2.1526526249945164
sin_family,1.001,12,8,14,,False,0.005840715486556292,0.0072287628236052896,0.0,2.153488750103861
sin_family,1.001,12,9,106,,False,0.0862332209944725,0.9181944693714776,0.0,2.1594707500189543
sin_family,1.005,3,0,21,,False,0.028620397672057152,0.022291899023127063,0.0,0.718542292015627
sin_family,1.005,3,1,86,,False,0.06700056791305542,0.0021003271442278765,0.0,0.7228180000092834
sin_family,1.005,3,2,96,,False,0.07829073816537857,0.23873345257592202,0.0,0.7172025828622282
sin_family,1.005,3,3,84,,False,0.07503043860197067,0.08101066125550141,0.0,0.7204608330503106
sin_family,1.005,3,4,58,,False,0.059568434953689575,0.02679880659942672,0.0,0.7176601658575237
sin_family,1.005,3,5,62,,False,0.060600124299526215,0.07062594995933145,0.0,0.7159549579955637
sin_family,1.005,3,6,64,,False,0.0499468594789505,0.1595836435945171,0.0,0.720295624807477
sin_family,1.005,3,7,92,,False,0.07745717465877533,0.10614239939027538,0.0,0.7194057079032063
sin_family,1.005,3,8,84,,False,0.05096382275223732,0.6083419927661063,0.0,0.7190361248794943
sin_family,1.005,3,9,91,,False,0.07167013734579086,0.15931199005909802,0.0,0.7194560419302434
sin_family,1.005,5,0,20,,False,0.017290940508246422,0.018481259243638446,0.0,1.0365804999601096
sin_family,1.005,5,1,73,,False,0.05844961851835251,0.031017730276810675,0.0,1.0375137920491397
sin_family,1.005,5,2,97,,False,0.0784221962094307,0.0018703067150503889,0.0,1.063208624953404
sin_family,1.005,5,3,20,,False,0.019208060577511787,0.005230272008443899,0.0,1.0679372078739107
sin_family,1.005,5,4,78,,False,0.052496686577796936,0.2735057028891135,0.0,1.0678662499412894
sin_family,1.005,5,5,72,,False,0.05848206207156181,0.5083186108180666,0.0,1.0617240420542657
sin_family,1.005,5,6,79,,False,0.06435584276914597,0.06885732669639412,0.0,1.067340875044465
sin_family,1.005,5,7,88,,False,0.08012062311172485,5.234363673974877,0.0,1.0657844170928001
