window,a,n_crossed,median_cross_R,median_cross_w2,R_glob,Ghat,kappa0,PL,abslogerr_PL,PL5,abslogerr_PL5,RK,abslogerr_RK,RKa,abslogerr_RKa,RG,abslogerr_RG
G1_wide_gap,1.3,38,0.24241190663600481,2.901078660090973,0.22375,0.1671184652596791,0.600501524274278,0.24695108273553934,0.018551898634932226,0.24841606112338088,0.024466633501431072,0.230241125521054,0.05151124117842239,0.22644030887767388,0.06815699954711209,0.2282771516367041,0.06007790468188784
G1_wide_gap,1.5,38,0.2805223696093262,1.6567581000206384,0.2374999999999999,0.3386401063689765,0.600501524274278,0.2797446923834485,0.0027760965370910414,0.2805223696093262,0.0,0.2545417895802605,0.0971884456520972,0.2588142915701565,0.08054268728340568,0.2624046551693358,0.0667656731864536
G2_narrow_gap,1.3,36,0.14380058318375905,13.654243533719686,0.1287499999999997,0.0210631343770364,0.07487467798205318,0.142100343696986,0.011894047000473633,0.14294332008775515,0.005979312133974487,0.15437849629253667,0.07097985437599424,0.159129064302928,0.10128809732656703,0.15760234254076222,0.09164754035203185
G2_narrow_gap,1.5,37,0.15139489983613713,7.051777927491188,0.1318749999999997,0.0429380792738602,0.07487467798205318,0.15533192129712506,0.025672601301797632,0.1557637368093887,0.028448697838888707,0.1706722838071714,0.1198535950098592,0.1655771096775022,0.08954535205928782,0.16313205692577912,0.07466838423635735
G3_far_outer,1.3,38,0.22690517314900976,6.329436286302343,0.2043749999999999,0.0716983828844473,0.255398814584569,0.2255670504316238,0.005914734866498865,0.22690517314900976,0.0,0.19538751182807773,0.14954736401420454,0.1959031532626945,0.14691176966398958,0.19621065622582276,0.14534333203835542
G3_far_outer,1.5,38,0.246568621185859,3.379013775229191,0.2087499999999999,0.1459411754952877,0.255398814584569,0.24588086120018895,0.002793222279375479,0.24656439855135512,1.712574228450923e-05,0.21600957174701335,0.13231761648844928,0.2154410077213126,0.13495321083866238,0.21618871592942374,0.1314886257322254
G4_shifted,1.3,40,0.16950754513764316,2.3356656716479076,0.15375,0.1451470963462409,0.5523624116339276,0.16969264344397397,0.0010913810247426701,0.17069930457081478,0.007006115891241528,0.22657681789956435,0.2901865993823756,0.22325683152012168,0.2754253796863505,0.2225934180469383,0.2724494299658246
G4_shifted,1.5,40,0.19502178357406402,1.3692220500677124,0.1624999999999999,0.2848650933782721,0.5523624116339276,0.1914042632097279,0.018723510366978315,0.19193635815374946,0.01594741382988735,0.2504907347678948,0.2503106699255694,0.2542157084761737,0.2650718896215963,0.25216597599806617,0.2569762426587976
base,1.3,37,0.23760575414516188,5.519099386510101,0.2131249999999998,0.0861030894735916,0.3073028349561768,0.23522435534306937,0.010073042685843579,0.23661976771808044,0.004158307819344674,0.20245243223554849,0.16010784856574253,0.20214153031264273,0.1616447078018115,0.20274257510347063,0.1586757335976107
base,1.5,37,0.2576239730016905,2.942157930809711,0.2212499999999999,0.175125862758013,0.3073028349561768,0.2606042660624757,0.011501981917195403,0.2613287337939512,0.014278078454286407,0.2238201550200493,0.1406582027948826,0.2241643995524481,0.1391213435588123,0.22545277755013238,0.13339032797647427
