optimizer,budget,seed,w2,solved,loss,stalled
adam,1000,0,0.3708362281322479,False,0.6925172209739685,False
adam,1000,1,1.8765047788619995,False,0.4811960458755493,False
adam,1000,2,2.80378794670105,False,0.450754851102829,False
adam,1000,3,1.6509802341461182,False,0.4717903137207031,False
adam,1000,4,0.6775860786437988,False,0.6931463479995728,True
adam,1000,5,2.1640238761901855,False,0.48251017928123474,False
adam,1000,6,0.7714656591415405,False,0.6930546760559082,True
adam,1000,7,2.9465012550354004,False,0.445769339799881,False
adam,1000,8,0.6544660925865173,False,0.6931456923484802,True
adam,1000,9,1.9974933862686157,False,0.47704017162323,False
adam,1000,10,2.661083221435547,False,0.44108638167381287,False
adam,1000,11,0.4833816885948181,False,0.692919909954071,False
adam,1000,12,2.5821733474731445,False,0.45335519313812256,False
adam,1000,13,0.4455087184906006,False,0.6922378540039062,False
adam,1000,14,0.5093320608139038,False,0.6931440830230713,True
adam,1000,15,0.14422348141670227,False,0.6878203749656677,False
adam,1000,16,0.33744195103645325,False,0.6931286454200745,True
adam,1000,17,0.8568949699401855,False,0.6931444406509399,True
adam,1000,18,1.9823973178863525,False,0.47647354006767273,False
adam,1000,19,2.3106026649475098,False,0.45517659187316895,False
adam,1000,20,1.4382085800170898,False,0.49556395411491394,False
adam,1000,21,0.8859589695930481,False,0.6926116943359375,False
adam,1000,22,1.0407689809799194,False,0.5232819318771362,False
adam,1000,23,0.4665118455886841,False,0.693061351776123,True
adam,1000,24,0.3962945342063904,False,0.691241979598999,False
adam,1000,25,0.3262757956981659,False,0.6906201839447021,False
adam,1000,26,0.4191018342971802,False,0.6930642127990723,True
adam,1000,27,1.6036893129348755,False,0.45384204387664795,False
adam,1000,28,1.519026756286621,False,0.48645004630088806,False
adam,1000,29,0.3351641893386841,False,0.6930184364318848,False
adam,2000,0,0.1345161497592926,False,0.6846743226051331,False
adam,2000,1,3.7140841484069824,False,0.41653144359588623,False
adam,2000,2,5.272712707519531,False,0.37678980827331543,False
adam,2000,3,3.2361056804656982,False,0.4134081304073334,False
adam,2000,4,0.6782063841819763,False,0.6931463479995728,True
adam,2000,5,4.22374963760376,False,0.41293439269065857,False
adam,2000,6,0.7338951826095581,False,0.693053126335144,True
adam,2000,7,5.387142658233643,False,0.3735488951206207,False
adam,2000,8,0.6549157500267029,False,0.6931456923484802,True
adam,2000,9,3.897718667984009,False,0.41169843077659607,False
adam,2000,10,4.977720260620117,False,0.3715941607952118,False
adam,2000,11,0.5019962191581726,False,0.6928823590278625,False
adam,2000,12,4.866057872772217,False,0.38353538513183594,False
adam,2000,13,0.5990753173828125,False,0.6920004487037659,False
adam,2000,14,0.5040199160575867,False,0.6931437849998474,True
adam,2000,15,3.0303754806518555,False,0.4324168264865875,False
adam,2000,16,0.3255179524421692,False,0.6931245923042297,True
adam,2000,17,0.859085738658905,False,0.6931445598602295,True
adam,2000,18,3.9064884185791016,False,0.4103691875934601,False
adam,2000,19,4.493669033050537,False,0.38625115156173706,False
adam,2000,20,2.9077279567718506,False,0.43853920698165894,False
adam,2000,21,0.9839862585067749,False,0.6925997734069824,False
adam,2000,22,2.3116791248321533,False,0.46559393405914307,False
adam,2000,23,3.063464879989624,False,0.4344271123409271,False
adam,2000,24,3.4679741859436035,False,0.4080948233604431,False
adam,2000,25,1.6624757051467896,False,0.47377678751945496,False
adam,2000,26,0.3378886282444,False,0.6928871273994446,False
adam,2000,27,2.9869844913482666,False,0.40335068106651306,False
adam,2000,28,3.257817268371582,False,0.42346426844596863,False
adam,2000,29,0.3531687557697296,False,0.6930124163627625,False
adam,4000,0,4.638856410980225,False,0.3829149007797241,False
adam,4000,1,8.171405792236328,False,0.3032802641391754,False
adam,4000,2,10.33377742767334,True,0.2656906843185425,False
adam,4000,3,7.352989673614502,False,0.30579131841659546,False
adam,4000,4,0.6811823844909668,False,0.6931463479995728,True
adam,4000,5,9.050145149230957,False,0.294210821390152,False
adam,4000,6,3.656521797180176,False,0.420348197221756,False
adam,4000,7,10.437630653381348,True,0.26338204741477966,False
adam,4000,8,0.6570822596549988,False,0.6931455731391907,True
adam,4000,9,8.424997329711914,False,0.29862484335899353,False
adam,4000,10,9.897018432617188,False,0.2633499801158905,False
adam,4000,11,5.5649213790893555,False,0.36890384554862976,False
adam,4000,12,9.795036315917969,False,0.273074746131897,False
adam,4000,13,4.652296543121338,False,0.385135293006897,False
adam,4000,14,2.3022964000701904,False,0.469870388507843,False
adam,4000,15,7.727530479431152,False,0.30555281043052673,False
adam,4000,16,6.416335582733154,False,0.34870484471321106,False
adam,4000,17,0.8695502877235413,False,0.6931444406509399,True
adam,4000,18,8.419023513793945,False,0.2983146905899048,False
adam,4000,19,9.459400177001953,False,0.27339687943458557,False
adam,4000,20,6.8021721839904785,False,0.3318443298339844,False
adam,4000,21,1.2604265213012695,False,0.6925764679908752,False
adam,4000,22,5.704631805419922,False,0.3629996180534363,False
adam,4000,23,8.866851806640625,False,0.28515946865081787,False
adam,4000,24,8.748825073242188,False,0.2767510712146759,False
adam,4000,25,4.9895429611206055,False,0.36531928181648254,False
adam,4000,26,7.966619968414307,False,0.30885234475135803,False
adam,4000,27,6.687413215637207,False,0.3084624111652374,False
adam,4000,28,7.520362377166748,False,0.3152754306793213,False
adam,4000,29,0.4145060181617737,False,0.6929887533187866,False
adam,8000,0,14.222579002380371,True,0.1956985890865326,False
adam,8000,1,18.297624588012695,True,0.1500551849603653,False
adam,8000,2,20.573631286621094,True,0.13284191489219666,False
adam,8000,3,17.414438247680664,True,0.14965899288654327,False
adam,8000,4,0.7061007022857666,False,0.693147599697113,True
adam,8000,5,19.43394660949707,True,0.1443864107131958,False
adam,8000,6,14.851370811462402,True,0.19218170642852783,False
