dataset,depth,width,activation,monotonic,seed,train_data_seed,eval_data_seed,n_train_per_class,n_eval_per_class,tube_radius,passed,failure_reason,final_train_accuracy,final_eval_accuracy,at_chance,perfect_eval,max_steps,learning_rate,train_accuracy_required,eval_accuracy_required,initialization_scheme,initialization_gain,duration_seconds
linked_tori,3,3,tanh,True,0,10000,20000,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.963500, eval_accuracy=0.953500",0.9635,0.9535,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.1755421250127256
linked_tori,3,3,tanh,True,1,10001,20001,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.950500, eval_accuracy=0.951000",0.9505,0.951,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.671609542099759
linked_tori,3,3,tanh,True,2,10002,20002,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.966500, eval_accuracy=0.972000",0.9665,0.972,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6684337080223486
linked_tori,3,3,tanh,True,3,10003,20003,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.967500, eval_accuracy=0.968000",0.9675,0.968,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.8588984999805689
linked_tori,3,3,tanh,True,4,10004,20004,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.965500, eval_accuracy=0.964500",0.9655,0.9645,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.7367318749893457
linked_tori,3,3,tanh,True,5,10005,20005,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.975500, eval_accuracy=0.971500",0.9755,0.9715,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.7098990419181064
linked_tori,3,3,tanh,True,6,10006,20006,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.967500, eval_accuracy=0.963500",0.9675,0.9635,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.7336265419144183
linked_tori,3,3,tanh,True,7,10007,20007,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.960500, eval_accuracy=0.954500",0.9605,0.9545,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.7603086669696495
linked_tori,3,3,tanh,True,8,10008,20008,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.977500, eval_accuracy=0.962000",0.9775,0.962,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6798344169510528
linked_tori,3,3,tanh,True,9,10009,20009,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.973000, eval_accuracy=0.964500",0.973,0.9645,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6794999579433352
linked_tori,3,3,tanh,True,10,10010,20010,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.957000, eval_accuracy=0.959000",0.957,0.959,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6692039590561762
linked_tori,3,3,tanh,True,11,10011,20011,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.968000, eval_accuracy=0.958500",0.968,0.9585,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6702720000175759
linked_tori,3,3,tanh,True,12,10012,20012,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.959500, eval_accuracy=0.960500",0.9595,0.9605,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6667008330114186
linked_tori,3,3,tanh,True,13,10013,20013,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.973000, eval_accuracy=0.953500",0.973,0.9535,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6947788750985637
linked_tori,3,3,tanh,True,14,10014,20014,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.967500, eval_accuracy=0.967000",0.9675,0.967,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.785691290977411
linked_tori,3,3,tanh,True,15,10015,20015,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.972000, eval_accuracy=0.964000",0.972,0.964,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.7416070000035688
linked_tori,3,3,tanh,True,16,10016,20016,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.977000, eval_accuracy=0.966000",0.977,0.966,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.8017103329766542
linked_tori,3,3,tanh,True,17,10017,20017,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.967500, eval_accuracy=0.967000",0.9675,0.967,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.7028054998954758
linked_tori,3,3,tanh,True,18,10018,20018,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.948500, eval_accuracy=0.953500",0.9485,0.9535,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6893162908963859
linked_tori,3,3,tanh,True,19,10019,20019,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.957000, eval_accuracy=0.950000",0.957,0.95,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.8121252079727128
linked_tori,3,4,tanh,True,0,10000,20000,1000,1000,0.2,True,,1.0,1.0,False,True,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.8237618750426918
linked_tori,3,4,tanh,True,1,10001,20001,1000,1000,0.2,True,,1.0,1.0,False,True,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.7928862910484895
linked_tori,3,4,tanh,True,2,10002,20002,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.966500, eval_accuracy=0.971500",0.9665,0.9715,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.7666830830276012
linked_tori,3,4,tanh,True,3,10003,20003,1000,1000,0.2,True,,1.0,1.0,False,True,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6786512499675155
linked_tori,3,4,tanh,True,4,10004,20004,1000,1000,0.2,True,,1.0,1.0,False,True,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6560548749985173
linked_tori,3,4,tanh,True,5,10005,20005,1000,1000,0.2,False,"required train_accuracy>=1.000000 and eval_accuracy>=0.990000; got train_accuracy=0.958000, eval_accuracy=0.961500",0.958,0.9615,False,False,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.654010875034146
linked_tori,3,4,tanh,True,6,10006,20006,1000,1000,0.2,True,,1.0,1.0,False,True,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.649143208982423
linked_tori,3,4,tanh,True,7,10007,20007,1000,1000,0.2,True,,1.0,1.0,False,True,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6559630000265315
