activation,parameter,monotonic,depth,restart,best_loss,best_train_errors,eval_errors_of_best,separated,evaluations,generations,duration_seconds
tanh,,True,5,13,0.05996380373835564,49,87,False,60001,4000,18.904355666134506
tanh,,True,5,14,0.1266048550605774,71,85,False,60001,4000,18.28306133300066
tanh,,True,5,15,0.11074034869670868,71,76,False,60001,4000,18.88977083400823
tanh,,True,5,16,0.14410443603992462,91,129,False,60001,4000,26.741622667061165
tanh,,True,5,17,0.10652351379394531,54,65,False,60001,4000,19.76291708392091
tanh,,True,5,18,0.060607824474573135,69,68,False,60001,4000,19.563418874982744
tanh,,True,5,19,0.09942552447319031,74,123,False,60001,4000,19.169086124980822
sin_family,1.0,True,5,0,0.021424582228064537,19,61,False,60001,4000,18.8017786659766
sin_family,1.0,True,5,1,0.0026876686606556177,2,9,False,60001,4000,18.771911875111982
sin_family,1.0,True,5,2,0.03128102049231529,27,40,False,60001,4000,18.801741917151958
sin_family,1.0,True,5,3,0.003721267683431506,2,20,False,60001,4000,18.7419480830431
sin_family,1.0,True,5,4,0.03641163930296898,24,46,False,60001,4000,18.743022166891024
sin_family,1.0,True,5,5,0.018611541017889977,11,34,False,60001,4000,18.963159666163847
sin_family,1.0,True,5,6,0.03336150199174881,26,67,False,60001,4000,18.83927141712047
sin_family,1.0,True,5,7,0.04307938739657402,40,83,False,60001,4000,18.79083237494342
sin_family,1.0,True,5,8,0.0648859441280365,69,88,False,60001,4000,18.779289416968822
sin_family,1.0,True,5,9,0.029172254726290703,30,94,False,60001,4000,18.968677666969597
sin_family,1.0,True,5,10,0.023702479898929596,26,44,False,60001,4000,19.29946529190056
sin_family,1.0,True,5,11,0.05231325700879097,49,64,False,60001,4000,21.17947975010611
sin_family,1.0,True,5,12,0.06594068557024002,55,65,False,60001,4000,19.853498875163496
sin_family,1.0,True,5,13,0.019308481365442276,16,58,False,60001,4000,19.12451458303258
sin_family,1.0,True,5,14,0.0382629930973053,29,57,False,60001,4000,19.21261700009927
sin_family,1.0,True,5,15,0.04613287374377251,45,82,False,60001,4000,20.681677165906876
sin_family,1.0,True,5,16,0.04145032912492752,41,82,False,60001,4000,19.987951416987926
sin_family,1.0,True,5,17,0.033517986536026,28,56,False,60001,4000,20.484722417080775
sin_family,1.0,True,5,18,0.011707923375070095,7,22,False,60001,4000,20.197750958846882
sin_family,1.0,True,5,19,0.014252400025725365,10,46,False,60001,4000,19.21573375002481
sin_family,0.95,True,5,0,0.049471303820610046,38,61,False,60001,4000,19.213777541881427
sin_family,0.95,True,5,1,0.03496941179037094,29,59,False,60001,4000,19.387499500066042
sin_family,0.95,True,5,2,0.024213962256908417,22,52,False,60001,4000,20.194185415981337
sin_family,0.95,True,5,3,0.012944839894771576,7,15,False,60001,4000,19.519754583016038
sin_family,0.95,True,5,4,0.05571012198925018,46,65,False,60001,4000,19.184773749904707
sin_family,0.95,True,5,5,0.051028065383434296,52,70,False,60001,4000,19.222003791946918
sin_family,0.95,True,5,6,0.045476194471120834,42,72,False,60001,4000,20.401553832925856
sin_family,0.95,True,5,7,0.032924674451351166,40,65,False,60001,4000,20.010980332968757
sin_family,0.95,True,5,8,0.0015100089367479086,0,18,False,60001,4000,20.219399665948004
sin_family,0.95,True,5,9,0.024508994072675705,16,55,False,60001,4000,19.20551775000058
sin_family,0.95,True,5,10,0.04771048203110695,50,76,False,60001,4000,19.6356087080203
sin_family,0.95,True,5,11,0.04453380033373833,38,62,False,60001,4000,20.013042042031884
sin_family,0.95,True,5,12,0.014565342105925083,10,40,False,60001,4000,20.01992620783858
sin_family,0.95,True,5,13,0.04072527587413788,41,58,False,60001,4000,19.582531083840877
sin_family,0.95,True,5,14,0.011734917759895325,8,23,False,60001,4000,19.48767570895143
sin_family,0.95,True,5,15,0.043499160557985306,40,73,False,60001,4000,19.480143083026633
sin_family,0.95,True,5,16,0.04940669983625412,52,77,False,60001,4000,19.076939332997426
sin_family,0.95,True,5,17,0.020778678357601166,14,40,False,60001,4000,19.308339040959254
sin_family,0.95,True,5,18,0.03621703013777733,34,95,False,60001,4000,20.037882375065237
sin_family,0.95,True,5,19,0.03757025673985481,32,73,False,60001,4000,21.113902000011876
