a,boundary_max,interior_max,strictly_below
1.02,-1.7763568394002505e-14,0.0016267426322560397,True
1.3,-2.291500322826323e-13,0.08609817542206422,True
1.6,-4.956035581926699e-13,0.2243665984701666,True
