window,a,n_crossed,obs_median_cross_R,B1,B2,C,U,kappa0,Ghat,PL,PL5,RK,RKa,RG,abslogerr_U,abslogerr_C,abslogerr_B1,abslogerr_B2,abslogerr_PL,abslogerr_PL5,abslogerr_RK,abslogerr_RKa,abslogerr_RG
H10,1.3,88,0.21190070200301653,0.1481755694447343,0.2280329273471252,0.2187923953125538,0.1962499999999999,0.19100577670033614,0.0536955612022165,0.21659955301385284,0.2178844781920155,0.18478749829121047,0.18649309788386048,0.1863206020515307,0.07672842150391965,0.03200553543621179,0.35771992744451686,0.07337225854984666,0.02193249275036834,0.027847227616867434,0.13691127118655086,0.12772354843303171,0.12864892131857167
H10,1.5,88,0.22591990884289925,0.1609042460024693,0.2280329273471252,0.2343359302444753,0.2012499999999998,0.19100577670033614,0.1093783880990963,0.23704681828281676,0.2377057974057973,0.20429078602120934,0.2024224150982443,0.20230469089774777,0.11563263451329155,0.036575134393546774,0.33937110808493554,0.00930948590432051,0.04807711631074266,0.05085321284783363,0.10063615024425185,0.1098238729977697,0.11040561907838822
H35,1.3,86,0.22960570757603274,0.2326649611276435,0.2280329273471252,0.2362121720094132,0.2118749999999999,0.3007246191329799,0.0843126549582811,0.23384474035572012,0.23523196849392758,0.20161309110340195,0.20140174148689516,0.201981938393014,0.08036704478235311,0.028366912157778208,0.01323596075338018,0.006873486200783671,0.018293869471934888,0.024208604338433835,0.130013052799327,0.1310618957638569,0.12818524340949358
H35,1.5,87,0.2475787548917335,0.2523131644106304,0.2280329273471252,0.2547129676570385,0.2187499999999999,0.3007246191329799,0.1715157176088038,0.25765958509001835,0.258375866745432,0.22289222612219753,0.22312612770698803,0.2243744761912727,0.12379920773839664,0.02840856116844156,0.018942298918211094,0.08223869625983629,0.03991054308563747,0.04268663962272849,0.10504036927055431,0.10399152630602265,0.09841230825987733
H65,1.3,87,0.2414903786981187,0.3231355847816418,0.2280329273471252,0.246664038027529,0.22125,0.4188901679490748,0.1170972153795442,0.24419185276084057,0.24564046267507494,0.21485848646520928,0.21303498969314336,0.21420517837050973,0.08753634865162135,0.02119760828851033,0.2912423697312495,0.0573395958233766,0.011124565602666696,0.017039300469165655,0.11685002360975148,0.12537320946138739,0.11989529941902696
H65,1.5,87,0.26791283043100883,0.34990325799447,0.2280329273471252,0.2707234970526239,0.2324999999999999,0.4188901679490748,0.2378548441131256,0.27385533043853383,0.27461663551228777,0.23753559894042248,0.23956881141196334,0.2419125820013095,0.1417714429892861,0.010436325917552475,0.2669950425295725,0.16117163130041304,0.0219383078347482,0.02471440437183908,0.12034416549896265,0.11182097964732525,0.10208523851933625
H90,1.3,88,0.24165795672978374,0.3951586702722069,0.2280329273471252,0.246664038027529,0.22125,0.5132612272640581,0.1431967944763097,0.24419185276084057,0.24564046267507494,0.22340539101428916,0.2204966759728806,0.22205543542327147,0.0882300405308932,0.02050391640923841,0.49176405671525586,0.05803328770264845,0.010430873723394813,0.016345608589893888,0.07853530640852689,0.09164070459858203,0.08459626460494878
H90,1.5,88,0.27037398255182554,0.4273784819934655,0.2280329273471252,0.2707234970526239,0.2324999999999999,0.5132612272640581,0.2905204221146937,0.27385533043853383,0.27461663551228777,0.24698458149890776,0.250242715727155,0.2533095065702779,0.15091589613868756,0.0012918727681511795,0.45786387415641144,0.17031608444981441,0.012793854685346582,0.015569951222437605,0.09048020956786765,0.07737481137781028,0.06519403398915385
