configuration,amplitude,frequency,activation,width,depth,seed,eval_errors,dense_errors,regionally_separating,duration_seconds
flat,0.0,0.0,gelu,6,5,15,0,0.0,True,1.0801401250064373
flat,0.0,0.0,gelu,6,5,16,0,0.0,True,1.0734195408876985
flat,0.0,0.0,gelu,6,5,17,0,0.0,True,1.0846266658045352
flat,0.0,0.0,gelu,6,5,18,0,0.0,True,1.072177791967988
flat,0.0,0.0,gelu,6,5,19,0,0.0,True,1.0715062499511987
flat,0.0,0.0,gelu,6,5,20,0,0.0,True,1.0777626249473542
flat,0.0,0.0,gelu,6,5,21,0,0.0,True,1.0785482921637595
flat,0.0,0.0,gelu,6,5,22,0,0.0,True,1.088882541982457
flat,0.0,0.0,gelu,6,5,23,0,0.0,True,1.0780054579954594
flat,0.0,0.0,gelu,6,5,24,0,0.0,True,1.0806647080462426
flat,0.0,0.0,gelu,6,5,25,0,0.0,True,1.0802738331258297
flat,0.0,0.0,gelu,6,5,26,0,0.0,True,1.0697538328822702
flat,0.0,0.0,gelu,6,5,27,0,0.0,True,1.0743128329049796
flat,0.0,0.0,gelu,6,5,28,0,0.0,True,1.063266791170463
flat,0.0,0.0,gelu,6,5,29,0,0.0,True,1.079852499999106
flat,0.0,0.0,tanh,4,5,0,0,0.0,True,0.9311057499144226
flat,0.0,0.0,tanh,4,5,1,0,0.0,True,0.9301003750879318
flat,0.0,0.0,tanh,4,5,2,0,0.0,True,0.9302209578454494
flat,0.0,0.0,tanh,4,5,3,0,0.0,True,0.9349022500682622
flat,0.0,0.0,tanh,4,5,4,67,,False,0.9174777080770582
flat,0.0,0.0,tanh,4,5,5,73,,False,0.9202310000546277
flat,0.0,0.0,tanh,4,5,6,0,0.0,True,0.9329266659915447
flat,0.0,0.0,tanh,4,5,7,62,,False,0.9156805840320885
flat,0.0,0.0,tanh,4,5,8,0,0.0,True,0.9329385000746697
flat,0.0,0.0,tanh,4,5,9,1,,False,0.9205198751296848
flat,0.0,0.0,tanh,4,5,10,80,,False,0.9111424589063972
flat,0.0,0.0,tanh,4,5,11,0,0.0,True,0.9297419581562281
flat,0.0,0.0,tanh,4,5,12,0,0.0,True,0.9340445408597589
flat,0.0,0.0,tanh,4,5,13,0,0.0,True,0.9304208750836551
flat,0.0,0.0,tanh,4,5,14,0,0.0,True,0.9234933748375624
flat,0.0,0.0,tanh,4,5,15,89,,False,0.9198122078087181
flat,0.0,0.0,tanh,4,5,16,77,,False,0.9172900838311762
flat,0.0,0.0,tanh,4,5,17,78,,False,0.9125823329668492
flat,0.0,0.0,tanh,4,5,18,62,,False,0.9138807088602334
flat,0.0,0.0,tanh,4,5,19,101,,False,0.9163719168864191
flat,0.0,0.0,tanh,4,5,20,71,,False,0.9197279580403119
flat,0.0,0.0,tanh,4,5,21,0,0.0,True,0.9281446659006178
flat,0.0,0.0,tanh,4,5,22,81,,False,0.9778051250614226
flat,0.0,0.0,tanh,4,5,23,81,,False,0.9135858749505132
flat,0.0,0.0,tanh,4,5,24,87,,False,0.9184572920203209
flat,0.0,0.0,tanh,4,5,25,74,,False,0.9197808329481632
flat,0.0,0.0,tanh,4,5,26,0,0.0,True,0.9342227501329035
flat,0.0,0.0,tanh,4,5,27,70,,False,0.9970519167836756
flat,0.0,0.0,tanh,4,5,28,85,,False,1.0021471669897437
flat,0.0,0.0,tanh,4,5,29,0,0.0,True,0.9619179589208215
flat,0.0,0.0,tanh,6,5,0,0,0.0,True,1.2951194159686565
flat,0.0,0.0,tanh,6,5,1,0,0.0,True,1.102148124948144
flat,0.0,0.0,tanh,6,5,2,0,0.0,True,1.0905580830294639
flat,0.0,0.0,tanh,6,5,3,0,0.0,True,1.138129458995536
flat,0.0,0.0,tanh,6,5,4,0,0.0,True,1.3674036669544876
flat,0.0,0.0,tanh,6,5,5,0,0.0,True,1.2961452908348292
flat,0.0,0.0,tanh,6,5,6,0,0.0,True,1.138680167030543
flat,0.0,0.0,tanh,6,5,7,0,0.0,True,1.120922917034477
flat,0.0,0.0,tanh,6,5,8,0,0.0,True,1.2321828331332654
flat,0.0,0.0,tanh,6,5,9,0,0.0,True,1.083263625157997
flat,0.0,0.0,tanh,6,5,10,0,0.0,True,1.0895947080571204
flat,0.0,0.0,tanh,6,5,11,0,0.0,True,1.086443749954924
flat,0.0,0.0,tanh,6,5,12,0,0.0,True,1.0896010000724345
flat,0.0,0.0,tanh,6,5,13,0,0.0,True,1.0828554581385106
flat,0.0,0.0,tanh,6,5,14,69,,False,1.065298791974783
flat,0.0,0.0,tanh,6,5,15,0,0.0,True,1.1306360000744462
flat,0.0,0.0,tanh,6,5,16,0,0.0,True,1.2304811659269035
flat,0.0,0.0,tanh,6,5,17,0,0.0,True,1.0948276249691844
flat,0.0,0.0,tanh,6,5,18,0,0.0,True,1.0855829999782145
flat,0.0,0.0,tanh,6,5,19,0,0.0,True,1.0895837920252234
flat,0.0,0.0,tanh,6,5,20,0,0.0,True,1.0781122499611229
flat,0.0,0.0,tanh,6,5,21,0,0.0,True,1.0752129170577973
flat,0.0,0.0,tanh,6,5,22,0,0.0,True,1.0716840829700232
flat,0.0,0.0,tanh,6,5,23,0,0.0,True,1.0676957909017801
flat,0.0,0.0,tanh,6,5,24,0,0.0,True,1.0737502500414848
flat,0.0,0.0,tanh,6,5,25,0,0.0,True,1.0750105420593172
flat,0.0,0.0,tanh,6,5,26,0,0.0,True,1.0729110001120716
flat,0.0,0.0,tanh,6,5,27,0,0.0,True,1.074147957842797
flat,0.0,0.0,tanh,6,5,28,0,0.0,True,1.0626128329895437
flat,0.0,0.0,tanh,6,5,29,0,0.0,True,1.0580440000630915
A_a0.05,0.05,100.0,gelu,3,5,0,4,,False,1.0000983329955488
A_a0.05,0.05,100.0,gelu,3,5,1,73,,False,0.9818153749220073
A_a0.05,0.05,100.0,gelu,3,5,2,77,,False,1.0004568330477923
