a,factor,residual,ratio,n
1.3,0.25,0.027751469637684302,0.00339984925853145,48
1.3,0.5,0.03024300502645825,0.0038429783333169,48
1.3,1.0,0.0310530517860165,0.003991336243666,48
1.3,2.0,0.0315858218259824,0.004057183270269349,48
1.5,0.25,0.056340105166158005,0.0134587691942514,48
1.5,0.5,0.0628575228321519,0.01499795472997575,48
1.5,1.0,0.06559416360338086,0.0156705637722791,48
1.5,2.0,0.0667494878854272,0.01618100561968335,48
