comparison,mean_diff,ci95_lo,ci95_hi,C_better_interval_excludes_zero,crossing
C - B1,-0.25729359647426275,-0.3704173469970752,-0.1311636151791475,True,check
C - B2,-0.054983582456451074,-0.10268191621888495,-0.010476685014828022,True,check
C - U,-0.08577439628862724,-0.11109002479472588,-0.06299352376704069,True,check
C - B1,-0.25106367686368775,-0.3651363935291577,-0.12699758705185318,True,interpolated
C - B2,-0.024119123959048645,-0.054265455462788624,0.005296175264340369,False,interpolated
C - U,-0.04814356262058965,-0.06097935653443233,-0.03632482022634941,True,interpolated
C - B1,-0.26281091773216236,-0.3754643596881446,-0.1349325048839149,True,"interpolated, cadence-matched C, B1 and B2"
C - B2,-0.05075603740807927,-0.08604575919925814,-0.016937106748851315,True,"interpolated, cadence-matched C, B1 and B2"
C - U,-0.07091966904700878,-0.08809631683111233,-0.05440250608422845,True,"interpolated, cadence-matched C, B1 and B2"
