seed,ck_step,level,held_s,placed,own_rule,dist,w1c,b1c,grad_norm_end,hess_min_end,G_end,dist_end_to_loc_min,loc_min_L,loc_min_w1,loc_min_b1,loc_min_G,loc_min_hess_min,basin,L_minus_global,branch_plus_L,branch_minus_L,switch_s,switch_over_pop,kind
200004,4616,1.05,5.204062500000001,False,True,0.03627878033603005,-0.006405483912686393,5.897640265755726,9.449135777344817e-05,-0.00010228551882230197,-0.0395056278922139,2.2238728629860383,0.330185485881527,-0.8228013266910404,3.829039690821082,0.005668437725068642,1.6167494885724967,mirror -,5.551115123125783e-17,0.349083170933656,0.33018548588152696,,,"degenerate plateau (w1 ≈ 0, loss ≈ log 2; branch label arbitrary)"
200004,4616,1.1,5.451875000000001,False,True,0.08562538892346017,-0.0055680201026923155,5.96878784236525,0.02161980243181599,1.1943498896582807e-05,-0.0348433489931983,2.2940200028454143,0.32289047127207277,-0.8171195801144614,3.8231150250658983,0.012814608609254652,1.6658173973458192,mirror -,5.551115123125783e-17,0.34128361835181714,0.3228904712720727,,,"degenerate plateau (w1 ≈ 0, loss ≈ log 2; branch label arbitrary)"
200019,939,1.05,5.204062500000001,True,False,0.003411131059245731,0.8287641062410913,3.8324722438622616,0.0032687838869663293,1.7592965658098678,0.0007013771087587273,0.0015207249346534419,0.3321076200379835,0.829838845653644,3.8335481339690953,-0.0006437191240138418,1.7594371384757674,mirror +,1.1102230246251565e-16,0.3321076200379834,0.3550819965290523,,,slow relaxation near the switch
200021,7443,1.0,4.956250000000001,False,True,0.013418530351437807,0.0028216341486294793,6.147798036681337,0.008490390064085944,6.371956214304496e-06,-0.018074949679000696,2.4648269118574113,0.3449993220381561,0.8367969946446949,3.8283462041351206,0.002314973840412904,1.6379312046386412,mirror +,5.551115123125783e-17,0.34499932203815603,0.3512714859483336,,,"degenerate plateau (w1 ≈ 0, loss ≈ log 2; branch label arbitrary)"
200021,7443,1.05,5.204062500000001,False,True,0.0640894568690098,0.0028599956153226,6.162831088101081,1.7096010969676085e-05,-7.551403134066282e-06,-0.018340877137203115,2.4829659789083327,0.3373894427633063,0.8305734496333549,3.821888865308354,0.010264213769695996,1.6949782864126859,mirror +,0.0,0.3373894427633063,0.34340449278014107,,,"degenerate plateau (w1 ≈ 0, loss ≈ log 2; branch label arbitrary)"
200021,7443,1.1,5.451875000000001,False,True,0.11476038338658179,0.002722709035896136,6.173513641084871,9.992582178483025e-05,-6.468146612593476e-06,-0.017472894759570146,2.496797364392885,0.3299656955389749,0.8248347260363645,3.8159452093436674,0.01743707060462185,1.7502840295580964,mirror +,0.0,0.3299656955389749,0.33573021997909613,,,"degenerate plateau (w1 ≈ 0, loss ≈ log 2; branch label arbitrary)"
200064,2082,1.05,5.204062500000001,False,True,0.0013830426939267504,0.8346085280858957,3.8316044961129876,0.0008617527827936404,1.6124361819556268,-0.00016683663132477378,0.00045224049847518373,0.33799297452482896,0.8347800231287079,3.8311860335474552,0.00018518920786014803,1.6122211633076147,mirror +,5.551115123125783e-17,0.3379929745248289,0.34187646868329935,,,slow relaxation near the switch
200101,683,1.05,5.204062500000001,False,True,0.0025888019265505324,0.839053057703239,3.830069203482075,0.003322922379078312,1.4967112790673414,-1.2925091344762052e-05,0.001568015755570148,0.32670835728850295,0.84031176636048,3.8291341495125617,0.0005073973835818535,1.494004348188487,mirror +,0.0,0.32670835728850295,0.345020144704486,,,slow relaxation near the switch
200119,7443,1.0,4.956250000000001,False,True,0.0018951358180669953,0.002410058669625863,6.206846017350922,1.1252228492372751e-05,-3.990197202994266e-06,-0.015494235018180369,2.5223151292361004,0.3407953047992546,0.8425919413659083,3.8285760547179466,0.0003525793680525524,1.6397752303243354,mirror +,0.0,0.3407953047992546,0.35006237786272254,,,"degenerate plateau (w1 ≈ 0, loss ≈ log 2; branch label arbitrary)"
200119,7443,1.05,5.204062500000001,False,True,0.051989892608970356,0.0023075609652581847,6.2164063331976,0.0007774120816708316,-4.526835783294394e-06,-0.014841172394931768,2.5354330126808837,0.3330994637685039,0.8363043042338639,3.8220650889282246,0.008444788709546014,1.6963322635448383,mirror +,0.0,0.3330994637685039,0.34223923892850006,,,"degenerate plateau (w1 ≈ 0, loss ≈ log 2; branch label arbitrary)"
200119,7443,1.1,5.451875000000001,False,True,0.10208464939987372,0.002204970352379549,6.223866625197746,0.0010714848564945456,-4.431349782164076e-06,-0.014185243246098267,2.5462864061200468,0.3255942299641844,0.8305026645333187,3.816067341244392,0.015751961388801305,1.7510759537062295,mirror +,5.551115123125783e-17,0.32559422996418436,0.33460783175708836,,,"degenerate plateau (w1 ≈ 0, loss ≈ log 2; branch label arbitrary)"
200153,1291,1.05,5.204062500000001,True,False,0.002216896345116681,-0.8294525398450131,3.8329317464133568,0.0008784634163648548,1.7053566728205427,6.127559995094956e-05,0.00043812180043414456,0.3376163728765398,-0.829763307199154,3.833240573814369,-0.00032571541846282415,1.704888620933607,mirror -,0.0,0.3403211526964378,0.3376163728765398,,,slow relaxation near the switch
200167,1291,1.1,5.451875000000001,True,False,0.00022922636103128724,-0.8275383135659748,3.8335204706964245,2.6094497204920773e-07,1.7338770634321088,4.5519401146609795e-05,1.263251340296658e-07,0.31661416592331354,-0.827538402856494,3.8335205600566096,4.540787590556761e-05,1.733876919803388,mirror -,5.551115123125783e-17,0.3486157845009834,0.3166141659233135,,,at the branch minimiser
200167,1514,1.1,5.451875000000001,True,False,0.00022922636103128724,-0.8275384017686339,3.833520558969695,3.170193645087427e-09,1.7338769215407883,4.540923293383514e-05,1.5355091005414432e-09,0.31661416592331354,-0.8275384028548433,3.8335205600550233,4.540787790396905e-05,1.7338769198048394,mirror -,5.551115123125783e-17,0.3486157845009834,0.3166141659233135,,,at the branch minimiser
200167,2082,1.1,5.451875000000001,True,False,0.00022922636103128724,-0.8275388452590376,3.833521002579772,1.2927174155841255e-06,1.7338762081801915,4.485552377042623e-05,6.257572552528339e-07,0.3166141659233135,-0.8275384028402009,3.8335205600442195,4.540789249007915e-05,1.7338769198276618,mirror -,0.0,0.3486157845009834,0.3166141659233135,,,at the branch minimiser
