arm,intervened,kept,lost,kept_frac,lost_frac,registered_rule,verdict_as_registered
hold_low,37,0,37,0.0,1.0,"placement LOST, falsified if kept in > 1 of 10",PASS
hold_high,37,33,4,0.8918918918918919,0.10810810810810811,"placement KEPT >= 9/10, falsified if lost in > 1 of 10",FAIL
