a,eps,sqrt_eps_times_Smax,condition_holds,ghat_q2_lo,ghat_q2_hi,argmax_w1,argmax_b1,t_min_at_argmax,t_max_at_argmax,frac_outside_at_argmax
1.01,0.010000000000000009,0.45254833995939064,True,0.0004077036309763051,0.0004078316309763051,-0.11296755200001062,-0.08472601600001098,-0.3106611200000322,0.14120908800001025,0.0
1.02,0.020000000000000018,0.6400000000000002,True,0.0011474933296441202,0.001148398426324039,-0.1589748012476693,-0.11923200603243617,-0.43718160852777477,0.19871759646290243,0.0
1.03,0.030000000000000027,0.7838367176906174,True,0.002097821054778893,0.002098929567295737,-0.19375579430667847,-0.14531823137066016,-0.5328298199840171,0.24219335724269678,0.0
1.04,0.040000000000000036,0.9050966799187813,True,0.003214240090707288,0.0032155200907072884,-0.22265216000002133,-0.1669900800000219,-0.6122944000000645,0.27831424000002075,0.0
