a,seed,margin
1.5,198,0.0846767654976226
2.0,1,0.8981900436010406
2.0,2,0.9425804313697022
2.0,3,0.7206127212937261
2.0,5,0.8301754908618086
2.0,7,0.8952534403714587
2.0,9,0.9023072081505976
2.0,10,0.9534895068833524
2.0,12,0.8212350774591801
2.0,14,0.5453140431820227
2.0,15,0.37820679660470446
2.0,18,0.6830161906635777
2.0,19,0.8763105696801681
2.0,20,0.6051367330473401
2.0,22,0.552832528614708
2.0,23,0.610394814374116
2.0,24,0.39211631052044105
2.0,27,0.43154875598358977
2.0,28,0.5076259259972478
2.0,30,0.7208004609737166
2.0,31,0.8710263210360392
2.0,32,0.6680163894572679
2.0,33,0.7700772265239149
2.0,34,0.7595199387944529
2.0,35,0.4987493232515856
2.0,36,0.8145401229072231
2.0,37,0.7271514781402431
2.0,38,0.9000335164959914
2.0,39,0.9139289030178848
2.0,40,0.8354159282227318
2.0,41,0.4868908331472763
2.0,42,0.9217629709644033
2.0,43,0.3961273052579166
2.0,44,1.0232214534595503
2.0,45,0.562080156029074
2.0,47,0.6525544353250385
2.0,49,0.578303971962363
2.0,51,0.8455802023288044
2.0,52,0.4606824765199029
2.0,53,0.6459756104450367
2.0,56,0.7981494762431929
2.0,60,0.7105075899407503
2.0,61,0.8470715717397646
2.0,62,0.6816201571912757
2.0,63,0.85093555313391
2.0,64,0.5672899073063338
2.0,67,0.8769834383336121
2.0,69,0.8101010119815335
2.0,71,0.8812008018799684
2.0,72,0.16668938314851545
2.0,73,0.7896281572157324
2.0,75,0.8433992001645123
2.0,76,0.7751210581443022
2.0,77,0.8979182562612298
2.0,78,0.6586042974195916
2.0,81,0.5649078914623438
2.0,83,0.7227031286000773
2.0,84,0.8930752496551513
2.0,85,0.7971628368510828
2.0,87,0.7221349447865144
2.0,88,0.7930527796985594
2.0,89,0.9789009572298095
2.0,90,1.0136909807835472
2.0,91,0.8660708129488341
2.0,93,0.6587774191381044
2.0,94,0.5860212191921779
2.0,95,0.9832604339697824
2.0,96,0.9980585423992814
2.0,97,0.563844788434892
2.0,100,0.8225060818942893
2.0,102,0.6932049990915914
2.0,104,0.6887330757729888
2.0,105,0.7738277806717466
2.0,106,0.941284465353414
2.0,107,0.4277161971655019
2.0,108,0.8802376611177412
2.0,109,0.6810316614479301
2.0,110,0.9373180829710286
2.0,111,0.7192546841195533
2.0,112,0.6153346028894617
2.0,113,0.8229005370303053
2.0,114,0.7051711360632673
2.0,115,0.6540970436043825
2.0,116,1.1070027117790744
2.0,118,0.7905455643130725
2.0,119,0.7793306146341603
2.0,123,0.8512452584522663
2.0,124,0.9084154621244362
2.0,126,0.6641532863164965
2.0,127,0.7573903787654643
2.0,129,0.8624262779310659
2.0,130,0.8973914345507623
2.0,131,0.8118586632954727
2.0,132,0.7797752120700085
2.0,134,0.7924510337187876
2.0,137,0.7310553268095461
2.0,138,0.7322984241704553
2.0,139,0.1502188635312507
2.0,140,0.30986738563633764
2.0,141,0.7749753822862235
2.0,142,0.7738565605653349
2.0,144,0.7031669743421833
2.0,145,0.8118351200566263
2.0,146,0.8054483441390676
2.0,147,0.899133266708656
2.0,148,0.376275362773411
2.0,150,1.0236097315940142
2.0,151,0.9782707962840718
2.0,152,0.9874898469812141
2.0,153,0.735425199862096
2.0,154,0.6343034231480917
2.0,155,0.5842883151086049
2.0,159,0.8722388779640351
2.0,162,0.7399870344602721
2.0,163,1.016386908623872
2.0,164,0.888778766205073
2.0,165,0.6522648201434897
2.0,167,0.4647961490458883
2.0,168,0.8875694089277353
2.0,169,0.9615819505447707
2.0,170,0.49506637290941136
2.0,172,0.9347461840463591
2.0,173,0.8853678915867054
2.0,174,0.47111992430098404
2.0,175,0.3395040383852663
2.0,178,0.7158148702114584
2.0,180,1.0117763346219224
2.0,181,0.7773236393790999
2.0,182,0.2556355697771213
2.0,183,0.7242503129072322
2.0,184,0.9621902279449603
2.0,186,0.5772754273014691
2.0,187,0.3763739117927827
2.0,188,0.8581650779535028
2.0,189,0.6755229198400965
2.0,190,0.8876687507156085
2.0,191,0.8006008446112283
2.0,192,0.7727806070765872
2.0,193,0.7491545032763138
2.0,194,0.7514042076336835
2.0,195,0.592767859671163
2.0,197,0.4098490283816698
2.0,198,0.8588283842889037
2.0,199,0.6258904980929305
3.0,1,1.6436419251421857
3.0,2,1.8944957263579472
3.0,3,1.6410504372276682
3.0,5,1.6761670040766274
3.0,7,1.8236106818426556
3.0,9,1.653010650503857
3.0,10,1.9362667721370013
3.0,12,1.739721607507061
3.0,14,1.3452730840573164
3.0,18,1.541026591581046
3.0,19,1.8237001993200854
3.0,20,1.470882007644427
3.0,22,1.4453505271845968
3.0,23,1.5662464104231475
3.0,27,1.2954580121369075
3.0,28,1.3440956242920503
3.0,30,1.6682461162002395
3.0,31,1.8543611853191866
3.0,32,1.562883693687029
3.0,33,1.6035783933010688
3.0,34,1.60573129568004
3.0,35,1.3720648609153363
3.0,36,1.5891380772692312
3.0,37,1.4563368533366141
3.0,38,1.9241286227970988
3.0,39,1.9011442752027623
3.0,40,1.65925219100789
3.0,41,1.3086734498048358
3.0,42,1.896742683110153
3.0,43,1.0308317290020454
3.0,45,1.48272712504719
3.0,47,1.5535332075191226
3.0,49,1.4720633313402534
3.0,50,0.6892530774527472
3.0,51,1.7165306308537982
3.0,53,1.4683129109995887
3.0,56,1.7352336518384872
3.0,60,1.4755292943547085
3.0,61,1.7891642374359282
3.0,62,1.6019103871793776
3.0,63,1.8393459167488597
3.0,64,1.5092233234525319
3.0,67,1.7719964681944518
3.0,69,1.5375555343800835
3.0,71,1.8050208740221736
3.0,73,1.4996140800956788
3.0,75,1.6119710273859917
3.0,76,1.7376957836302322
3.0,77,1.8782736116764642
3.0,78,1.5244035756858292
3.0,81,1.4229140965366742
3.0,83,1.5519932366913896
3.0,84,1.6718302906842375
3.0,85,1.752291677427178
3.0,87,1.6713758554531726
3.0,88,1.6504973099039617
3.0,89,1.9804799449759418
3.0,90,1.894889579928817
3.0,91,1.8076737320434635
3.0,93,1.5019114254097472
3.0,94,1.4856456378320484
3.0,95,1.666289340205548
3.0,96,1.753004181814255
3.0,97,1.4272982927016233
3.0,100,1.5465149664436328
3.0,102,1.6029766493604765
3.0,104,1.5489936607574188
3.0,105,1.6636271305439063
3.0,106,1.9709138924849476
3.0,107,1.0412418649973834
3.0,108,1.707003882957478
3.0,109,1.4741330697813657
3.0,110,1.7118864745330278
3.0,111,1.5032026636256681
3.0,112,1.4816358648546766
3.0,113,1.685774189466259
3.0,114,1.5473315419684992
3.0,116,1.9756812102298262
3.0,118,1.5564289451544022
3.0,119,1.6744810855944232
3.0,123,1.810283334591972
3.0,124,1.7576390456199746
3.0,126,1.4546013763129446
3.0,128,0.12093548823675127
3.0,129,1.8216149660968828
3.0,130,1.9058921873907977
3.0,131,1.6612940801311717
3.0,132,1.4870002992644817
3.0,134,1.646861573708632
3.0,137,1.6526103623588506
3.0,138,1.5390979375027873
3.0,139,0.8130145009733543
3.0,140,1.0548113388977471
3.0,141,1.5454188369107502
3.0,142,1.6669388085931516
3.0,144,1.680515380701407
3.0,145,1.789459680244586
3.0,146,1.7665298333795834
3.0,147,1.5779352386101886
3.0,148,1.1732860754954402
3.0,150,1.3319098892823957
3.0,151,1.8559782046696576
3.0,152,1.7774616534707786
3.0,153,1.7312547121005109
3.0,154,1.5012384486740054
3.0,155,1.3887055325118185
3.0,159,1.6942784513310283
3.0,162,1.6452466228875062
3.0,163,1.685390164381852
3.0,164,1.8582794034768533
3.0,165,1.5426410451487538
3.0,167,1.3361203794728578
3.0,168,1.8505302758924103
3.0,169,1.8083284835537867
3.0,170,1.3519425450252402
3.0,171,0.700787258278921
3.0,172,1.7829547175385319
3.0,173,1.8564350348539778
3.0,174,1.312397971655483
3.0,175,1.100439367054868
3.0,178,1.539280647046211
3.0,180,1.8083187899473128
3.0,181,1.6098408572140785
3.0,182,0.8364749816229713
3.0,183,1.6433679404597585
3.0,184,1.931434910985537
3.0,186,1.4459402987169838
3.0,187,1.2888431167416536
3.0,188,1.7250897314698976
3.0,189,1.5474704633711918
3.0,190,1.7583736887023411
3.0,191,1.7165734057475959
3.0,192,1.7755287864726261
3.0,193,1.5773075465125288
3.0,194,0.6357404558881599
3.0,195,1.3436438333343386
3.0,197,1.250723947597808
3.0,198,1.7239820551528577
3.0,199,1.4395520718263954
