a,seed,margin
1.35,116,0.08262674406625337
1.35,180,0.017367931302125328
1.4,2,0.0029883559071066657
1.4,44,0.0633887767288499
1.4,84,0.038394456020952816
1.4,89,0.032503601701762364
1.4,90,0.06108750089675041
1.4,95,0.019828205951657907
1.4,96,0.018577517010379907
1.4,116,0.20142344366319165
1.4,150,0.11093974051092204
1.4,151,0.09147201654335291
1.4,159,0.003930181860955173
1.4,169,0.08039559787427919
1.4,172,0.09797695906173942
1.4,180,0.12498248497108833
1.4,190,0.009867422270726678
1.45,2,0.10349753891960844
1.45,5,0.025754518847746155
1.45,7,0.08689574251031829
1.45,10,0.048153256486880736
1.45,12,0.009023332092954917
1.45,19,0.01827854521851613
1.45,39,0.03139189781076368
1.45,40,0.009413427501899108
1.45,42,0.06363119902235859
1.45,44,0.19253754309718119
1.45,51,0.06061880902954009
1.45,61,0.024211188099096503
1.45,63,0.011718914008461923
1.45,67,0.03823106588660963
1.45,71,0.03080897532366933
1.45,75,0.03392966713855827
1.45,77,0.047612290305593774
1.45,84,0.1451157584122189
1.45,89,0.13226057605980657
1.45,90,0.15916594778477133
1.45,95,0.12303099664298855
1.45,96,0.13004206879032942
1.45,100,0.08859122391863394
1.45,106,0.058041867608380926
1.45,108,0.005972690102117539
1.45,110,0.05948375086212465
1.45,115,0.021894174467565364
1.45,116,0.31511819310113154
1.45,123,0.004153678043742559
1.45,124,0.07152911645932036
1.45,127,0.04072156603109889
1.45,129,0.004261954998924011
1.45,130,0.027206867485581654
1.45,141,0.0369526900846342
1.45,147,0.033090152781014126
1.45,150,0.22548794961020135
1.45,151,0.18769363532479844
1.45,152,0.0941607840714962
1.45,159,0.09803855045019283
1.45,164,0.022113912456761753
1.45,168,0.012176857544597297
1.45,169,0.19284869898743295
1.45,172,0.1841129939394328
1.45,173,0.013637512481839309
1.45,180,0.20185925927224346
1.45,184,0.09278926447863611
1.45,188,0.003319384144059967
1.45,190,0.10330915327572754
1.45,191,0.015163505278572131
1.45,194,0.0366693893016361
1.5,1,0.07706129329954692
1.5,2,0.1999868101165525
1.5,5,0.11643273044314029
1.5,7,0.17921112947697537
1.5,9,0.02137708424160145
1.5,10,0.14930978802962436
1.5,12,0.10180004021164457
1.5,19,0.11636768021425326
1.5,30,0.003752327415085688
1.5,31,0.10227660327714716
1.5,33,0.018727610522097038
1.5,34,0.019111403826018503
1.5,36,0.07743955565282512
1.5,38,0.09999979125692349
1.5,39,0.13149370087415946
1.5,40,0.10525701602938753
1.5,42,0.1607670756730446
1.5,44,0.31663968082944294
1.5,51,0.14953523560774507
1.5,56,0.03492065829891544
1.5,60,0.05393413675902714
1.5,61,0.11853029201462562
1.5,63,0.10718074803418354
1.5,67,0.13508219758549345
1.5,69,0.04651464050922627
1.5,71,0.12858444946912684
1.5,73,0.01964055769831141
1.5,75,0.12709458366971305
1.5,76,0.03408888539660815
1.5,77,0.14610559463433148
1.5,84,0.24826383196613655
1.5,85,0.059550046162760495
1.5,88,0.042632787516154735
1.5,89,0.22828560905282913
1.5,90,0.25378881992574165
1.5,91,0.0798356390751298
1.5,95,0.2222014236708567
1.5,96,0.23647541781537207
1.5,100,0.1895306916810462
1.5,106,0.15752981488275175
1.5,108,0.10279016833934662
1.5,110,0.1685527709524539
1.5,113,0.03464969425781206
1.5,114,0.029112484722224607
1.5,115,0.12185233169101295
1.5,116,0.42322148894658795
1.5,118,0.050238600856976845
1.5,119,0.044950067752797196
1.5,123,0.10077565324804816
1.5,124,0.16926684197800945
1.5,127,0.13244656456891057
1.5,129,0.09938002985378525
1.5,130,0.12450238439418015
1.5,131,0.0753931725987318
1.5,134,0.08491666840018652
1.5,138,0.028543584178706283
1.5,141,0.12120876320338603
1.5,142,0.018191368882851222
1.5,146,0.019579021834648103
1.5,147,0.13903903436020215
1.5,150,0.3354929357353953
1.5,151,0.2794434840917823
1.5,152,0.1962080505921424
1.5,159,0.1882703165880013
1.5,162,0.005690827815595156
1.5,163,0.018803449060772692
1.5,164,0.1165253937435704
1.5,168,0.1102489166651992
1.5,169,0.30064307116920475
1.5,172,0.26848233245318553
1.5,173,0.11181623790588979
1.5,180,0.2996794094021453
1.5,181,0.03420822254323497
1.5,183,0.0017055087584552098
1.5,184,0.19236948363983686
1.5,188,0.10215559657371642
1.5,190,0.19331246260490964
1.5,191,0.10450191066176906
1.5,193,0.010188360526285578
1.5,194,0.12707512537777355
