act,a,seed,budget,heldout_errors,heldout_acc,train_acc,perfect,wout_fro,train_loss
0.9,0.9,7,1000,5201,0.73995,0.7401000261306763,False,0.9076342582702637,0.5157837271690369
0.9,0.9,7,4000,3774,0.8113,0.8119999766349792,False,1.6622014045715332,0.36315369606018066
0.9,0.9,7,16000,3191,0.84045,0.8393999934196472,False,3.679337501525879,0.3231935203075409
0.9,0.9,7,64000,2589,0.8705499999999999,0.8705000281333923,False,4.060486793518066,0.2870062589645386
0.9,0.9,3,1000,7516,0.6242,0.635699987411499,False,1.0865193605422974,0.5447115302085876
0.9,0.9,3,4000,3337,0.8331500000000001,0.8457000255584717,False,3.3615975379943848,0.3304045796394348
0.9,0.9,3,16000,1904,0.9048,0.9154000282287598,False,5.262383937835693,0.21453915536403656
0.9,0.9,3,64000,1559,0.92205,0.9316999912261963,False,6.831967830657959,0.17474226653575897
0.9,0.9,5,1000,3640,0.8180000000000001,0.8263000249862671,False,1.6589910984039307,0.3653217852115631
0.9,0.9,5,4000,2296,0.8852,0.892799973487854,False,3.2465298175811768,0.25262874364852905
0.9,0.9,5,16000,1788,0.9106,0.9176999926567078,False,4.7115607261657715,0.2002742886543274
0.9,0.9,5,64000,1200,0.94,0.9437000155448914,False,7.16213321685791,0.1414874941110611
0.9,0.9,4,1000,3532,0.8234,0.8292999863624573,False,1.8224289417266846,0.3686337172985077
0.9,0.9,4,4000,2683,0.86585,0.8766999840736389,False,3.29429292678833,0.30088356137275696
0.9,0.9,4,16000,2077,0.89615,0.9002000093460083,False,6.532514572143555,0.25100550055503845
0.9,0.9,4,64000,1954,0.9023,0.9070000052452087,False,8.884002685546875,0.23587998747825623
0.9,0.9,0,1000,4262,0.7868999999999999,0.7885000109672546,False,1.464669942855835,0.43365585803985596
0.9,0.9,0,4000,1546,0.9227,0.9225000143051147,False,3.4413161277770996,0.19377528131008148
0.9,0.9,0,16000,1062,0.9469,0.9506999850273132,False,7.160302639007568,0.12668612599372864
0.9,0.9,0,64000,743,0.96285,0.9675999879837036,False,12.033164978027344,0.08823835849761963
0.9,0.9,2,1000,3117,0.84415,0.8399999737739563,False,1.5763379335403442,0.36401844024658203
0.9,0.9,2,4000,2446,0.8777,0.8776999711990356,False,3.2502589225769043,0.30079278349876404
0.9,0.9,2,16000,2214,0.8893,0.8942999839782715,False,5.740664482116699,0.25891417264938354
0.9,0.9,2,64000,1742,0.9129,0.9158999919891357,False,8.791321754455566,0.2173643559217453
0.9,0.9,1,1000,4147,0.79265,0.7996000051498413,False,1.2873128652572632,0.38229799270629883
0.9,0.9,1,4000,2098,0.8951,0.9038000106811523,False,2.840749979019165,0.23492585122585297
0.9,0.9,1,16000,1630,0.9185,0.9269999861717224,False,5.08882474899292,0.1916632205247879
0.9,0.9,1,64000,1576,0.9212,0.9300000071525574,False,6.287017345428467,0.18027397990226746
0.9,0.9,8,1000,3382,0.8309,0.8381999731063843,False,1.7849568128585815,0.35844141244888306
0.9,0.9,8,4000,2735,0.86325,0.8726999759674072,False,3.1444411277770996,0.2917900085449219
0.9,0.9,8,16000,2369,0.8815500000000001,0.8934000134468079,False,5.4817280769348145,0.24583256244659424
0.9,0.9,8,64000,2109,0.89455,0.9092000126838684,False,7.75956392288208,0.21618452668190002
0.9,0.9,6,1000,4779,0.76105,0.7692000269889832,False,1.0595347881317139,0.4724009335041046
0.9,0.9,6,4000,2649,0.86755,0.8736000061035156,False,3.4192070960998535,0.2792370319366455
0.9,0.9,6,16000,1132,0.9434,0.9473999738693237,False,10.66886043548584,0.12101078778505325
0.9,0.9,6,64000,748,0.9626,0.965499997138977,False,15.682621955871582,0.08806400746107101
0.9,0.9,9,1000,3113,0.8443499999999999,0.8414999842643738,False,1.5315669775009155,0.33243292570114136
0.9,0.9,9,4000,2150,0.8925,0.8895999789237976,False,3.2897768020629883,0.24107250571250916
0.9,0.9,9,16000,1218,0.9391,0.9442999958992004,False,6.919073581695557,0.12362919747829437
0.9,0.9,9,64000,788,0.9606,0.9696000218391418,False,12.182841300964355,0.07793479412794113
0.9,0.9,15,1000,2745,0.86275,0.8652999997138977,False,2.0022385120391846,0.3236459195613861
0.9,0.9,15,4000,2472,0.8764,0.8827999830245972,False,3.580583095550537,0.27166256308555603
0.9,0.9,15,16000,2288,0.8855999999999999,0.8889999985694885,False,5.364941596984863,0.25948962569236755
0.9,0.9,15,64000,2268,0.8866,0.8920999765396118,False,7.680891036987305,0.24976672232151031
0.9,0.9,13,1000,3571,0.82145,0.824400007724762,False,1.3136242628097534,0.3687150180339813
0.9,0.9,13,4000,2340,0.883,0.8881999850273132,False,2.649970531463623,0.2428569793701172
0.9,0.9,13,16000,1149,0.94255,0.9462000131607056,False,6.232979774475098,0.13656462728977203
0.9,0.9,13,64000,878,0.9561,0.9602000117301941,False,10.393233299255371,0.09397672116756439
0.9,0.9,10,1000,2838,0.8581,0.8654999732971191,False,1.6113648414611816,0.3093995749950409
0.9,0.9,10,4000,1288,0.9356,0.9412000179290771,False,3.860499143600464,0.14902342855930328
0.9,0.9,10,16000,918,0.9541,0.9610999822616577,False,7.787465572357178,0.10198974609375
0.9,0.9,10,64000,1102,0.9449,0.9484999775886536,False,11.886725425720215,0.1737767606973648
0.9,0.9,12,1000,3528,0.8236,0.8190000057220459,False,1.5977317094802856,0.39546793699264526
0.9,0.9,12,4000,3008,0.8496,0.8489000201225281,False,2.954054594039917,0.3532240688800812
0.9,0.9,12,16000,2794,0.8603000000000001,0.8550000190734863,False,4.252050876617432,0.33151131868362427
0.9,0.9,12,64000,2582,0.8709,0.8694000244140625,False,6.378739356994629,0.3093440532684326
0.9,0.9,14,1000,6921,0.65395,0.657800018787384,False,0.8384124040603638,0.5669813752174377
0.9,0.9,14,4000,3110,0.8445,0.8471999764442444,False,3.3007538318634033,0.3389118015766144
0.9,0.9,14,16000,1574,0.9213,0.9221000075340271,False,5.918898582458496,0.2059420645236969
0.9,0.9,14,64000,1494,0.9253,0.926800012588501,False,7.285120487213135,0.19193606078624725
0.9,0.9,17,1000,3447,0.82765,0.8360000252723694,False,2.1139588356018066,0.35079896450042725
0.9,0.9,17,4000,2243,0.88785,0.8996999859809875,False,4.308460235595703,0.23744511604309082
