i,o1,o2,K_lo,K_hi,u,v,argmax_near_box_edge,kappa0_lo,kappa0_hi
0.5,0.7,1.3,0.478000744080704,0.4780333039802287,2.5508125305175784,1.2073844909667986,False,0.2534981756637609,0.2535154431580724
0.5,0.7,1.5,0.4551109654632568,0.4551481258333275,2.3217552185058588,1.2453056335449237,False,0.24135903740356912,0.2413787446658204
0.5,0.7,1.9,0.3850521214369225,0.38507484493074307,1.9529804229736332,1.2969791412353517,False,0.2042047246337354,0.20421677558616497
0.5,0.8,1.4,0.6622506804605975,0.6622843285942178,2.357825469970703,1.2396446228027358,False,0.35121146024932043,0.3512293048669133
0.5,0.8,1.6,0.6308825434070486,0.6309204635499438,2.1604522705078124,1.2692657470703133,False,0.33457599343150535,0.3345961036241439
0.5,0.8,2.0,0.5407878195250739,0.5408339529000048,1.8382865905761725,-1.3108726501464836,False,0.2867960507769499,0.2868205166936394
0.5,0.9,1.5,0.8164797538752095,0.8165490222544313,2.1895919799804693,-1.2650985717773426,False,0.43300377800001294,0.43304051310551506
0.5,0.9,1.7,0.7791730724978844,0.7792508613243937,2.018312072753907,1.2886154174804691,False,0.4132189224609085,0.4132601762159525
0.5,0.9,2.1,0.6760697142546376,0.6761165030058425,1.7351112365722656,-1.3225395202636716,False,0.35854010962822924,0.35856492311067445
0.5,1.0,1.6,0.9457837157934934,0.9458548124363135,2.0421188354492186,1.2854873657226562,False,0.5015775592300421,0.5016152639187355
0.5,1.0,1.8,0.9046773286118573,0.9047566939423062,1.8924453735351559,1.3044357299804699,False,0.47977760538538117,0.4798196952078948
0.5,1.0,2.2,0.7937593622723316,0.7938067865443499,1.6419944763183594,-1.3324089050292964,False,0.42095447076980624,0.420979621288059
0.5,1.1,1.7,1.0546168881000701,1.0546897109716884,1.9120956420898438,-1.3020462036132805,False,0.5592950648470604,0.5593336850068205
0.5,1.1,1.9,1.011363852136851,1.0114447306921637,1.780421447753906,1.317512512207032,False,0.536356678569687,0.5363995709008726
0.5,1.1,2.3,0.8964000795384011,0.8964481275183166,1.5576744079589848,1.3408210754394538,False,0.4753879311733229,0.47541341246263835
0.5,1.3,1.9,1.2250340877872588,1.225109441177371,1.6940093994140626,-1.3269744873046865,False,0.6496724329942852,0.6497123951641356
0.5,1.3,2.1,1.1808064656112247,1.180890254808945,1.590196228027344,1.3376358032226572,False,0.6262171943269625,0.6262616302593862
0.5,1.3,2.5,1.0650115670604743,1.0651101268267968,1.4112106323242188,1.3542678833007809,False,0.5648076758329296,0.5648599450422688
0.6,0.8,1.4,0.4112829078048106,0.4113149540911747,2.2748573303222654,-1.1743095397949213,False,0.21811569982117737,0.2181326949309773
