activation,parameter,depth,seed,errors,fraction_class_a,median_dist_other_core,p10_dist_other_core,baseline_median_dist,angular_concentration,concentration_null_p95
sin_family,0.95,8,2,2,0.5,0.8837971687316895,0.8452841639518738,0.979229211807251,0.8725334405899048,0.9971749514341355
sin_family,0.9,12,0,6,0.5,0.8607276678085327,0.8334342241287231,0.9819583296775818,0.16174298524856567,0.6893408983945848
sin_family,0.95,12,19,6,1.0,0.8609812259674072,0.809217095375061,0.9723471403121948,0.9998087882995605,0.6838357359170915
sin_family,1.0,3,4,6,0.5,0.8802579641342163,0.8295015096664429,0.9789061546325684,0.6514255404472351,0.6904496401548387
sin_family,0.95,8,1,8,0.0,0.8468825221061707,0.8324437737464905,0.9693466424942017,0.9998579025268555,0.6006108045578004
sin_family,1.0,5,14,8,0.375,0.8641403913497925,0.8322356343269348,0.9782673120498657,0.5000450611114502,0.6051587402820587
tanh,,8,8,26,0.3076923076923077,0.8959704637527466,0.8268880844116211,0.9710283279418945,0.4707626700401306,0.33407023400068286
tanh,,5,12,49,0.8163265306122449,0.8687455058097839,0.8116751909255981,0.980311393737793,0.797096312046051,0.2422655999660492
