a,eps,kappa_lo,kappa_hi
1.001,0.0009999999999998899,0.30732420653709186,0.32881085462551407
1.002,0.0020000000000000018,0.30734702654516777,0.31495091654227575
1.005,0.004999999999999893,0.307414502079668,0.3093436278134924
1.01,0.010000000000000009,0.3075259562246425,0.3082112356566052
1.02,0.020000000000000018,0.3077470213836607,0.30799159284837596
1.05,0.050000000000000044,0.3083955537408968,0.3084591715861418
1.1,0.10000000000000009,0.30940560726832045,0.30952326296452154
1.3,0.30000000000000004,0.3130917881713532,0.31322560394087207
1.6,0.6000000000000001,0.31748952895218846,0.3177838673481982
