population,a,seed,w2,barrier_mep_median,barrier_mep_max,barrier_linear_median,lambda_max,eta_eff,sharpness_product,distance_median,distance_min,margin
zero_basin_constructed,1.02,-1,1.0,0.0,0.0,0.019888992340999112,2.7181758685067043,0.01,0.027181758685067045,4.670894794893377,3.805394884737911,0.00027397904670234396
zero_basin_constructed,1.1,-1,1.0,0.0,0.0,0.031617932941101046,2.7285814326467897,0.01,0.027285814326467896,4.819530194082866,4.005787860916215,0.003141913848474065
zero_basin_constructed,1.25,-1,1.0,0.0,0.0,0.02792156204295393,2.7753979453839506,0.01,0.027753979453839506,4.9433669875727855,4.201838690554402,0.012928569382421262
zero_basin_constructed,1.35,-1,1.0,0.0,0.0,0.021644267417680052,2.8201448072818063,0.01,0.028201448072818065,5.000088671296638,4.291158061406324,0.02189296762029036
zero_basin_constructed,1.45,-1,1.0,0.0,0.0,0.019892641003136313,2.8844917917701203,0.01,0.028844917917701204,5.051397428882565,4.369565787488026,0.03252830829489817
found_adam,1.45,2,5.466699600219727,0.0,0.0,0.6473457985093276,2.9648565622567826,0.0011970996856689453,0.003549228858731104,17.691217486335418,16.76025672083432,0.10349753891960844
zero_basin_constructed,1.5,-1,1.0,0.0,0.0,0.0214448904111042,2.9138389140202605,0.01,0.029138389140202607,5.073599143990895,4.400847144155157,0.03842033465102812
found_adam,1.5,1,4.394019603729248,0.0,0.0,0.48804692238805436,2.5998567314798118,0.0010770559310913086,0.002800191112627995,14.199328382810585,13.208465645854142,0.07706129329954692
zero_basin_constructed,2.0,-1,1.0,0.0,0.0,0.03874953778332857,3.0210166499973,0.01,0.030210166499973,5.256549236201245,4.562015806862113,0.11488800102912178
found_adam,2.0,1,4.2373456954956055,0.0,0.0,0.3705077710846943,1.8698081869586,0.0007875561714172363,0.0014725789770057192,13.439518255994372,12.42980086587259,0.8981900436010406
zero_basin_constructed,3.0,-1,1.0,0.0,0.0,0.10272623367973371,2.4773368376098612,0.01,0.024773368376098615,5.5166287791899205,4.787554303287048,0.3329243022281094
found_adam,3.0,1,3.4715163707733154,0.0,0.0,0.37216715347352736,1.0920711464068493,0.00047343969345092773,0.000517029828781462,10.232444962993512,9.191415244986521,1.6436419251421857
