a,n_solved,min_margin,median_margin,constructed_margin,n_below_constructed
1.35,2,0.017367931302125328,0.04999733768418935,0.0218929676202903,1.0
1.4,15,0.0029883559071066657,0.06108750089675041,,
1.45,50,0.003319384144059967,0.047882773396237255,0.0325283082948981,18.0
1.5,81,0.0017055087584552098,0.11181623790588979,0.0384203346510281,17.0
2.0,143,0.1502188635312507,0.7738277806717466,0.1148880010291217,0.0
3.0,139,0.12093548823675127,1.6119710273859917,0.3329243022281094,1.0
