activation,parameter,seed,eval_errors,solved,w2_abs,w1_abs
sin_family,0.5,0,137,False,0.3378264605998993,1.2599390745162964
sin_family,0.5,1,156,False,0.31255289912223816,1.298476219177246
sin_family,0.5,2,146,False,0.30243152379989624,1.2815386056900024
sin_family,0.5,3,151,False,0.37629014253616333,1.2821581363677979
sin_family,0.5,4,192,False,0.7347577810287476,0.0018204353982582688
sin_family,0.5,5,160,False,0.2600443363189697,1.284973382949829
sin_family,0.5,6,188,False,0.6442571878433228,0.02537205070257187
sin_family,0.5,7,174,False,0.30025047063827515,1.2718034982681274
sin_family,0.5,8,198,False,0.7226178050041199,0.00252008275128901
sin_family,0.5,9,176,False,0.3073314428329468,1.2816275358200073
sin_family,0.5,10,169,False,0.35650014877319336,1.2778165340423584
sin_family,0.5,11,211,False,0.548898458480835,0.04311772808432579
sin_family,0.5,12,164,False,0.32801005244255066,1.2514846324920654
sin_family,0.5,13,200,False,0.852398157119751,0.061283621937036514
sin_family,0.5,14,189,False,0.6226822733879089,0.005237281788140535
sin_family,0.5,15,150,False,0.31801140308380127,1.2784355878829956
sin_family,0.5,16,167,False,0.29704561829566956,1.2648884057998657
sin_family,0.5,17,211,False,0.9486731290817261,0.0026651618536561728
sin_family,0.5,18,166,False,0.3179298937320709,1.271031379699707
sin_family,0.5,19,166,False,0.35137197375297546,1.2853457927703857
sin_family,0.5,20,176,False,0.3385557234287262,1.286017656326294
sin_family,0.5,21,197,False,1.099940299987793,0.03298831731081009
sin_family,0.5,22,158,False,0.31018155813217163,1.293087363243103
sin_family,0.5,23,160,False,0.3122841417789459,1.25746488571167
sin_family,0.5,24,153,False,0.3642534017562866,1.2790858745574951
sin_family,0.5,25,162,False,0.3725607991218567,1.2564702033996582
sin_family,0.5,26,174,False,0.3054158687591553,1.2689377069473267
sin_family,0.5,27,132,False,0.4682578146457672,1.25038480758667
sin_family,0.5,28,166,False,0.3679681122303009,1.2417701482772827
sin_family,0.5,29,197,False,0.38461554050445557,0.04343128949403763
sin_family,0.5,30,161,False,0.30279919505119324,1.2600101232528687
sin_family,0.5,31,139,False,0.4073428511619568,1.2825278043746948
sin_family,0.5,32,169,False,0.27873820066452026,1.2801902294158936
sin_family,0.5,33,175,False,0.3642127215862274,1.2941018342971802
sin_family,0.5,34,157,False,0.30099135637283325,1.2813752889633179
