window,K,kappa_0,kappa_1p02,err_pct
base,0.5794431661533294,0.3072961440744169,0.30748261648312775,0.06068166239849848
G1_wide_gap,1.1323169592607285,0.6005017502593445,0.5992977400471622,-0.2005006999000969
G2_narrow_gap,0.14019028282468307,0.07434712473134503,0.07494748188190282,0.8075055393563568
G3_far_outer,0.4815848527545424,0.2553989363245964,0.2548737986339538,-0.20561467412503198
G4_shifted,1.041547612244121,0.552364034659856,0.5480457331131342,-0.781785430577675
