a,seed,budget,w2_final,solved,dL_dw2_final,loss_final
1.25,0,2000,0.1345161497592926,False,0.005638563074171543,0.6846743226051331
1.25,1,2000,3.7140841484069824,False,-0.0019354773685336113,0.41653144359588623
1.25,2,2000,5.272712707519531,False,-0.00038832519203424454,0.37678980827331543
1.25,3,2000,3.2361056804656982,False,-0.004081877879798412,0.4134081304073334
1.25,4,2000,0.6782063841819763,False,1.471489667892456e-07,0.6931463479995728
1.25,5,2000,4.22374963760376,False,-0.0044988226145505905,0.41293439269065857
1.25,6,2000,0.7338951826095581,False,8.699717000126839e-06,0.693053126335144
1.25,7,2000,5.387142658233643,False,-0.0003077276051044464,0.3735488951206207
1.25,8,2000,0.6549157500267029,False,-7.310882210731506e-07,0.6931456923484802
1.25,9,2000,3.897718667984009,False,-0.001191072165966034,0.41169843077659607
1.25,10,2000,4.977720260620117,False,8.445931598544121e-05,0.3715941607952118
1.25,11,2000,0.5019962191581726,False,-5.287583917379379e-07,0.6928823590278625
1.25,12,2000,4.866057872772217,False,-0.0007268954068422318,0.38353538513183594
1.25,13,2000,0.5990753173828125,False,-3.2798852771520615e-05,0.6920004487037659
1.25,14,2000,0.5040199160575867,False,1.8971972167491913e-05,0.6931437849998474
1.25,15,2000,3.0303754806518555,False,-0.0025558946654200554,0.4324168264865875
1.25,16,2000,0.3255179524421692,False,5.512731149792671e-05,0.6931245923042297
1.25,17,2000,0.859085738658905,False,-4.866160452365875e-07,0.6931445598602295
1.25,18,2000,3.9064884185791016,False,0.0002397540956735611,0.4103691875934601
1.25,19,2000,4.493669033050537,False,-0.0050568170845508575,0.38625115156173706
1.25,20,2000,2.9077279567718506,False,-0.0027790535241365433,0.43853920698165894
1.25,21,2000,0.9839862585067749,False,6.105192005634308e-05,0.6925997734069824
1.25,22,2000,2.3116791248321533,False,0.0016282051801681519,0.46559393405914307
1.25,23,2000,3.063464879989624,False,0.0003300802782177925,0.4344271123409271
1.25,24,2000,3.4679741859436035,False,0.00410887598991394,0.4080948233604431
1.25,25,2000,1.6624757051467896,False,0.004554757848381996,0.47377678751945496
1.25,26,2000,0.3378886282444,False,0.0010398989543318748,0.6928871273994446
1.25,27,2000,2.9869844913482666,False,-0.0007609706372022629,0.40335068106651306
1.25,28,2000,3.257817268371582,False,-0.0018816441297531128,0.42346426844596863
1.25,29,2000,0.3531687557697296,False,-0.0001113060861825943,0.6930124163627625
1.35,0,2000,0.21763862669467926,False,-0.0022027643863111734,0.6920819282531738
1.35,1,2000,4.108510971069336,False,-0.002244042232632637,0.3412710428237915
1.35,2,2000,5.447360038757324,False,-0.00042611919343471527,0.29832202196121216
1.35,3,2000,3.648409128189087,False,-0.005068265832960606,0.34312233328819275
1.35,4,2000,0.673122227191925,False,1.5040859580039978e-07,0.6931463479995728
1.35,5,2000,4.531936168670654,False,-0.005158770829439163,0.3351283371448517
1.35,6,2000,0.7401086688041687,False,7.98562541604042e-06,0.6930534243583679
1.35,7,2000,5.490110397338867,False,-0.00037153251469135284,0.29653918743133545
1.35,8,2000,0.6476973295211792,False,-7.404014468193054e-07,0.6931456923484802
1.35,9,2000,4.285727500915527,False,-0.0013472549617290497,0.3350922465324402
1.35,10,2000,5.222546100616455,False,0.00011376803740859032,0.29458650946617126
1.35,11,2000,0.49608755111694336,False,1.978408545255661e-05,0.6928767561912537
1.35,12,2000,5.117188930511475,False,-0.0007969830185174942,0.30642756819725037
1.35,13,2000,0.5717988610267639,False,-6.824266165494919e-07,0.6919894218444824
1.35,14,2000,0.48736873269081116,False,2.584978938102722e-05,0.6931433081626892
1.35,15,2000,3.2707812786102295,False,-0.003082389011979103,0.3688189387321472
1.35,16,2000,0.3298337757587433,False,4.1315797716379166e-05,0.6931262016296387
1.35,17,2000,0.8492892980575562,False,-4.866160452365875e-07,0.6931444406509399
1.35,18,2000,4.288245677947998,False,0.000270206481218338,0.33462268114089966
1.35,19,2000,4.8004302978515625,False,-0.005598246119916439,0.3105892539024353
1.35,20,2000,3.2727394104003906,False,-0.0033882558345794678,0.3726331293582916
1.35,21,2000,0.9705258011817932,False,6.143515929579735e-05,0.692599356174469
1.35,22,2000,2.6408193111419678,False,0.002022450789809227,0.4061795771121979
1.35,23,2000,3.3725478649139404,False,0.0003277035430073738,0.36780694127082825
1.35,24,2000,3.6581056118011475,False,0.004843942821025848,0.3438902795314789
1.35,25,2000,1.8196476697921753,False,0.005778205581009388,0.431133508682251
1.35,26,2000,0.3665977120399475,False,0.0004572952166199684,0.693007230758667
1.35,27,2000,3.3140456676483154,False,-0.000965275801718235,0.342855840921402
1.35,28,2000,3.6413800716400146,False,-0.0022386983036994934,0.355652779340744
1.35,29,2000,0.34970879554748535,False,-0.0001124376431107521,0.6930120587348938
1.45,0,2000,0.2726348042488098,False,-0.0010002986527979374,0.6923226714134216
1.45,1,2000,4.331075191497803,False,-0.0024121347814798355,0.27374187111854553
1.45,2,2000,5.466699600219727,True,-0.00044814590364694595,0.2335425168275833
1.45,3,2000,3.9224495887756348,False,-0.005764558911323547,0.2775108814239502
1.45,4,2000,0.6684407591819763,False,1.4621764421463013e-07,0.6931463479995728
1.45,5,2000,4.6612348556518555,True,-0.005541185848414898,0.26797762513160706
1.45,6,2000,0.745353102684021,False,7.350579835474491e-06,0.6930537223815918
1.45,7,2000,5.46549129486084,True,-0.0004289662465453148,0.23312324285507202
1.45,8,2000,0.6408175230026245,False,-7.171183824539185e-07,0.6931455731391907
1.45,9,2000,4.492852687835693,False,-0.0014208173379302025,0.26727494597435
1.45,10,2000,5.293097019195557,True,8.467817679047585e-05,0.23021018505096436
1.45,11,2000,0.49000802636146545,False,4.5576016418635845e-05,0.6928703188896179
1.45,12,2000,5.196598052978516,True,-0.0008296733722090721,0.24147945642471313
1.45,13,2000,0.5456666946411133,False,4.064873792231083e-05,0.6919767260551453
1.45,14,2000,0.4702359139919281,False,3.8351863622665405e-05,0.6931427121162415
1.45,15,2000,3.378816843032837,False,-0.0034910179674625397,0.3113563060760498
1.45,16,2000,0.3382691442966461,False,2.1599233150482178e-05,0.6931291818618774
1.45,17,2000,0.8397777676582336,False,-4.7124922275543213e-07,0.6931444406509399
1.45,18,2000,4.49418830871582,False,0.00028280075639486313,0.2675127685070038
1.45,19,2000,4.9232072830200195,True,-0.005833905190229416,0.2461780309677124
1.45,20,2000,3.5207390785217285,False,-0.003807329572737217,0.3096848726272583
1.45,21,2000,0.9577722549438477,False,6.168754771351814e-05,0.6925988793373108
1.45,22,2000,2.896698474884033,False,0.002317240461707115,0.34653225541114807
1.45,23,2000,3.6095833778381348,False,0.00030878372490406036,0.30337265133857727
1.45,24,2000,3.7064883708953857,False,0.005407337099313736,0.2878086268901825
1.45,25,2000,1.9328724145889282,False,0.006911665201187134,0.3887391984462738
1.45,26,2000,0.3812998831272125,False,0.00028238166123628616,0.6930343508720398
1.45,27,2000,3.5363757610321045,False,-0.0011289557442069054,0.2856816053390503
1.45,28,2000,3.8869073390960693,False,-0.002463769167661667,0.2923099994659424
1.45,29,2000,0.3464124798774719,False,-0.00011336570605635643,0.6930117011070251
1.5,0,2000,0.28893810510635376,False,-0.0007731067016720772,0.692364513874054
1.5,1,2000,4.394019603729248,True,-0.0024578417651355267,0.24420066177845
1.5,2,2000,5.441926002502441,True,-0.0004543578252196312,0.2065075933933258
1.5,3,2000,4.01510763168335,False,-0.006012851372361183,0.2480657547712326
1.5,4,2000,0.6662501096725464,False,1.434236764907837e-07,0.6931463479995728
1.5,5,2000,4.681643009185791,True,-0.005657064728438854,0.2392142117023468
1.5,6,2000,0.7476645112037659,False,7.061287760734558e-06,0.6930539011955261
1.5,7,2000,5.425278186798096,True,-0.0004535694606602192,0.20664268732070923
1.5,8,2000,0.6374976634979248,False,-6.882473826408386e-07,0.6931455731391907
1.5,9,2000,4.547369956970215,True,-0.0014374004676938057,0.23786082863807678
1.5,10,2000,5.288018703460693,True,7.38995149731636e-05,0.2031802535057068
