w2,gap,solves,loss,w1,b1,b2,R_cert
2.0,-0.2978708200273932,False,0.4613609116925279,-0.9881399171414885,-2.289163154637643,5.67532262861331,0.0861017938777792
2.25,-0.2389738187095234,False,0.4498565330939159,-0.963247689675606,-2.315096667239482,6.46032135227906,0.0968645181125016
2.5,-0.1919447704820878,False,0.43889725696983567,-0.9422768650394872,-2.337014763458793,7.2458548646053815,0.10762724234722401
2.75,-0.15358705186295385,False,0.4283975907266562,0.9243331548649774,-2.355816860392921,8.031703645486907,0.11838996658194641
3.0,-0.1217481698055023,False,0.41829603990722036,0.9087815144333623,-2.372144758859884,8.817729385983942,0.1291526908166688
3.25,-0.09492814645360159,False,0.40854671714343005,0.8951573800583624,-2.386470004274819,9.603841426354625,0.1399154150513912
3.5,-0.07205098840113644,False,0.3991143319340567,-0.8831122572076314,-2.3991477338986615,10.389978446883953,0.15067813928611362
3.75,-0.05415399583552016,False,0.38997104807927757,-0.8723790527907908,-2.410451139279973,11.17609793048664,0.161440863520836
4.0,-0.040123024546359076,False,0.38109443002690624,0.8627492387050497,-2.4205942547895942,11.96216982063703,0.1722035877555584
4.25,-0.027812388783985398,False,0.3724660535356499,0.8540573672737414,-2.4297474620806687,12.748172556814453,0.18296631199028082
4.5,-0.016934380551361983,False,0.3640705375698029,0.8461703026830334,-2.438048305504577,13.534090514313338,0.1937290362250032
4.75,-0.007261626014750888,False,0.3558948523144299,0.8389795633792518,-2.445609204684442,14.319912303761823,0.2044917604597256
5.0,0.0013878842425412152,False,0.3479278134951697,0.8323957680722684,-2.4525230630635795,15.105629613547293,0.21525448469444802
5.25,0.009161530613192248,False,0.3401597056266983,-0.8263445358670137,-2.4588674182798558,15.89123640457329,0.2260172089291704
5.5,0.016179896888133705,False,0.33258199650265924,0.8207634115897081,-2.464707562024424,16.67672833925495,0.23677993316389281
5.75,0.022542574146808825,False,0.32518711755353297,-0.8155995268440032,-2.470098918683377,17.46210236962375,0.24754265739861522
6.0,0.028332522481075095,False,0.3179682926084195,0.8108077976067479,-2.475088882282298,18.24735643560849,0.2583053816333376
6.25,0.033619391217500016,False,0.3109194028001468,0.8063495188496467,-2.4797182517705343,19.03248924094211,0.26906810586806
6.5,0.038462076146149826,False,0.30403487885078523,0.8021912568855547,-2.484022364515868,19.817500084622885,0.2798308301027824
6.75,0.04291071040965555,False,0.2973096143719593,-0.7983039677122896,-2.4880320002837695,20.60238873270565,0.29059355433750483
7.0,0.04700822992113851,False,0.2907388954868291,0.7946622888400711,-2.4917741087110232,21.38715531975306,0.30135627857222724
7.25,0.05079161556495926,True,0.28431834326644567,-0.7912439656745206,-2.495272399637611,22.17180027235998,0.3121190028069496
7.5,0.0542928873188262,True,0.278043866326532,0.7880293832648656,-2.4985478258634806,22.956324249285323,0.322881727041672
7.75,0.05753990614063964,True,0.27191162155326154,0.7850011812947032,-2.501618980774327,23.740728094206634,0.3336444512763944
8.0,0.0605570255628054,True,0.26591798138650924,-0.7821439353828181,-2.5045024280422066,24.52501279815621,0.3444071755111168
8.25,0.06336562480732733,True,0.2600595064328003,0.7794438916138872,-2.5072129767126206,25.30917946944883,0.35516989974583923
8.5,0.0659845477740082,True,0.2543329224399292,0.776888744107748,-2.509763912065364,26.093229309452113,0.36593262398056164
8.75,0.06843046670364572,True,0.24873510086349085,0.7744674476224572,-2.5121671904197886,26.87716359294824,0.37669534821528405
9.0,0.07071818515001427,True,0.24326304240834776,0.772170058856247,-2.5144336043599496,27.660983652128106,0.3874580724500064
9.25,0.07286089173684074,True,0.23791386304684528,-0.7699876013992277,-2.5165729235480763,28.44469086347898,0.3982207966847288
9.5,0.07487037376403904,True,0.2326847821087108,-0.7679119502836135,-2.518594015279067,29.228286636990198,0.4089835209194512
9.75,0.07675719787068669,True,0.22757311211116396,-0.765935732861294,-2.520504948133628,30.011772407227408,0.41974624515417364
10.0,0.07853086352232452,True,0.2225762500563493,-0.764052243351736,-2.5223130814609576,30.795149625920704,0.43050896938889605
