window,a,Ghat_lo,Ghat_hi,w2_glob_lo,w2_glob_hi,w2_pop,U,C
V10,1.3,0.053434011795639336,0.053463212168524336,7.111575328712474,7.205148688300796,7.158362008506636,0.19125000000000003,0.21321888750000004
V10,1.5,0.10881350647791788,0.10887723450807073,3.5841138901184557,3.6300640681968974,3.607088979157677,0.19625,0.22851350000000004
V20,1.3,0.06777440659312983,0.06783984272556742,6.012594141123879,6.049481221744271,6.031037681434075,0.204375,0.22785155625
V20,1.5,0.13794446240473546,0.1380155886356459,3.0447035906936266,3.080950062011408,3.0628268263525174,0.21125000000000002,0.24597950000000005
V30,1.3,0.07820378938381278,0.0782735037900599,5.370583744205812,5.40255150458799,5.386567624396902,0.21062500000000003,0.23481949375000005
V30,1.5,0.15910836422543229,0.1592607892132948,2.733985746869168,2.7654108703963995,2.7496983086327837,0.21875000000000003,0.25471250000000006
V40,1.3,0.09364701812556353,0.0937155738326539,4.698494504224795,4.725190495726073,4.711842499975434,0.22062500000000004,0.24596819375000006
V40,1.5,0.19040943339327843,0.1905574987271231,2.3895874899234997,2.415846693109472,2.402717091516486,0.22875,0.26635650000000005
V50,1.3,0.1004153071874021,0.10047980744744386,3.9834564191840984,4.033249624423899,4.008353021803998,0.20124999999999998,0.2243675875
V50,1.5,0.20413854560871014,0.20427733508294235,2.0084398993705097,2.0574262383795463,2.0329330688750282,0.20750000000000002,0.24161300000000005
V60,1.3,0.11149182201837693,0.1115603777254673,3.722246102782288,3.7670924413700266,3.744669272076157,0.20875,0.2327291125
V60,1.5,0.22653862371199907,0.22668668904584374,1.8981310690165731,1.9422736520169586,1.920202360516766,0.2175,0.253257
V70,1.3,0.12102427305688623,0.12113619821614123,3.6356343143923073,3.6769483406922197,3.6562913275422635,0.22124999999999997,0.2466649875
V70,1.5,0.24579550857431887,0.24603932339379392,1.8714743921405468,1.9121586180566457,1.8918165050985962,0.23249999999999998,0.270723
V80,1.3,0.13190270142575722,0.13197494390289177,3.4116056391254963,3.449512368449113,3.4305590037873044,0.22624999999999998,0.2522393375
V80,1.5,0.26774070343876444,0.2678979469915941,1.7554297645576131,1.7927793340162859,1.7741045492869496,0.23750000000000002,0.27654500000000004
