group,n,frac_matching_init,frac_branch_plus
B45 free crossing,177,0.4971751412429379,0.5084745762711864
phase 2b crossing a=1.30,38,0.5526315789473685,0.5263157894736842
phase 2b crossing a=1.50,38,0.5526315789473685,0.5263157894736842
