a,seed,arm,placed_at,intervened_at,gap_at_intervention,lost_at,placed_final,gap_final,kept,solved_final,R_final
1.3,0,control,4050.0,,,,True,0.0811754877661674,,True,1.0222979753273531
1.3,1,control,2650.0,,,,True,0.081809752059057,,True,1.1840988663815863
1.3,2,control,1900.0,,,,True,0.0814575255141654,,True,1.270065911474255
1.3,3,control,3250.0,,,,True,0.0823972382814162,,True,1.1526403160017125
1.3,4,control,,,,,False,-0.0082935190900462,,False,0.0293979285691667
1.3,5,control,2450.0,,,,True,0.0819681488886083,,True,1.2287146334739654
1.3,6,control,4400.0,,,,True,0.0816893889025474,,True,1.0319048596121585
1.3,7,control,1900.0,,,,True,0.0813374961000317,,True,1.2711924593040334
1.3,8,control,,,,,False,-0.0105148319501205,,False,0.0315947311297491
1.3,9,control,2850.0,,,,True,0.0821834765333262,,True,1.192957990936086
1.3,10,control,2150.0,,,,True,0.0818983102576482,,True,1.2498882139382603
1.3,11,control,3900.0,,,,True,0.0830415096671108,,True,1.1230530207505631
1.3,12,control,2000.0,,,,True,0.0814308231951117,,True,1.2521128524447536
1.3,13,control,4350.0,,,,True,0.0825674649978345,,True,1.052552915602205
1.3,14,control,4650.0,,,,True,0.0815631509312226,,True,0.9987279065247682
1.3,15,control,2850.0,,,,True,0.0813246935106826,,True,1.16141274174747
1.3,16,control,3700.0,,,,True,0.0816132705333663,,True,1.14157072592283
1.3,17,control,,,,,False,-0.0110684651257138,,False,0.0421825848920314
1.3,18,control,2650.0,,,,True,0.0813834755538884,,True,1.189885335194443
1.3,19,control,2200.0,,,,True,0.0819250348595752,,True,1.2537082188310382
1.3,20,control,3400.0,,,,True,0.0822655668277136,,True,1.1277014943159849
1.3,21,control,8500.0,,,,True,0.0839521160564573,,True,0.631470575905478
1.3,22,control,3550.0,,,,True,0.0826019213080084,,True,1.067834340067105
1.3,23,control,2800.0,,,,True,0.081357209184802,,True,1.2089681917389128
1.3,24,control,2800.0,,,,True,0.0820627154508844,,True,1.2102582165225215
1.3,25,control,4350.0,,,,True,0.0820821470764689,,True,1.034891552525342
1.3,26,control,3250.0,,,,True,0.0823472917292682,,True,1.2002860167880491
1.3,27,control,3200.0,,,,True,0.0812298289063577,,True,1.1097740257850823
1.3,28,control,3150.0,,,,True,0.0824536634741481,,True,1.165070904232397
1.3,29,control,6850.0,,,,True,0.0827906731371266,,True,0.7887833573955126
1.3,30,control,2800.0,,,,True,0.0821928996091614,,True,1.186773603756666
1.3,31,control,2100.0,,,,True,0.0817112476366124,,True,1.2692491240038828
1.3,32,control,3050.0,,,,True,0.0818356015092449,,True,1.174738262857148
1.3,33,control,2550.0,,,,True,0.0818246052747526,,True,1.2162637840047146
1.3,34,control,2550.0,,,,True,0.0812624423046552,,True,1.172426691010358
1.3,35,control,3700.0,,,,True,0.0820957961523958,,True,1.077626361754591
1.3,36,control,2450.0,,,,True,0.0826759791682452,,True,1.2569695122389857
1.3,37,control,3650.0,,,,True,0.0814807852859069,,True,1.1102392920045834
1.3,38,control,2000.0,,,,True,0.0815409760395895,,True,1.2896206542091933
1.3,39,control,2150.0,,,,True,0.0816595228169938,,True,1.279755889413257
1.3,0,noise_floor,4050.0,4250.0,0.016773128529675,,True,0.0811756927897247,True,True,1.0222439977026625
1.3,1,noise_floor,2650.0,2850.0,0.0155052668032187,,True,0.0818096889142978,True,True,1.1840891091851276
1.3,2,noise_floor,1900.0,2100.0,0.018254358620461,,True,0.0814611140026384,True,True,1.2699720127061067
1.3,3,noise_floor,3250.0,3450.0,0.0128202064837861,,True,0.0823974708828667,True,True,1.152664501453144
1.3,4,noise_floor,,,,,False,-0.0082935190900462,,False,0.0293979285691667
1.3,5,noise_floor,2450.0,2650.0,0.013272775632267,,True,0.081968044047108,True,True,1.228771506017399
1.3,6,noise_floor,4400.0,4600.0,0.0224356657072815,,True,0.0816894679581179,True,True,1.0319201220671996
1.3,7,noise_floor,1900.0,2100.0,0.0151893851216731,,True,0.081337095604685,True,True,1.2711636958455523
1.3,8,noise_floor,,,,,False,-0.0105148319501205,,False,0.0315947311297491
1.3,9,noise_floor,2850.0,3050.0,0.01234117067913,,True,0.0821835476538774,True,True,1.1929980093119474
1.3,10,noise_floor,2150.0,2350.0,0.016140249045931,,True,0.0818982840795405,True,True,1.2498704873167923
1.3,11,noise_floor,3900.0,4100.0,0.016577400978933,,True,0.0830445811992848,True,True,1.1230655099667708
1.3,12,noise_floor,2000.0,2200.0,0.0180661047240655,,True,0.0814291558420552,True,True,1.2521285406252671
1.3,13,noise_floor,4350.0,4550.0,0.0146331387492479,,True,0.0825675495506894,True,True,1.0525752149575338
1.3,14,noise_floor,4650.0,4850.0,0.0191594008545319,,True,0.0815514229640297,True,True,0.998808512691513
1.3,15,noise_floor,2850.0,3050.0,0.0158033272197268,,True,0.08132443058222,True,True,1.1614177794342295
1.3,16,noise_floor,3700.0,3900.0,0.0210091322944472,,True,0.0816135153730357,True,True,1.1415667386967967
1.3,17,noise_floor,,,,,False,-0.0110684651257138,,False,0.0421825848920314
1.3,18,noise_floor,2650.0,2850.0,0.0154488656646836,,True,0.0813840092860243,True,True,1.1899027228373698
1.3,19,noise_floor,2200.0,2400.0,0.0177384011965067,,True,0.0819245678403617,True,True,1.2537304198942818
1.3,20,noise_floor,3400.0,3600.0,0.013452238008345,,True,0.0822655429360175,True,True,1.1277113763661049
1.3,21,noise_floor,8500.0,8700.0,0.0175675966590924,,True,0.0839521503716116,True,True,0.6314685481416351
1.3,22,noise_floor,3550.0,3750.0,0.0148721196421219,,True,0.0826026114292961,True,True,1.0678355926340166
1.3,23,noise_floor,2800.0,3000.0,0.0172933620280053,,True,0.0813571178437539,True,True,1.2089536868584212
1.3,24,noise_floor,2800.0,3000.0,0.0143799275241196,,True,0.0820627110683078,True,True,1.2102664730233386
1.3,25,noise_floor,4350.0,4550.0,0.0129217483998522,,True,0.0820808357635058,True,True,1.0348740519403192
1.3,26,noise_floor,3250.0,3450.0,0.0157652781116368,,True,0.082360301077399,True,True,1.2002018219997073
1.3,27,noise_floor,3200.0,3400.0,0.0134214225400253,,True,0.0812300415925784,True,True,1.1098035069067171
1.3,28,noise_floor,3150.0,3350.0,0.0105660928708943,,True,0.0824534511959296,True,True,1.165036429979591
1.3,29,noise_floor,6850.0,7050.0,0.0178163004272406,,True,0.0827906821926873,True,True,0.7887880373450291
1.3,30,noise_floor,2800.0,3000.0,0.0131960058314564,,True,0.0822000029092935,True,True,1.1867497993594989
1.3,31,noise_floor,2100.0,2300.0,0.0150600472846305,,True,0.0817109226988099,True,True,1.269205175959377
1.3,32,noise_floor,3050.0,3250.0,0.0137141144888199,,True,0.0818357502778908,True,True,1.174740032878514
1.3,33,noise_floor,2550.0,2750.0,0.0160655050210083,,True,0.0818244412791946,True,True,1.2162402429071328
1.3,34,noise_floor,2550.0,2750.0,0.0172432275487426,,True,0.0812620419535306,True,True,1.172440556598964
1.3,35,noise_floor,3700.0,3900.0,0.0138703881551682,,True,0.0820843237426642,True,True,1.077662912253204
1.3,36,noise_floor,2450.0,2650.0,0.0129830744416308,,True,0.0826762106973526,True,True,1.2570011784077235
1.3,37,noise_floor,3650.0,3850.0,0.0249330151441236,,True,0.0814804772331458,True,True,1.110243346379083
1.3,38,noise_floor,2000.0,2200.0,0.0145282622099132,,True,0.0815409543039815,True,True,1.2896333241368734
1.3,39,noise_floor,2150.0,2350.0,0.014784502523649,,True,0.0816596424594018,True,True,1.279777310513999
1.3,0,hold_low,4050.0,4250.0,0.016773128529675,4300.0,False,-0.0203216620235591,False,False,0.1822890908496071
