a,samples,w1_range,max_abs_err_data,max_abs_err_continuous
1.3,2000,"[-10, 10]",2.9091312692131055e-15,2.1184443088628768e-14
1.5,2000,"[-10, 10]",3.2721221565612524e-15,2.343264471349471e-14
