q,a,budget,seed,w2,solved,ghat_certified,R
2.0,1.05,2000,0,0.8763349652290344,False,0.0044705921857406,0.001958868123822091
2.0,1.05,2000,1,9.42836093902588,False,0.0044705921857406,0.021075178369175503
2.0,1.05,2000,2,10.9348726272583,False,0.0044705921857406,0.02444267805974487
2.0,1.05,2000,3,8.25265121459961,False,0.0044705921857406,0.018447119015815843
2.0,1.05,2000,4,1.3588019609451294,False,0.0044705921857406,0.0030373247142851494
2.0,1.05,2000,5,0.3622246980667114,False,0.0044705921857406,0.0008096794523296441
2.0,1.05,2000,6,11.683677673339844,False,0.0044705921857406,0.02611647905357251
2.0,1.05,2000,7,0.6270037293434143,False,0.0044705921857406,0.001401538986416441
2.0,1.05,2000,8,11.010089874267578,False,0.0044705921857406,0.02461081087810117
2.0,1.05,2000,9,9.362370491027832,False,0.0044705921857406,0.020927670178598704
2.0,1.05,2000,10,10.231517791748049,False,0.0044705921857406,0.02287047174402737
2.0,1.05,2000,11,10.866494178771973,False,0.0044705921857406,0.02428983198100685
2.0,1.05,2000,12,9.644670486450195,False,0.0044705921857406,0.021558694255383617
2.0,1.05,2000,13,9.389618873596191,False,0.0044705921857406,0.020988578381690794
2.0,1.05,2000,14,0.8633797764778137,False,0.0044705921857406,0.00192990944102409
2.0,1.05,2000,15,0.2993849813938141,False,0.0044705921857406,0.0006692140791736401
2.0,1.05,2000,16,10.297876358032228,False,0.0044705921857406,0.023018802787970874
2.0,1.05,2000,17,10.57408618927002,False,0.0044705921857406,0.023636213544549072
2.0,1.05,2000,18,10.802932739257812,False,0.0044705921857406,0.024147753343603636
2.0,1.05,2000,19,7.780956268310547,False,0.0044705921857406,0.017392741145349236
2.0,1.05,8000,0,1.4751214981079102,False,0.0044705921857406,0.003297333321229595
2.0,1.05,8000,1,52.4870719909668,False,0.0044705921857406,0.11732414694761023
2.0,1.05,8000,2,58.3197135925293,False,0.0044705921857406,0.13036182793069565
2.0,1.05,8000,3,48.703861236572266,False,0.0044705921857406,0.10886755072980724
2.0,1.05,8000,4,1.3426954746246338,False,0.0044705921857406,0.0030013219483430767
2.0,1.05,8000,5,0.3622282743453979,False,0.0044705921857406,0.000809687446371419
2.0,1.05,8000,6,58.89283752441406,False,0.0044705921857406,0.13164292961636814
2.0,1.05,8000,7,0.6211695671081543,False,0.0044705921857406,0.0013884979063667929
2.0,1.05,8000,8,57.18464279174805,False,0.0044705921857406,0.12782460860457817
2.0,1.05,8000,9,51.73828125,False,0.0044705921857406,0.1156503779299497
2.0,1.05,8000,10,54.06645584106445,False,0.0044705921857406,0.12085453749687597
2.0,1.05,8000,11,57.09334945678711,False,0.0044705921857406,0.12762054096963488
2.0,1.05,8000,12,53.53652572631836,False,0.0044705921857406,0.11966998678188973
2.0,1.05,8000,13,51.2111701965332,False,0.0044705921857406,0.11447212865162662
2.0,1.05,8000,14,0.8571930527687073,False,0.0044705921857406,0.0019160802816894562
2.0,1.05,8000,15,37.292232513427734,False,0.0044705921857406,0.08335918163167577
2.0,1.05,8000,16,55.094581604003906,False,0.0044705921857406,0.12315270299775383
2.0,1.05,8000,17,55.83095169067383,False,0.0044705921857406,0.12479870817539367
2.0,1.05,8000,18,56.990386962890625,False,0.0044705921857406,0.1273903893093159
2.0,1.05,8000,19,44.3543701171875,False,0.0044705921857406,0.09914515022467241
2.0,1.05,32000,0,1.2929877042770386,False,0.0044705921857406,0.002890210363499803
2.0,1.05,32000,1,280.63470458984375,True,0.0044705921857406,0.6273016586934885
2.0,1.05,32000,2,286.6629943847656,True,0.0044705921857406,0.6407766713187674
2.0,1.05,32000,3,276.6024475097656,True,0.0044705921857406,0.6182883701969413
2.0,1.05,32000,4,225.24656677246097,True,0.0044705921857406,0.5034927706389312
2.0,1.05,32000,5,0.321876585483551,False,0.0044705921857406,0.0007194894739178147
2.0,1.05,32000,6,287.3357238769531,True,0.0044705921857406,0.6422804209242127
2.0,1.05,32000,7,0.4693460464477539,False,0.0044705921857406,0.0010491273838287866
2.0,1.05,32000,8,285.4747314453125,True,0.0044705921857406,0.6381205518129052
2.0,1.05,32000,9,279.83740234375,True,0.0044705921857406,0.6255194520979585
2.0,1.05,32000,10,282.4154052734375,True,0.0044705921857406,0.6312820519740971
2.0,1.05,32000,11,285.4978332519531,True,0.0044705921857406,0.6381721911910272
2.0,1.05,32000,12,281.9792175292969,True,0.0044705921857406,0.6303070432138617
2.0,1.05,32000,13,279.48822021484375,True,0.0044705921857406,0.6247389266495142
2.0,1.05,32000,14,0.7000921368598938,False,0.0044705921857406,0.0015649132181721399
2.0,1.05,32000,15,264.525634765625,True,0.0044705921857406,0.5912931178556375
2.0,1.05,32000,16,283.2691650390625,True,0.0044705921857406,0.6331904578424485
2.0,1.05,32000,17,283.987548828125,True,0.0044705921857406,0.6347962583193213
2.0,1.05,32000,18,285.57965087890625,True,0.0044705921857406,0.6383550778128835
2.0,1.05,32000,19,271.9591369628906,True,0.0044705921857406,0.6079091962735281
2.0,1.1,2000,0,4.699821949005127,False,0.0123540128716814,0.02903083042631005
2.0,1.1,2000,1,11.322013854980469,False,0.0123540128716814,0.06993615244889193
2.0,1.1,2000,2,13.366022109985352,False,0.0123540128716814,0.08256200459496861
2.0,1.1,2000,3,10.121213912963867,False,0.0123540128716814,0.06251880347889824
2.0,1.1,2000,4,1.4735759496688845,False,0.0123540128716814,0.00910228812480477
2.0,1.1,2000,5,0.3664972484111786,False,0.0123540128716814,0.002263855862153758
2.0,1.1,2000,6,13.851268768310549,False,0.0123540128716814,0.08555937632641354
2.0,1.1,2000,7,0.6311568021774292,False,0.0123540128716814,0.003898659629074616
2.0,1.1,2000,8,13.218106269836426,False,0.0123540128716814,0.0816483274984059
2.0,1.1,2000,9,11.197874069213867,False,0.0123540128716814,0.06916934019326774
2.0,1.1,2000,10,12.230840682983398,False,0.0123540128716814,0.07554998161453072
2.0,1.1,2000,11,13.17224407196045,False,0.0123540128716814,0.0813650364069642
2.0,1.1,2000,12,11.83091163635254,False,0.0123540128716814,0.07307961731961227
2.0,1.1,2000,13,11.35407257080078,False,0.0123540128716814,0.07013417934283878
2.0,1.1,2000,14,0.8935056328773499,False,0.0123540128716814,0.005519190044743307
2.0,1.1,2000,15,4.337199687957764,False,0.0123540128716814,0.02679091038604138
2.0,1.1,2000,16,12.392707824707031,False,0.0123540128716814,0.07654983599070873
2.0,1.1,2000,17,12.674561500549316,False,0.0123540128716814,0.07829084796035189
2.0,1.1,2000,18,12.92889404296875,False,0.0123540128716814,0.07986186171172045
2.0,1.1,2000,19,9.342564582824709,False,0.0123540128716814,0.05770908155536561
2.0,1.1,8000,0,60.61437225341797,True,0.0123540128716814,0.3744153675138067
2.0,1.1,8000,1,57.96516036987305,True,0.0123540128716814,0.3580511686592441
2.0,1.1,8000,2,62.5734977722168,True,0.0123540128716814,0.38651689845204684
2.0,1.1,8000,3,55.37522888183594,True,0.0123540128716814,0.3420531451892524
2.0,1.1,8000,4,1.4657087326049805,False,0.0123540128716814,0.00905369227436888
2.0,1.1,8000,5,0.3664316534996032,False,0.0123540128716814,0.0022634506819627985
2.0,1.1,8000,6,62.84687042236328,True,0.0123540128716814,0.3882055230713845
2.0,1.1,8000,7,0.6337448358535767,False,0.0123540128716814,0.003914645929748351
2.0,1.1,8000,8,61.69133377075195,True,0.0123540128716814,0.38106776573753154
2.0,1.1,8000,9,57.43563461303711,True,0.0123540128716814,0.3547802846513251
2.0,1.1,8000,10,59.496925354003906,True,0.0123540128716814,0.36751289082441585
2.0,1.1,8000,11,61.77544021606445,True,0.0123540128716814,0.3815872917915225
2.0,1.1,8000,12,59.24545669555664,True,0.0123540128716814,0.36595956730277485
2.0,1.1,8000,13,57.51547622680664,True,0.0123540128716814,0.3552734668134274
2.0,1.1,8000,14,0.8879101276397705,False,0.0123540128716814,0.005484626572879
2.0,1.1,8000,15,55.06465530395508,True,0.0123540128716814,0.3401347301998803
2.0,1.1,8000,16,60.07586288452149,True,0.0123540128716814,0.3710889916763727
2.0,1.1,8000,17,60.562408447265625,True,0.0123540128716814,0.37409438674877293
2.0,1.1,8000,18,61.39393997192383,True,0.0123540128716814,0.3792307623281911
2.0,1.1,8000,19,52.13741683959961,False,0.0123540128716814,0.32205315936631607
2.0,1.1,32000,0,273.1301574707031,True,0.0123540128716814,1.6871267405187171
2.0,1.1,32000,1,269.1942443847656,True,0.0123540128716814,1.6628145800559715
2.0,1.1,32000,2,274.0423583984375,True,0.0123540128716814,1.6927614115201122
2.0,1.1,32000,3,265.62176513671875,True,0.0123540128716814,1.6407473527488785
2.0,1.1,32000,4,212.55612182617188,True,0.0123540128716814,1.3129605324976035
2.0,1.1,32000,5,0.3180601596832275,False,0.0123540128716814,0.001964659653347817
2.0,1.1,32000,6,273.8719177246094,True,0.0123540128716814,1.6917085983809468
2.0,1.1,32000,7,0.4613141417503357,False,0.0123540128716814,0.0028495404225361526
2.0,1.1,32000,8,272.745361328125,True,0.0123540128716814,1.6847498522695252
2.0,1.1,32000,9,268.3490295410156,True,0.0123540128716814,1.6575936825264597
2.0,1.1,32000,10,270.3402404785156,True,0.0123540128716814,1.6698934053025136
2.0,1.1,32000,11,272.6663513183594,True,0.0123540128716814,1.6842618069307072
2.0,1.1,32000,12,270.99700927734375,True,0.0123540128716814,1.6739502703997342
2.0,1.1,32000,13,269.4971008300781,True,0.0123540128716814,1.6646853262678025
2.0,1.1,32000,14,0.7122881412506104,False,0.0123540128716814,0.0043998084326780295
2.0,1.1,32000,15,266.1827087402344,True,0.0123540128716814,1.6442123049979382
2.0,1.1,32000,16,270.8663635253906,True,0.0123540128716814,1.6731432707491045
2.0,1.1,32000,17,271.0443115234375,True,0.0123540128716814,1.674242456678285
2.0,1.1,32000,18,273.5036926269531,True,0.0123540128716814,1.689434069582886
2.0,1.1,32000,19,263.5577392578125,True,0.0123540128716814,1.6279978516111329
2.0,1.15,2000,0,1.8816930055618288,False,0.0221968312168813,0.020883811023221
2.0,1.15,2000,1,12.47093105316162,False,0.0221968312168813,0.13840757585219612
2.0,1.15,2000,2,14.575417518615724,False,0.0221968312168813,0.16176404128814406
2.0,1.15,2000,3,11.405393600463867,False,0.0221968312168813,0.1265817983557973
2.0,1.15,2000,4,1.4418981075286863,False,0.0221968312168813,0.016002784462377406
2.0,1.15,2000,5,0.3707043528556824,False,0.0221968312168813,0.004114230975850396
2.0,1.15,2000,6,14.943180084228516,False,0.0221968312168813,0.16584562308654124
2.0,1.15,2000,7,0.5487829446792603,False,0.0221968312168813,0.006090621198874324
2.0,1.15,2000,8,14.399395942687988,False,0.0221968312168813,0.15981048068244535
2.0,1.15,2000,9,12.343485832214355,False,0.0221968312168813,0.13699313582281383
2.0,1.15,2000,10,13.543231010437012,False,0.0221968312168813,0.15030840643495158
2.0,1.15,2000,11,14.413418769836426,False,0.0221968312168813,0.15996611184614404
2.0,1.15,2000,12,13.093181610107422,False,0.0221968312168813,0.1453135711457643
2.0,1.15,2000,13,12.653825759887695,False,0.0221968312168813,0.140437417320026
2.0,1.15,2000,14,0.9193346500396729,False,0.0221968312168813,0.010203158029380629
2.0,1.15,2000,15,10.501931190490724,False,0.0221968312168813,0.11655479704331197
2.0,1.15,2000,16,13.588446617126465,False,0.0221968312168813,0.15081022802997893
2.0,1.15,2000,17,13.827594757080078,False,0.0221968312168813,0.15346439347916965
2.0,1.15,2000,18,14.05054759979248,False,0.0221968312168813,0.1559388167886752
2.0,1.15,2000,19,10.573527336120604,False,0.0221968312168813,0.11734940082347481
2.0,1.15,8000,0,1.7932515144348145,False,0.0221968312168813,0.01990225059766318
2.0,1.15,8000,1,57.37342834472656,True,0.0221968312168813,0.6367541526508645
2.0,1.15,8000,2,61.072242736816406,True,0.0221968312168813,0.6778051320327594
2.0,1.15,8000,3,55.48857498168945,True,0.0221968312168813,0.6158352666669116
2.0,1.15,8000,4,1.4287630319595337,False,0.0221968312168813,0.015857005934662678
2.0,1.15,8000,5,0.3707067668437958,False,0.0221968312168813,0.0041142577672937525
2.0,1.15,8000,6,61.261993408203125,True,0.0221968312168813,0.6799110638457898
2.0,1.15,8000,7,0.5540615916252136,False,0.0221968312168813,0.00614920581653074
2.0,1.15,8000,8,60.42237091064453,True,0.0221968312168813,0.6705925844136876
2.0,1.15,8000,9,57.00186920166016,True,0.0221968312168813,0.6326304348579975
2.0,1.15,8000,10,59.03929901123047,True,0.0221968312168813,0.6552426776576349
2.0,1.15,8000,11,60.565223693847656,True,0.0221968312168813,0.6721780239724984
2.0,1.15,8000,12,58.609710693359375,True,0.0221968312168813,0.6504749279653705
2.0,1.15,8000,13,57.4770393371582,True,0.0221968312168813,0.6379040705064739
2.0,1.15,8000,14,0.9140043258666992,False,0.0221968312168813,0.01014399987638125
2.0,1.15,8000,15,58.033180236816406,True,0.0221968312168813,0.6440763533477327
2.0,1.15,8000,16,59.06461334228515,True,0.0221968312168813,0.6555236266245295
2.0,1.15,8000,17,59.37974166870117,True,0.0221968312168813,0.6590210517610867
2.0,1.15,8000,18,60.15145111083984,True,0.0221968312168813,0.6675858038788995
2.0,1.15,8000,19,53.2975959777832,True,0.0221968312168813,0.5915188710921927
2.0,1.15,32000,0,1.4936802387237549,False,0.0221968312168813,0.016577484075471077
2.0,1.15,32000,1,253.18797302246097,True,0.0221968312168813,2.8099853516619313
2.0,1.15,32000,2,256.8572082519531,True,0.0221968312168813,2.850708049203967
2.0,1.15,32000,3,249.48263549804688,True,0.0221968312168813,2.768861975846433
2.0,1.15,32000,4,192.7124481201172,True,0.0221968312168813,2.138802842157118
2.0,1.15,32000,5,0.3202352523803711,False,0.0221968312168813,0.0035541039233912414
2.0,1.15,32000,6,256.20745849609375,True,0.0221968312168813,2.843496856371957
2.0,1.15,32000,7,0.3689731061458587,False,0.0221968312168813,0.004095016880344028
2.0,1.15,32000,8,255.31948852539065,True,0.0221968312168813,2.833641796589279
2.0,1.15,32000,9,251.76795959472656,True,0.0221968312168813,2.7942254524713683
2.0,1.15,32000,10,253.26470947265625,True,0.0221968312168813,2.8108370046785147
2.0,1.15,32000,11,255.19268798828125,True,0.0221968312168813,2.8322345115290655
2.0,1.15,32000,12,254.96316528320312,True,0.0221968312168813,2.829687173156535
2.0,1.15,32000,13,254.39244079589844,True,0.0221968312168813,2.8233530355985135
2.0,1.15,32000,14,0.7204585075378418,False,0.0221968312168813,0.00799594794529184
2.0,1.15,32000,15,254.0499725341797,True,0.0221968312168813,2.8195521804972583
2.0,1.15,32000,16,254.46791076660156,True,0.0221968312168813,2.8241906326993336
2.0,1.15,32000,17,253.56947326660156,True,0.0221968312168813,2.814219399926125
2.0,1.15,32000,18,256.8914794921875,True,0.0221968312168813,2.851088405671505
2.0,1.15,32000,19,248.758544921875,True,0.0221968312168813,2.760825717693922
2.0,1.25,2000,0,1.8420541286468504,False,0.0458065661373445,0.04218908713621522
2.0,1.25,2000,1,13.377081871032717,True,0.0458065661373445,0.3063790927250661
2.0,1.25,2000,2,15.281249046325684,True,0.0458065661373445,0.34999077255087496
2.0,1.25,2000,3,12.620503425598145,True,0.0458065661373445,0.2890509624256221
2.0,1.25,2000,4,1.399832248687744,False,0.0458065661373445,0.0320607542403514
2.0,1.25,2000,5,0.3785917162895202,False,0.0458065661373445,0.008670993245633335
2.0,1.25,2000,6,15.556333541870115,True,0.0458065661373445,0.356291110620132
2.0,1.25,2000,7,0.245032399892807,False,0.0458065661373445,0.005612046415741054
2.0,1.25,2000,8,15.135347366333008,True,0.0458065661373445,0.3466491450738079
2.0,1.25,2000,9,13.279565811157228,False,0.0458065661373445,0.3041456548019962
2.0,1.25,2000,10,15.242591857910156,True,0.0458065661373445,0.34910539602195517
2.0,1.25,2000,11,15.208991050720217,True,0.0458065661373445,0.3483358272235481
2.0,1.25,2000,12,14.058338165283203,True,0.0458065661373445,0.3219820984745997
2.0,1.25,2000,13,13.806315422058104,False,0.0458065661373445,0.3162099502467719
2.0,1.25,2000,14,0.9617379307746888,False,0.0458065661373445,0.022026956066411814
2.0,1.25,2000,15,14.010973930358888,True,0.0458065661373445,0.320897301994797
2.0,1.25,2000,16,14.433403968811035,True,0.0458065661373445,0.3305723367421766
2.0,1.25,2000,17,1.2166346311569214,False,0.0458065661373445,0.027864927348536624
2.0,1.25,2000,18,14.745672225952148,True,0.0458065661373445,0.3377243050288405
2.0,1.25,2000,19,11.995391845703123,False,0.0458065661373445,0.2747338549617815
2.0,1.25,8000,0,1.6294209957122805,False,0.0458065661373445,0.03731909030283615
2.0,1.25,8000,1,50.923240661621094,True,0.0458065661373445,1.1663093956472286
2.0,1.25,8000,2,53.68186569213867,True,0.0458065661373445,1.2294909656014974
2.0,1.25,8000,3,49.60493850708008,True,0.0458065661373445,1.1361159482317351
2.0,1.25,8000,4,1.3752520084381104,False,0.0458065661373445,0.03149778604001808
2.0,1.25,8000,5,0.378591388463974,False,0.0458065661373445,0.008670985737352054
2.0,1.25,8000,6,53.67827224731445,True,0.0458065661373445,1.2294086639174966
2.0,1.25,8000,7,0.2452982813119888,False,0.0458065661373445,0.005618135973147275
2.0,1.25,8000,8,53.18003845214844,True,0.0458065661373445,1.2179974742724304
2.0,1.25,8000,9,50.674461364746094,True,0.0458065661373445,1.1606115329892752
