A,dmu_max_search,one_minus_max,ladder_500,ladder_ok,independent_max,independent_ok,analytic_single,analytic_pair,analytic_attain,search_not_above_analytic,n_maximisers,maximisers_on_boundary,min_max_abs_alpha_over_A,G_range_single,G_range_pair,selected_source,selected_type,selected_t,selected_var,selected_G_lo,selected_G_hi,selected_G_n,top
5.0,0.9677930348298259,0.03220696517017407,0.9677930348298259,True,0.967793034829826,True,0.9677930348298257,0.9677930348298258,True,True,1566,True,0.9999999999936694,"(-0.2380676546222541, -0.23806763675648857)","(-0.23806909299674106, 0.7615939333459172)",analytic_pair,pair,0.5,0.23489447703799823,0.7615939333459172,0.7615939333459172,0.7615939333459176,0.9677930348298259
10.0,0.9976486557539808,0.002351344246019238,0.9976486557539808,True,0.9976486557539809,True,0.9976486557539804,0.9976486557539803,True,True,1400,True,0.9999999997785048,"(-0.035929034079736355, -0.03592901661107906)","(-0.03592903624289778, 0.96402755434038)",analytic_pair,pair,0.5,0.24883535188872016,0.96402755434038,0.96402755434038,0.9640275543403802,0.9976486557539808
20.0,0.9999773941295962,2.2605870403813455e-05,0.9999773941295962,True,0.9999773941295963,True,0.999977394129596,0.999977394129596,True,True,1238,True,0.9999999999999873,"(-0.0006699251647227511, -0.000669923686023477)","(-0.0006699253669731897, 0.9993292992891157)",analytic_pair,pair,0.5,0.24998869911195298,0.9993292992891157,0.9993292992891157,0.9993292992891157,0.9999773941295962
40.0,0.9999999959037197,4.0962803149469096e-09,0.9999999959037197,True,0.9999999959037198,True,0.9999999959037195,0.9999999959037195,True,True,1107,False,0.9908317637737568,"(-2.897471081952929e-07, -2.0639357301011074e-07)","(-4.0400055412170843e-07, 0.9999997749295498)",analytic_pair,pair,0.5,0.2499999979518599,0.9999997749295498,0.9999997749295498,0.9999997749295498,0.9999999959037197
