split,median,half,variant,n_checkpoints,x10,x50,x90,width_10_90
first-placement step,2739.0,below median,preserved,89,0.9310526315789474,1.0535714285714286,1.200625,0.2695723684210527
first-placement step,2739.0,below median,reset,89,0.9327777777777778,1.0546511627906978,1.200625,0.26784722222222224
first-placement step,2739.0,above median,preserved,88,0.9628571428571429,1.0833333333333335,1.2327272727272727,0.2698701298701298
first-placement step,2739.0,above median,reset,88,0.9676923076923077,1.0837837837837838,1.2327272727272727,0.26503496503496493
G at placement,3.9942109570034745e-05,below median,preserved,89,0.9421428571428572,1.0833333333333335,1.2254166666666666,0.28327380952380943
G at placement,3.9942109570034745e-05,below median,reset,89,0.9453846153846154,1.0838235294117649,1.2254166666666666,0.2800320512820512
G at placement,3.9942109570034745e-05,above median,preserved,88,0.9463157894736842,1.0555555555555556,1.2085714285714286,0.2622556390977444
G at placement,3.9942109570034745e-05,above median,reset,88,0.9488888888888889,1.056521739130435,1.2085714285714286,0.25968253968253974
