a,seed,w2_lo,w2_hi,evals,note,Ghat_cert,w2_own,R_own,w2_pop,own_over_pop
1.3,0,4.7375,4.74375,8,,0.0861017938777792,4.740625,0.2040881583009235,4.956250000000001,0.9564943253467841
1.3,1,5.1,5.10625,7,,0.0861017938777792,5.103125,0.21969410844127102,4.956250000000001,1.0296343001261032
1.3,2,4.88125,4.8875,6,,0.0861017938777792,4.884375,0.21027672473588893,4.956250000000001,0.985498108448928
1.3,3,5.7875,5.79375,14,,0.0861017938777792,5.790625,0.24929160008675763,4.956250000000001,1.1683480453972257
1.3,4,4.34375,4.35,12,,0.0861017938777792,4.346875,0.18713686763123574,4.956250000000001,0.8770491803278687
1.3,5,4.83125,4.8375,7,,0.0861017938777792,4.834375,0.2081241798889444,4.956250000000001,0.9754098360655735
1.3,6,4.68125,4.6875,8,,0.0861017938777792,4.684375,0.201666545348111,4.956250000000001,0.9451450189155106
1.3,7,5.025,5.03125,6,,0.0861017938777792,5.028125,0.2164652911708543,4.956250000000001,1.0145018915510717
1.3,8,4.86875,4.875,6,,0.0861017938777792,4.871875,0.20973858852415278,4.956250000000001,0.9829760403530894
1.3,9,5.78125,5.7875,14,,0.0861017938777792,5.784375,0.24902253198088953,4.956250000000001,1.1670870113493061
1.3,10,5.23125,5.2375,8,,0.0861017938777792,5.234375,0.22534453866450027,4.956250000000001,1.0561160151324085
1.3,11,5.40625,5.4125,10,,0.0861017938777792,5.409375,0.23287844562880594,4.956250000000001,1.0914249684741486
1.3,12,4.7375,4.74375,8,,0.0861017938777792,4.740625,0.2040881583009235,4.956250000000001,0.9564943253467841
1.3,13,5.65625,5.6625,13,,0.0861017938777792,5.659375,0.24364116986352835,4.956250000000001,1.1418663303909204
1.3,14,4.725,4.73125,8,,0.0861017938777792,4.728125,0.20355002208918743,4.956250000000001,0.9539722572509457
1.3,15,4.975,4.98125,6,,0.0861017938777792,4.978125,0.21431274632390981,4.956250000000001,1.0044136191677175
1.3,16,4.7625,4.76875,7,,0.0861017938777792,4.765625,0.20516443072439577,4.956250000000001,0.9615384615384615
1.3,17,5.24375,5.25,8,,0.0861017938777792,5.246875,0.2258826748762364,4.956250000000001,1.0586380832282472
1.3,18,5.2625,5.26875,9,,0.0861017938777792,5.265625,0.22668987919384057,4.956250000000001,1.062421185372005
1.3,19,4.91875,4.925,6,,0.0861017938777792,4.921875,0.21189113337109727,4.956250000000001,0.9930643127364437
1.3,20,5.59375,5.6,12,,0.0861017938777792,5.596875,0.24095048880484773,4.956250000000001,1.1292559899117274
1.3,21,5.41875,5.425,10,,0.0861017938777792,5.421875,0.23341658184054206,4.956250000000001,1.0939470365699873
1.3,22,4.95,4.95625,6,,0.0861017938777792,4.953125,0.21323647390043757,4.956250000000001,0.9993694829760402
1.3,23,5.45625,5.4625,11,,0.0861017938777792,5.459375,0.2350309904757504,4.956250000000001,1.101513240857503
1.3,24,5.5625,5.56875,12,,0.0861017938777792,5.565625,0.23960514827550744,4.956250000000001,1.122950819672131
1.3,25,5.7875,5.79375,14,,0.0861017938777792,5.790625,0.24929160008675763,4.956250000000001,1.1683480453972257
1.3,26,5.50625,5.5125,11,,0.0861017938777792,5.509375,0.23718353532269493,4.956250000000001,1.1116015132408574
1.3,27,5.14375,5.15,7,,0.0861017938777792,5.146875,0.2215775851823474,4.956250000000001,1.0384615384615383
1.3,28,5.7375,5.74375,13,,0.0861017938777792,5.740625,0.2471390552398131,4.956250000000001,1.158259773013871
1.3,29,5.15,5.15625,7,,0.0861017938777792,5.153125,0.22184665328821548,4.956250000000001,1.0397225725094577
1.3,30,5.48125,5.4875,11,,0.0861017938777792,5.484375,0.23610726289922268,4.956250000000001,1.1065573770491801
1.3,31,5.375,5.38125,10,,0.0861017938777792,5.378125,0.23153310509946565,4.956250000000001,1.0851197982345522
1.3,32,4.55,4.55625,10,,0.0861017938777792,4.553125,0.1960161151248817,4.956250000000001,0.9186633039092054
1.3,33,5.38125,5.3875,10,,0.0861017938777792,5.384375,0.23180217320533372,4.956250000000001,1.0863808322824715
1.3,34,4.65,4.65625,9,,0.0861017938777792,4.653125,0.2003212048187707,4.956250000000001,0.9388398486759142
1.3,35,5.2625,5.26875,9,,0.0861017938777792,5.265625,0.22668987919384057,4.956250000000001,1.062421185372005
1.3,36,6.05625,6.0625,17,,0.0861017938777792,6.059375,0.2608615286390842,4.956250000000001,1.2225725094577553
1.3,37,4.85625,4.8625,6,,0.0861017938777792,4.859375,0.20920045231241666,4.956250000000001,0.9804539722572508
