A,region,b2_validated,margin_lo,margin_hi,certified_sign,hess_lambda_min_lo,dmargin_dA_lo,dmargin_dA_hi,encl,A_solve_lo,A_solve_hi,R_solve_inf_lo,R_solve_inf_hi
1.05875,+,True,-0.0005433202706828956,-0.00045908937308012835,fails,0.13694208604739747,0.5324260721958063,0.5357649560781426,"(1.577768325805664, 1.577779769897461, 1.2754998385092187, 1.2755112721246669)",1.05875,1.06,0.30674895145125003,0.30711111078000003
1.06,+,True,0.00013202938450106782,0.00020229405843422393,solves,0.13691333489354074,0.5325395502763857,0.5353232976046948,"(1.5775604248046875, 1.5775699615478516, 1.2752883166234346, 1.275297844636308)",1.05875,1.06,0.30674895145125003,0.30711111078000003
