file,width_in,height_in
results/figures/v4/v4_cond_candidates.pdf,5.366,2.986
results/figures/v4/v4_decomposition.pdf,5.287,2.349
results/figures/v4/v4_fixed_scale.pdf,5.366,2.991
results/figures/v4/v4_mirror_branches.pdf,5.407,2.771
results/figures/v4/v4_prospective.pdf,5.288,2.699
results/figures/v4/v4_prospective_own.pdf,5.379,3.096
results/figures/v4/v4_thresholds.pdf,5.338,3.123
