alpha,n,solved,gstar_box,gnorm,auc_R_B,auc_prod,auc_w2,auc_w1,unsolved_max_prod,solved_min_prod,band_runs
-1.0,200,113,3.1195979899497495,0.4,1.0,1.0,1.0,1.0,0.29521852508237245,7.258799479477602,2
-0.5,200,111,1.5999999999999996,0.2,1.0,1.0,1.0,1.0,0.5904362625200683,11.251715148713402,2
-0.25,200,116,0.7999999999999998,0.1,1.0,1.0,1.0,1.0,1.18087142510808,19.64793904790031,2
-0.1,200,119,0.3200000000000003,0.04000000000000001,1.0,1.0,1.0,1.0,2.7937459044509727,43.44491732245501,2
-0.05,200,119,0.1600000000000001,0.020000000000000004,0.9829857869073555,0.9829857869073555,0.9776947816163503,0.9874468305840854,109.2876138103602,69.12011438680202,69
