a,arm,n_crossed,median_residual,control_minus_arm_ci_lo,control_minus_arm_ci_hi,sufficient,verdict
1.3,control,48.0,0.031053051786022468,,,True,
1.3,teleport,48.0,0.03078724324826998,-0.0005239491827178089,0.00048754173405374246,True,
1.3,reset,48.0,0.031483794499092776,-0.0016131706347133484,0.0001536405315503142,True,
1.3,teleport_reset,48.0,0.031222352635970285,-0.0013778614506994025,0.0003568456858705771,True,
1.3,VERDICT,,,,,,competing: neither removes half; mechanism unresolved
1.5,control,48.0,0.06559416360337422,,,True,
1.5,teleport,48.0,0.06547235830929476,-0.0009652631987033811,0.001679258632345082,True,
1.5,reset,48.0,0.06721890090941929,-0.005031983114062166,0.00020159503682526392,True,
1.5,teleport_reset,48.0,0.06601166501355171,-0.0036818260583151266,0.0016471195945290118,True,
1.5,VERDICT,,,,,,competing: neither removes half; mechanism unresolved
