seed,stage,steps,w1,b1,b2,loss,gap,solves,degenerate,status,a,kind,s,frozen_reproduced,grad_norm
0,screen,600,6.862434045831239e-15,0.5256545922649519,-4.711870893429342,0.6931471805599453,-4.085620730620576e-14,False,True,degenerate,1.3,glob,4.0,True,5.734292691088528e-13
1,screen,600,1.026752072509428,-2.1610819336333016,9.305606435448418,0.7523430535136163,-0.46724711842056044,False,False,not carried (screen rank > 8),1.3,glob,4.0,True,0.21838997735318433
2,screen,600,1.2546915798069381e-15,-0.2047925478295061,1.876663236755801,0.6931471805599452,-7.993605777301127e-15,False,True,degenerate,1.3,glob,4.0,True,2.546113590883342e-13
3,screen,600,-1.1322309526275185,-1.9461053212926098,7.355292691095724,1.2124979087365535,-0.9319191150472612,False,False,not carried (screen rank > 8),1.3,glob,4.0,True,0.2464358228038692
4,screen,600,4.336510678183083e-15,0.3770295616540501,-3.422551785908181,0.6931471805599452,-2.6645352591003757e-14,False,True,degenerate,1.3,glob,4.0,True,1.2529586284200277e-13
5,screen,600,0.8959346678061589,-2.3692006541995068,11.495253368555543,0.3972651915539292,-0.10863616927116437,False,False,carried,1.3,glob,4.0,True,0.06751608979916095
6,screen,600,6.65461723977948e-16,-0.3444184522905167,3.1334503762054484,0.6931471805599453,-4.218847493575595e-15,False,True,degenerate,1.3,glob,4.0,True,1.8882388896274847e-13
7,screen,600,0.9921390668066444,-2.2248666554687238,10.032771285676867,0.6017605760431229,-0.35181415878935773,False,False,not carried (screen rank > 8),1.3,glob,4.0,True,0.1917156578544753
8,screen,600,-3.717702270180036e-14,3.834752561166536,-6.945536801961507,2.541669575123727,-4.440892098500626e-16,False,True,degenerate,1.3,glob,4.0,True,0.493761911813369
9,screen,600,1.01906637603724,-2.174351282250634,9.514468630931706,0.7072858138453685,-0.4414911225688347,False,False,not carried (screen rank > 8),1.3,glob,4.0,True,0.21201413349011403
10,screen,600,-4.0473707998926324e-16,0.13404759847012823,-1.2311522675380253,0.6931471805599452,-2.6645352591003757e-15,False,True,degenerate,1.3,glob,4.0,True,1.2600968402626412e-14
11,screen,600,2.170213105818751e-14,-0.5315115497772966,4.761598282047867,0.6931471805599452,-1.2856382625159313e-13,False,True,degenerate,1.3,glob,4.0,True,5.839697034137424e-13
12,screen,600,-1.0717200429070382,-2.0800405961671102,8.56528460056168,0.9209265864393313,-0.632005073578203,False,False,not carried (screen rank > 8),1.3,glob,4.0,True,0.23282137622781363
13,screen,600,-3.5279465293673235e-14,-0.48075507262918377,4.327753995542143,0.6931471805599452,-2.1249668691325496e-13,False,True,degenerate,1.3,glob,4.0,True,1.8094963445407635e-12
14,screen,600,2.4495020079857595e-16,-3.8347525611665385,11.8315439682251,0.6974107707358044,0.0,False,True,degenerate,1.3,glob,4.0,True,0.046073113278299146
15,screen,600,-0.8977624926160926,-2.3782499348144603,11.49467264649612,0.3972147648987216,-0.10296187454761085,False,False,carried,1.3,glob,4.0,True,0.06654498817777149
16,screen,600,-2.3311153566331077e-14,-0.2500684816244834,2.2871195456269935,0.6931471805599453,-1.475486399726833e-13,False,True,degenerate,1.3,glob,4.0,True,6.665488197029199e-13
17,screen,600,4.547958012846396e-16,-0.23329027331024366,2.1352966370852506,0.6931471805599455,-2.886579864025407e-15,False,True,degenerate,1.3,glob,4.0,True,8.609114990867102e-14
18,screen,600,3.777599291482915e-12,0.04920161923605126,-0.45255168318454597,0.6931471805599453,-2.4311108681729365e-11,False,True,degenerate,1.3,glob,4.0,True,1.1346269632540284e-10
19,screen,600,0.8793311464947042,-2.4016445791940457,11.75905410944998,0.3842404836836981,-0.06612572738495892,False,False,carried,1.3,glob,4.0,True,0.030462744985888326
20,screen,600,0.9382750058348102,-2.316275367844244,10.913952263124232,0.4559463601927125,-0.19874047985607213,False,False,carried,1.3,glob,4.0,True,0.13085161857161542
21,screen,600,-7.746158063129443e-16,0.48299994087135734,-4.347077498419957,0.6931471805599451,-4.884981308350689e-15,False,True,degenerate,1.3,glob,4.0,True,1.000890506723389e-13
22,screen,600,-6.946911467565721e-15,0.30172865648471625,-2.752204933077706,0.6931471805599455,-4.363176486776865e-14,False,True,degenerate,1.3,glob,4.0,True,6.004330254169677e-13
23,screen,600,-1.067600603389171,-2.08374401778317,8.635771402649533,0.9045377895617728,-0.6222638574280128,False,False,not carried (screen rank > 8),1.3,glob,4.0,True,0.23175135421023343
24,screen,600,1.1335989722158126,-1.9692664015261792,7.0728983547553055,1.280183476304116,-0.8886685855249574,False,False,not carried (screen rank > 8),1.3,glob,4.0,True,0.24536208718944563
25,screen,600,1.2019617993292266,-1.8416068812478452,5.7902715800292475,1.5983070923364013,-1.2174777275712194,False,False,not carried (screen rank > 8),1.3,glob,4.0,True,0.24828484292289446
26,screen,600,-5.6390033239168e-15,-0.3529297437710665,3.209090932032955,0.6931471805599452,-3.497202527569243e-14,False,True,degenerate,1.3,glob,4.0,True,5.960263338198458e-13
27,screen,600,1.039494635144764,-2.110858028510383,9.173794211916016,0.7828616799724192,-0.5543857066275493,False,False,not carried (screen rank > 8),1.3,glob,4.0,True,0.22529951493012226
28,screen,600,1.1067501559966356e-14,0.018919534787097826,-0.17405385088480235,0.6931471805599453,-7.126937928703114e-14,False,True,degenerate,1.3,glob,4.0,True,4.4376147578514083e-13
29,screen,600,-1.90406815550815e-13,3.8347525611665505,-7.028698636007532,2.500629464263054,-4.440892098500626e-16,False,True,degenerate,1.3,glob,4.0,True,0.49322462454479066
30,screen,600,-2.212888870655742e-16,0.3248082368335681,-2.958693635845792,0.6931471805599453,-1.3322676295501878e-15,False,True,degenerate,1.3,glob,4.0,True,2.014943551950389e-12
