family,q,a,threshold,ghat,w2,R,coarse,fine
q2,2.0,1.3,glob,0.05904919405062107,6.942795148203944,0.20498322898000257,0.7290683239805675,0.07290683239805676
q2,2.0,1.3,solve,0.05904919405062107,10.004882108922324,0.29539011255167064,0.7290683239805675,0.07290683239805676
q2,2.0,1.35,glob,0.07301915815093682,5.908476870659302,0.21571600352491194,0.7320924629138703,0.07320924629138703
q2,2.0,1.35,solve,0.07301915815093682,7.88512652052675,0.2878826502212445,0.7320924629138703,0.07320924629138703
q2,2.0,1.4,glob,0.08760492705513412,5.11026186596348,0.22384205900018211,0.7349580661978514,0.07349580661978515
q2,2.0,1.4,solve,0.08760492705513412,6.286194771880044,0.27535081722245836,0.7349580661978514,0.07349580661978515
q2,2.0,1.45,solve,0.10271572777902939,5.104640777043139,0.2621634462322481,0.7376928636641557,0.07376928636641557
q2,2.0,1.45,glob,0.10271572777902939,4.514486486111815,0.23185438248478404,0.7376928636641557,0.07376928636641557
q2,2.0,1.5,glob,0.11830808565171594,4.027800200011902,0.23826066552550335,0.7401277753930942,0.07401277753930942
q2,2.0,1.5,solve,0.11830808565171594,4.3238513101691405,0.25577328557438744,0.7401277753930942,0.07401277753930942
q2,2.0,1.6,solve,0.1515724920997731,3.39815204458897,0.25753318696614474,0.7401085745092719,0.0740108574509272
q2,2.0,1.6,glob,0.1515724920997731,3.324141187138043,0.2519241819130057,0.7401085745092719,0.0740108574509272
q1,1.0,1.3,solve,0.026626809932516347,23.96592807600418,0.3190681058680602,1.6168251866445464,0.16168251866445466
q1,1.0,1.3,glob,0.026626809932516347,20.89396022137954,0.2781697537761151,1.6168251866445464,0.16168251866445466
q1,1.0,1.35,solve,0.03490010619884963,18.335572596633583,0.31995671541961457,1.5317080992830554,0.15317080992830556
q1,1.0,1.35,glob,0.03490010619884963,16.038010447709,0.279864133921652,1.5317080992830554,0.15317080992830556
q1,1.0,1.4,solve,0.0439553687879735,14.579378560673998,0.32042098066694996,1.4648028114249756,0.14648028114249756
q1,1.0,1.4,glob,0.0439553687879735,12.67513490582153,0.27857011461135056,1.4648028114249756,0.14648028114249756
q1,1.0,1.45,solve,0.053712083993294656,11.877883598728578,0.3189929407587432,1.41071903629953,0.141071903629953
q1,1.0,1.5,glob,0.0641017435801687,8.526629397575965,0.2732859056232714,1.3660018488406571,0.13660018488406572
q1,1.0,1.45,glob,0.053712083993294656,10.326092658799098,0.27731797810598025,1.41071903629953,0.141071903629953
q1,1.0,1.5,solve,0.0641017435801687,9.89263124641662,0.3170674557454814,1.3660018488406571,0.13660018488406572
q1,1.0,1.6,glob,0.08653757536273646,6.2112023810676025,0.2687511970724229,1.2963166646691873,0.12963166646691873
q1,1.0,1.6,solve,0.08653757536273646,6.988992379869115,0.3024052273912572,1.2963166646691873,0.12963166646691873
