a,n,seed,T_plus,T_minus,w2_own,gap_rel
1.5,400,300019,2.5531249999999996,2.778125,2.5531249999999996,0.08812729498164036
1.5,1600,300000,2.878125,2.253125,2.878125,0.21715526601520088
1.5,1600,300001,2.609375,2.471875,2.471875,0.05562579013906455
1.5,1600,300002,2.221875,2.971875,2.971875,0.2523659305993691
1.5,1600,300003,2.8218750000000004,2.390625,2.8218750000000004,0.15282392026578084
1.5,1600,300004,2.746875,2.378125,2.378125,0.1550591327201053
1.5,1600,300005,2.784375,2.2718749999999996,2.784375,0.18406285072951747
1.5,1600,300006,2.4468750000000004,2.565625,2.4468750000000004,0.04853128991060003
1.5,1600,300007,2.659375,2.409375,2.659375,0.09400705052878966
1.5,1600,300008,2.440625,2.565625,2.565625,0.048721071863581
1.5,1600,300009,2.559375,2.559375,2.559375,0.0
1.5,1600,300010,2.5093750000000004,2.528125,2.528125,0.007416563658838001
1.5,1600,300011,2.596875,2.378125,2.596875,0.08423586040914562
1.5,1600,300012,2.515625,2.559375,2.515625,0.017391304347826157
1.5,1600,300013,2.546875,2.4468750000000004,2.4468750000000004,0.04086845466155796
1.5,1600,300014,2.503125,2.5093750000000004,2.503125,0.0024968789013734964
1.5,1600,300015,2.4156250000000004,2.659375,2.659375,0.09165687426556972
1.5,1600,300016,2.659375,2.3843750000000004,2.659375,0.10340775558166843
1.5,1600,300017,2.596875,2.4781250000000004,2.4781250000000004,0.04791929382093294
1.5,1600,300018,2.5406250000000004,2.328125,2.328125,0.09127516778523505
1.5,1600,300019,2.690625,2.340625,2.690625,0.130081300813008
1.5,6400,300000,2.609375,2.453125,2.609375,0.059880239520958084
1.5,6400,300001,2.609375,2.4468750000000004,2.4468750000000004,0.06641123882503178
1.5,6400,300002,2.421875,2.590625,2.590625,0.0651387213510254
1.5,6400,300003,2.590625,2.465625,2.465625,0.050697084917617236
1.5,6400,300004,2.734375,2.340625,2.734375,0.14399999999999993
1.5,6400,300005,2.6343750000000004,2.4281249999999996,2.6343750000000004,0.07829181494661948
1.5,6400,300006,2.5093750000000004,2.528125,2.528125,0.007416563658838001
1.5,6400,300007,2.4468750000000004,2.609375,2.4468750000000004,0.06641123882503178
1.5,6400,300008,2.5218749999999996,2.559375,2.559375,0.014652014652014858
1.5,6400,300009,2.659375,2.4593749999999996,2.659375,0.0752056404230318
1.5,6400,300010,2.5718750000000004,2.534375,2.534375,0.014796547472256685
1.5,6400,300011,2.5093750000000004,2.4906249999999996,2.4906249999999996,0.007528230865746836
1.5,6400,300012,2.471875,2.565625,2.565625,0.03654080389768575
1.5,6400,300013,2.559375,2.4906249999999996,2.559375,0.02686202686202707
1.5,6400,300014,2.440625,2.671875,2.671875,0.08654970760233925
1.5,6400,300015,2.5093750000000004,2.5406250000000004,2.5406250000000004,0.01230012300123001
1.5,6400,300016,2.484375,2.578125,2.578125,0.03636363636363636
1.5,6400,300017,2.515625,2.5531249999999996,2.5531249999999996,0.014687882496939888
1.5,6400,300018,2.5218749999999996,2.515625,2.515625,0.0024844720496892997
1.5,6400,300019,2.5093750000000004,2.4781250000000004,2.5093750000000004,0.012453300124532999
